seed,heldout_condition,model,train_loss,heldout_loss
910001,doublet_EY,full_reciprocal,1.9361116343068188,0.20940163859289496
910001,doublet_EY,eta_only,54.889519976379624,15.42170899720719
910001,doublet_EY,zeta_only,48.57098805989618,18.472112006600426
910001,doublet_EY,generic_hidden_oscillator,67.33320025357207,10.24700762334512
910001,doublet_EY,null_no_coupling,120.8922128310078,13.90792893500916
910001,doublet_EY,replay_only_basis,19.842000356584506,7.066156762569886
910001,orthogonal_trap,full_reciprocal,1.8715606144646315,0.27395265843508226
910001,orthogonal_trap,eta_only,48.286223105463904,22.370243913939618
910001,orthogonal_trap,zeta_only,56.623887769501096,10.958896169838305
910001,orthogonal_trap,generic_hidden_oscillator,48.43800332194443,24.92592555931116
910001,orthogonal_trap,null_no_coupling,94.20742551346828,40.59271625254867
910001,orthogonal_trap,replay_only_basis,22.652932806516517,4.573043600993536
910001,counterphase,full_reciprocal,1.3012357071928693,0.8442775657068444
910001,counterphase,eta_only,63.4635748669624,6.373381293277795
910001,counterphase,zeta_only,58.28722620555516,8.165249173783263
910001,counterphase,generic_hidden_oscillator,52.055270429840476,20.54419382533052
910001,counterphase,null_no_coupling,112.38022431694348,22.419917449073473
910001,counterphase,replay_only_basis,20.96737210755848,1.5327225947447114
910001,lagged_E_to_Y,full_reciprocal,1.5850074992142547,0.654744599755843
910001,lagged_E_to_Y,eta_only,41.5069681766712,27.816661140242307
910001,lagged_E_to_Y,zeta_only,64.83573903509969,2.2073610313969176
910001,lagged_E_to_Y,generic_hidden_oscillator,59.42293356489175,13.176530690279245
910001,lagged_E_to_Y,null_no_coupling,108.087531277056,26.71261048896095
910001,lagged_E_to_Y,replay_only_basis,14.468658334265665,12.875523734525926
910001,recovery_probe,full_reciprocal,2.0361754954624964,0.1070592951013215
910001,recovery_probe,eta_only,68.44357034849007,0.8800589684234488
910001,recovery_probe,zeta_only,65.33782903641676,0.8143978384762087
910001,recovery_probe,generic_hidden_oscillator,72.16526229490866,0.50660324097004
910001,recovery_probe,null_no_coupling,133.72507733545268,1.075064430564268
910001,recovery_probe,replay_only_basis,20.79627356958028,0.059215431229433194
910001,lagged_Y_to_E,full_reciprocal,1.922537721739623,0.22069706882419524
910001,lagged_Y_to_E,eta_only,66.7229977801336,6.076757350126554
910001,lagged_Y_to_E,zeta_only,34.80409512531041,31.348131749582564
910001,lagged_Y_to_E,generic_hidden_oscillator,60.489109343243264,12.34104269372003
910001,lagged_Y_to_E,null_no_coupling,104.70823755615652,30.09190420986042
910001,lagged_Y_to_E,replay_only_basis,15.372189344904289,18.80068315671038
910002,doublet_EY,full_reciprocal,1.7968389607337554,0.1391020936579729
910002,doublet_EY,eta_only,59.493548430410236,15.261609477958633
910002,doublet_EY,zeta_only,52.59224472701143,16.216148579946775
910002,doublet_EY,generic_hidden_oscillator,58.59029631262759,18.248155565889537
910002,doublet_EY,null_no_coupling,126.31536231863404,11.79152134896316
910002,doublet_EY,replay_only_basis,21.79385189029908,4.9186213353786625
910002,orthogonal_trap,full_reciprocal,1.4773954663933813,0.44074347626275917
910002,orthogonal_trap,eta_only,51.33724521620852,23.492391920548055
910002,orthogonal_trap,zeta_only,55.10250208213593,14.099205472139491
910002,orthogonal_trap,generic_hidden_oscillator,45.10463620153966,24.067400183987854
910002,orthogonal_trap,null_no_coupling,94.62138848456809,43.485495183029144
910002,orthogonal_trap,replay_only_basis,23.64245088168332,5.911343406386055
910002,counterphase,full_reciprocal,1.433733609212505,0.4844053334436355
910002,counterphase,eta_only,69.48485149221855,4.579426548860481
910002,counterphase,zeta_only,58.361024890775184,9.879517858838945
910002,counterphase,generic_hidden_oscillator,52.110492523710725,16.170114460414705
910002,counterphase,null_no_coupling,116.83800713682004,21.268876530777174
910002,counterphase,replay_only_basis,20.86159467107519,2.904431622035563
910002,lagged_E_to_Y,full_reciprocal,1.4099667815512988,0.5081721611048416
910002,lagged_E_to_Y,eta_only,41.41810254538643,32.24115217933753
910002,lagged_E_to_Y,zeta_only,67.08868430396976,1.1615099036268404
910002,lagged_E_to_Y,generic_hidden_oscillator,56.06612427515592,12.508652878420548
910002,lagged_E_to_Y,null_no_coupling,107.28579798215054,30.821085685446697
910002,lagged_E_to_Y,replay_only_basis,15.835431759361054,13.326573155761215
910002,recovery_probe,full_reciprocal,1.7503101567765793,0.1678287858795612
910002,recovery_probe,eta_only,71.65273084522946,2.0065238794945217
910002,recovery_probe,zeta_only,67.21898556451981,0.8419251239620986
910002,recovery_probe,generic_hidden_oscillator,67.4319295578633,0.8575963193110914
910002,recovery_probe,null_no_coupling,136.14579228220893,1.9610913853883065
910002,recovery_probe,replay_only_basis,21.616706418861348,0.19076504093396976
910002,lagged_Y_to_E,full_reciprocal,1.6489304979472421,0.3805372346983119
910002,lagged_Y_to_E,eta_only,70.74394890404912,6.608038687964668
910002,lagged_Y_to_E,zeta_only,38.28442348778346,29.776487200698448
910002,lagged_Y_to_E,generic_hidden_oscillator,56.50251827015335,11.778088713972075
910002,lagged_Y_to_E,null_no_coupling,109.32807013360448,28.77881353399276
