run,n_anchors,strict_primary_pass_count,strict_primary_anchor_count,target_CII_mean,target_CII_max,target_specific_CII_mean,target_MR_mean,target_ENC_mean,target_artifact_mean,complexity_strike_pos_mean,complexity_settle_mean,complexity_CSI_max,ACG_rate,OCU_rate,eet_afterstate_max,eet_afterstate_mean,eet_baseline2_max,eet_baseline2_mean,tti_global,b2_available,b2_regulation_score,b2_semantic_echo_score,b2_strain_score,self_target_meaning,self_target_absorption,self_target_afterglow,self_target_washout,self_override_reduced,self_story_breakthrough,self_familiarity,self_new_meaning,b2_raw_json
Arrival,5,0,5,0.30366605013150255,0.6147478184407765,0.2994940894560464,0.43190816458985476,0.186765100881275,1.3268065107626774,0.28615151341873196,0.08467748866472669,0.8543666614930711,0.2,0.0,0.9761420018700452,0.8999649338801918,,,0.5325191074904043,False,,,,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,,,,,{}
Contact,5,1,70,0.8933405252298126,1.6516544438974314,0.8675509609197718,1.1080687865136005,1.0087769127814754,0.4789544004473865,0.00549893051594496,-0.00944251343156734,1.2240112577358109,0.0,0.0,0.9574428196703026,0.8054575997215634,0.8304954787491879,0.7618020879662716,0.745016140580014,True,1.0,0.6666666666666666,0.0,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,,,"{""MeaningGamma"": 0.6940383222993128, ""TSP"": 1.1564540944391484, ""TaskGamma"": -1.651799297566215, ""ThetaIntegration"": -6.830678238280808, ""PosteriorAlpha"": -1.1688067294693507, ""NAST_NAS"": 1.8222479158717229, ""ArtifactScore"": -1.8517287595325105, ""VisualGamma"": -3.082771814265569, ""hr_mean_bpm"": -11.839359220461532, ""rmssd_ms"": 81.56950616931144, ""sdnn_ms"": 53.072699157623, ""pnn50"": 0.1592836521111512, ""resp_std"": -1.5450848333503815, ""resp_rate_bpm_est"": -1.3880631848368097}"
Field,7,1,7,0.06337305959885864,0.1813750264062613,0.053313708583769506,0.3960012167609918,0.20955228228511183,0.43606221553944163,0.0272754024648073,-0.02188913333952566,,0.2857142857142857,0.0,0.9248168617411844,0.734951447301505,0.4988035015595962,-0.016901793274650318,0.567780349544646,True,0.5653102652079951,0.609122386152485,0.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.7777777777777778,"{""meaninggamma_z"": -0.0123293889483776, ""tsp_z"": 0.5016197758474058, ""theta_integration_z"": -0.1183629777231716, ""taskgamma_z"": -0.6399740532234286, ""nast_nas_z"": 0.2931290387443346, ""artifact_score"": -1.480630528982504, ""NIP_density"": 0.1109175614399467, ""alpha_posterior_z"": 0.7047247867523987, ""hr_mean_bpm"": -3.195463706811111, ""rmssd_ms"": 11.69101154708364, ""sdnn_ms"": 31.373624840491715, ""pnn50"": 0.1303053218640703, ""resp_mean"": -3.703887357711792, ""resp_std"": -0.7408413361883852, ""resp_ptp"": -8.47494125366211}"
