generator,trial,seed,K_true_scaled,eta_hat,zeta_hat,eta_zeta_product,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated,K_within_15_positive,K_within_10_positive,full_cv_wins,full_cv_win_rate,full_prediction_win,full_and_K_lock,non_full_cv_win_rate,cv_winner_counts_json
full_reciprocal_positive_control,1,930001,1.0,0.5764711838571,0.8638704949285524,0.49799644691068146,1.008126618738715,0.1,0.29850651327283545,0.19659719282815222,True,True,True,3,0.5,False,False,0.5,"{""eta_only"": 1, ""full_reciprocal"": 3, ""standard_ping"": 1, ""zeta_only"": 1}"
full_reciprocal_positive_control,2,930002,1.0,0.48120429968552253,0.8680663768097289,0.4177172729332745,0.92330072591549,0.1,0.25509752604573926,0.223226355118,True,True,True,3,0.5,False,False,0.5,"{""colored_noise_ar"": 2, ""eta_only"": 1, ""full_reciprocal"": 3}"
full_reciprocal_positive_control,3,930003,1.0,0.6371354292944778,0.8609116136217266,0.5485172905294804,1.0580279022298509,0.1,0.3254270626476932,0.2638682726545867,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""colored_noise_ar"": 1, ""eta_only"": 1, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,4,930004,1.0,0.6520528120911876,0.8456118969151919,0.5513836153213143,1.0607887086169483,0.1,0.2810334750630678,0.25241803328658463,True,True,True,5,0.8333333333333334,True,True,0.16666666666666663,"{""eta_only"": 1, ""full_reciprocal"": 5}"
full_reciprocal_positive_control,5,930005,1.0,0.5606511875743914,0.8631487007350898,0.483925344120421,0.9937820400384081,0.1,0.31609102534747197,0.24688480653437359,True,True,True,3,0.5,False,False,0.5,"{""colored_noise_ar"": 1, ""eta_only"": 2, ""full_reciprocal"": 3}"
full_reciprocal_positive_control,6,930006,1.0,0.5222861132737836,0.8550644520066297,0.4465882892371203,0.954675165651904,0.1,0.34816767485666766,0.2806722068336495,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,7,930007,1.0,0.5661867029228442,0.8744854613318875,0.4951220401054638,1.005212983935432,0.1,0.32608045200517644,0.29406296755618855,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,8,930008,1.0,0.5671498735465904,0.8539269687825816,0.4843045723630644,0.9941713525806143,0.1,0.27692415920802044,0.20876230718935543,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,9,930009,1.0,0.703841728737412,0.874044272157915,0.61518883150866,1.1204853462862259,0.1,0.2666928409542366,0.2614868961231443,True,True,False,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,10,930010,1.0,0.5499211313093426,0.8613623759361609,0.47368137224211687,0.9832073423470435,0.1,0.3011525439875773,0.24957966713772062,True,True,True,3,0.5,False,False,0.5,"{""colored_noise_ar"": 1, ""eta_only"": 2, ""full_reciprocal"": 3}"
full_reciprocal_positive_control,11,930011,1.0,0.516489924047429,0.8306939082564424,0.4290450335820319,0.9357361323316983,0.1,0.32905231419235587,0.2023522679495042,True,True,True,3,0.5,False,False,0.5,"{""colored_noise_ar"": 2, ""eta_only"": 1, ""full_reciprocal"": 3}"
