time_sec,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
0.25,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.3333333333333333
0.5,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.3333333333333333
0.75,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.3333333333333333
1.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.3333333333333333
1.25,0.0,0.0,0.0,0.0,0.5000000000000003,-0.8660254037844385,0.3333333333333333
1.5,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.3333333333333333
1.75,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.3333333333333333
2.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.3333333333333333
2.25,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.3333333333333333
2.5,0.0,0.0,0.0,0.0,-0.866025403784439,0.49999999999999933,0.3333333333333333
2.75,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.3333333333333333
3.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.3333333333333333
3.25,0.0,0.0,0.0,0.0,0.4999999999999993,0.866025403784439,0.3333333333333333
3.5,0.0,0.0,0.0,0.0,0.8660254037844384,0.5000000000000004,0.3333333333333333
3.75,0.0,0.0,0.0,0.0,1.0,1.1943401194869635e-15,0.3333333333333333
4.0,0.0,0.0,0.0,0.0,0.8660254037844392,-0.4999999999999992,0.3333333333333333
4.25,0.0,1.0,0.0,0.0,0.5000000000000013,-0.8660254037844379,0.3333333333333333
4.5,1.0,0.0,8.0,1.0,3.6739403974420594e-16,-1.0,0.3333333333333333
4.75,1.0,0.0,8.0,1.0,-0.49999999999999917,-0.8660254037844392,0.3333333333333333
5.0,1.0,0.0,8.0,1.0,-0.8660254037844378,-0.5000000000000013,0.3333333333333333
5.25,0.0,0.0,0.0,0.0,-1.0,-4.286263797015736e-16,0.3333333333333333
5.5,0.0,0.0,0.0,0.0,-0.8660254037844392,0.4999999999999991,0.3333333333333333
5.75,0.0,0.0,0.0,0.0,-0.5000000000000014,0.8660254037844378,0.3333333333333333
6.0,0.0,0.0,0.0,0.0,-4.898587196589413e-16,1.0,0.3333333333333333
6.25,0.0,0.0,0.0,0.0,0.49999999999999906,0.8660254037844392,0.3333333333333333
6.5,0.0,0.0,0.0,0.0,0.8660254037844378,0.5000000000000014,0.3333333333333333
6.75,0.0,0.0,0.0,0.0,1.0,2.3274478990165594e-15,0.3333333333333333
7.0,0.0,0.0,0.0,0.0,0.8660254037844393,-0.499999999999999,0.3333333333333333
7.25,0.0,1.0,0.0,0.0,0.5000000000000016,-0.8660254037844377,0.3333333333333333
7.5,1.0,0.0,9.0,2.0,2.388680238973927e-15,-1.0,0.3333333333333333
7.75,1.0,0.0,9.0,2.0,-0.49999999999999895,-0.8660254037844393,0.3333333333333333
8.0,1.0,0.0,9.0,2.0,-0.8660254037844377,-0.5000000000000016,0.3333333333333333
8.25,0.0,0.0,0.0,0.0,-1.0,-2.4499125789312946e-15,0.3333333333333333
8.5,0.0,0.0,0.0,0.0,-0.8660254037844402,0.49999999999999734,0.3333333333333333
8.75,0.0,0.0,0.0,0.0,-0.5000000000000032,0.8660254037844368,0.3333333333333333
9.0,0.0,0.0,0.0,0.0,-7.347880794884119e-16,1.0,0.3333333333333333
9.25,0.0,0.0,0.0,0.0,0.49999999999999883,0.8660254037844393,0.3333333333333333
9.5,0.0,0.0,0.0,0.0,0.8660254037844377,0.5000000000000017,0.3333333333333333
9.75,0.0,0.0,0.0,0.0,1.0,2.57237725884603e-15,0.3333333333333333
10.0,0.0,0.0,0.0,0.0,0.8660254037844403,-0.4999999999999972,0.3333333333333333
10.25,0.0,1.0,0.0,0.0,0.5000000000000033,-0.8660254037844367,0.3333333333333333
10.5,1.0,0.0,1.0,3.0,8.572527594031472e-16,-1.0,0.3333333333333333
10.75,1.0,0.0,1.0,3.0,-0.4999999999999987,-0.8660254037844394,0.3333333333333333
11.0,1.0,0.0,1.0,3.0,-0.8660254037844376,-0.5000000000000018,0.3333333333333333
11.25,0.0,0.0,0.0,0.0,-1.0,-2.6948419387607653e-15,0.3333333333333333
11.5,0.0,0.0,0.0,0.0,-0.8660254037844403,0.4999999999999971,0.3333333333333333
11.75,0.0,0.0,0.0,0.0,-0.5000000000000034,0.8660254037844367,0.3333333333333333
12.0,0.0,0.0,0.0,0.0,-9.797174393178826e-16,1.0,0.3333333333333333
12.25,0.0,0.0,0.0,0.0,0.4999999999999986,0.8660254037844395,0.3333333333333333
12.5,0.0,0.0,0.0,0.0,0.8660254037844375,0.5000000000000019,0.3333333333333333
12.75,0.0,0.0,0.0,0.0,1.0,2.8173066186755008e-15,0.3333333333333333
13.0,0.0,0.0,0.0,0.0,0.8660254037844404,-0.499999999999997,0.3333333333333333
13.25,0.0,1.0,0.0,0.0,0.5000000000000034,-0.8660254037844366,0.3333333333333333
13.5,1.0,0.0,7.0,4.0,4.654895798033119e-15,-1.0,0.3333333333333333
13.75,1.0,0.0,7.0,4.0,-0.4999999999999985,-0.8660254037844395,0.3333333333333333
14.0,1.0,0.0,7.0,4.0,-0.8660254037844375,-0.500000000000002,0.3333333333333333
14.25,0.0,0.0,0.0,0.0,-1.0,-2.939771298590236e-15,0.3333333333333333
14.5,0.0,0.0,0.0,0.0,-0.8660254037844404,0.49999999999999695,0.3333333333333333
14.75,0.0,0.0,0.0,0.0,-0.5000000000000036,0.8660254037844366,0.3333333333333333
15.0,0.0,0.0,0.0,0.0,-4.777360477947854e-15,1.0,0.3333333333333333
15.25,0.0,0.0,0.0,0.0,0.4999999999999984,0.8660254037844396,0.3333333333333333
15.5,0.0,0.0,0.0,0.0,0.8660254037844374,0.5000000000000021,0.3333333333333333
15.75,0.0,0.0,0.0,0.0,1.0,6.614949657305472e-15,0.3333333333333333
16.0,0.0,0.0,0.0,0.0,0.8660254037844405,-0.49999999999999684,0.3333333333333333
16.25,0.0,1.0,0.0,0.0,0.5000000000000007,-0.8660254037844383,0.3333333333333333
16.5,1.0,0.0,7.0,5.0,4.899825157862589e-15,-1.0,0.3333333333333333
16.75,1.0,0.0,7.0,5.0,-0.4999999999999983,-0.8660254037844396,0.3333333333333333
17.0,1.0,0.0,7.0,5.0,-0.8660254037844356,-0.5000000000000053,0.3333333333333333
17.25,0.0,0.0,0.0,0.0,-1.0,-3.1847006584197066e-15,0.3333333333333333
17.5,0.0,0.0,0.0,0.0,-0.8660254037844423,0.4999999999999936,0.3333333333333333
17.75,0.0,0.0,0.0,0.0,-0.5000000000000038,0.8660254037844365,0.3333333333333333
18.0,0.0,0.0,0.0,0.0,-1.4695761589768238e-15,1.0,0.3333333333333333
18.25,0.0,0.0,0.0,0.0,0.4999999999999951,0.8660254037844415,0.3333333333333333
18.5,0.0,0.0,0.0,0.0,0.8660254037844373,0.5000000000000023,0.3333333333333333
18.75,0.0,0.0,0.0,0.0,1.0,6.859879017134943e-15,0.3333333333333333
19.0,0.0,0.0,0.0,0.0,0.8660254037844406,-0.4999999999999966,0.3333333333333333
19.25,0.0,1.0,0.0,0.0,0.5000000000000009,-0.8660254037844382,0.3333333333333333
19.5,1.0,0.0,3.0,6.0,5.14475451769206e-15,-1.0,0.3333333333333333
19.75,1.0,0.0,3.0,6.0,-0.4999999999999981,-0.8660254037844397,0.3333333333333333
20.0,1.0,0.0,3.0,6.0,-0.8660254037844355,-0.5000000000000056,0.3333333333333333
20.25,0.0,0.0,0.0,0.0,-1.0,-3.4296300182491773e-15,0.3333333333333333
20.5,0.0,0.0,0.0,0.0,-0.8660254037844425,0.4999999999999934,0.3333333333333333
20.75,0.0,0.0,0.0,0.0,-0.500000000000004,0.8660254037844363,0.3333333333333333
21.0,0.0,0.0,0.0,0.0,-1.7145055188062944e-15,1.0,0.3333333333333333
