condition,time_sec,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor
control,87.5,-0.9404202429436476,-0.8382525618781428,-0.7822436621917436,-0.8570853126053269,0.0,0.0,-0.1322777214153837,2.025030695616955,0.0,0.0,0.0,0.8660254037844274,0.5000000000000195,0.0
control,87.75,-0.9397914971573644,-0.6731254034266214,-0.5767308302873718,-0.395527465301242,0.0,0.0,0.0011470436916082,0.9017607296135254,0.0,0.0,0.0,1.0,3.3809536366015776e-14,0.0
control,88.0,-0.9251693448734312,-0.7157154515475751,-0.6826777111025003,0.185190411322652,0.0,0.0,0.0514853524923784,0.3343979091998013,0.0,0.0,0.0,0.8660254037844469,-0.4999999999999855,0.0
control,88.25,-0.9184457835419868,-0.993112480296072,-0.9871165961814896,-0.7854540126920619,0.0,0.0,0.2075103678319976,1.0560884297477178,0.0,1.0,0.0,0.5000000000000242,-0.8660254037844247,0.0
control,88.5,-0.920890269940362,-0.7924346710129629,-0.7590788695750021,-0.7551771214012468,0.0,0.0,0.2447676146911887,0.2450727829743237,1.0,0.0,1.0,1.0778129793769884e-14,-1.0,0.0
control,88.75,-0.9318727553499804,-0.7863104822290694,-0.761502973811834,-0.277324037533699,0.0,0.0,0.2346761537128785,-0.0782518311194714,1.0,0.0,1.0,-0.4999999999999809,-0.8660254037844497,0.0
control,89.0,-0.9303472625769896,-0.9550391219916622,-0.9601416826004616,-0.7395545087112492,0.0,0.0,0.5080500704191984,1.857415223689674,1.0,0.0,1.0,-0.866025403784422,-0.5000000000000289,0.0
control,89.25,-0.930018647259067,-0.7123113028273901,-0.7556297392477963,-0.5349581672656787,0.0,0.0,0.5164172959101577,0.0477948542481075,0.0,0.0,0.0,-1.0,-1.6168432651928003e-14,0.0
control,89.5,-0.9266495067798792,-0.6867804837712961,-0.6990668999913109,-0.0721888371363191,0.0,0.0,0.4388796849704491,-0.5388135107163472,0.0,0.0,0.0,-0.8660254037844524,0.4999999999999762,0.0
control,89.75,-0.9418725949007144,-0.6559408315783493,-0.6637937963275257,-0.7063402220822415,0.0,0.0,0.7237914150925556,1.9362021482019165,0.0,0.0,0.0,-0.5000000000000089,0.8660254037844335,0.0
control,90.0,-0.952085825830993,-0.6380821471324448,-0.5879629410550082,-1.0206612533948722,0.0,0.0,0.8590008079232392,0.9139472093807016,0.0,0.0,0.0,-2.155873551008612e-14,1.0,0.0
control,90.25,-0.9433751518613896,-0.6663031035315373,-0.6857572328897075,-0.3916309413197615,0.0,0.0,0.7040945361022055,-1.0671318865474082,0.0,0.0,0.0,0.4999999999999716,0.866025403784455,0.0
control,90.5,-0.9363540740215682,-0.515621822329808,-0.4800720888963264,0.1583007811035161,0.0,0.0,0.644579576360021,-0.4157443286937861,0.0,0.0,0.0,0.8660254037844308,0.5000000000000135,0.0
control,90.75,-0.9314593892855272,-0.8893003771635272,-0.8604732499805197,-1.0244740251200386,0.0,0.0,0.68123834104085,0.2409859973322524,0.0,0.0,0.0,1.0,2.694903836824424e-14,0.0
control,91.0,-0.9380666106504733,-0.7074737380993634,-0.7102915113453906,-0.7632254353225696,0.0,0.0,0.4543330858583126,-1.5587829700446896,0.0,0.0,0.0,0.8660254037844436,-0.4999999999999915,0.0
control,91.25,-0.9238774907694824,-0.7145692248527319,-0.7301090228155566,-0.1630421832021342,0.0,0.0,0.3537789831373168,-0.6959835511009261,0.0,1.0,0.0,0.5000000000000182,-0.8660254037844282,0.0
control,91.5,-0.8935377612842309,-0.9313899967616036,-0.8904388547693868,-0.8020761892686333,0.0,0.0,0.2663069185554677,-0.6066517588286594,1.0,0.0,5.0,3.2339341226402363e-14,-1.0,0.0
control,91.75,-0.8949869840166128,-0.7388781411024349,-0.6811649867874465,-0.7430358314557121,0.0,0.0,0.1927853968254106,-0.5113893094407126,1.0,0.0,5.0,-0.4999999999999868,-0.8660254037844463,0.0
