time_sec,audio_rms,audio_dbfs,audio_rms_derivative
0.0,,,
0.25,0.0,-240.0,
0.5,0.0,-240.0,0.0
0.75,0.0,-240.0,0.0
1.0,3.0454862851816356e-06,-110.32686418650506,3.0454862851816356e-06
1.25,0.004339882270217592,-47.25044103027535,0.0043368367839324105
1.5,0.008905123549883397,-41.0072010139762,0.004565241279665805
1.75,0.009215933655472392,-40.709213206046726,0.0003108101055889958
2.0,0.009571581533714554,-40.38032593610099,0.0003556478782421619
2.25,0.009680001914701265,-40.28249113486848,0.00010842038098671063
2.5,0.00924545414364762,-40.68143502125841,-0.00043454777105364495
2.75,0.01020761270713157,-39.821516321659196,0.0009621585634839499
3.0,0.019682176511941825,-34.11853755377,0.009474563804810255
3.25,0.027389950220558658,-31.24817514062507,0.007707773708616833
3.5,0.02972559447179637,-30.537389026078774,0.0023356442512377125
3.75,0.024888843072066843,-32.079905811227626,-0.0048367513997295275
4.0,0.013402094109600166,-37.45654673476102,-0.011486748962466677
4.25,0.010978643875538256,-39.18902604527739,-0.0024234502340619093
4.5,0.011213088550295135,-39.00549496302106,0.00023444467475687916
4.75,0.009656233550471148,-40.30384477352374,-0.0015568549998239874
5.0,0.01065290916407183,-39.450635521859724,0.0009966756136006814
5.25,0.011509245974933826,-38.7790625616664,0.0008563368108619965
5.5,0.010288985848431959,-39.75254860135221,-0.001220260126501867
5.75,0.009291719011113224,-40.63807864065999,-0.0009972668373187353
6.0,0.010021095370867712,-39.981696092414396,0.0007293763597544887
6.25,0.011343135183407684,-38.90533784166301,0.0013220398125399716
6.5,0.011484643153194737,-38.797649889347355,0.00014150796978705353
6.75,0.010640451792905743,-39.46079862985214,-0.0008441913602889942
7.0,0.009552885471203592,-40.39730857800265,-0.001087566321702151
7.25,0.010300647793108467,-39.74270924461464,0.0007477623219048751
7.5,0.010771038046991881,-39.35484879979611,0.00047039025388341364
7.75,0.010245301658314852,-39.789504996993855,-0.0005257363886770287
8.0,0.009978838637154671,-40.01840000068518,-0.000266463021160181
8.25,0.009845152668828173,-40.13555089645969,-0.00013368596832649855
8.5,0.010995984316311588,-39.17531776454864,0.0011508316474834156
8.75,0.012529777225943981,-38.041133009437054,0.0015337929096323928
9.0,0.012697246944341056,-37.92580867703536,0.00016746971839707442
9.25,0.01176028194123311,-38.591645326271966,-0.0009369650031079459
9.5,0.011239285344517833,-38.98522605356937,-0.0005209965967152771
9.75,0.012104691591901803,-38.34092542342421,0.0008654062473839701
10.0,0.01934131332061031,-34.270280792275244,0.007236621728708509
10.25,0.024384827466093887,-32.257606257551764,0.0050435141454835755
10.5,0.018567377660555377,-34.624988578446796,-0.00581744980553851
10.75,0.012094427460293768,-38.34829371807367,-0.006472950200261609
11.0,0.009892691312637761,-40.093710844177714,-0.0022017361476560065
11.25,0.010362389364975324,-39.6908018632178,0.0004696980523375624
11.5,0.01079393234300282,-39.33640616810338,0.00043154297802749583
