condition,n_windows,theta_integration_z,alpha_posterior_z,meaninggamma_score,tsp_z,taskgamma_score,gamma_visual_30_45_z,artifact_score
BASELINE_1,120,7.177380215089787,2.0684925734327053,0.7622958726027257,0.0984366818897821,2.0220917474153506,4.425727938086289,2.8749837790352557
CONTROL_1,303,0.8084550199442391,0.9604551582361726,-0.3919214359126966,-0.41292829435710166,0.07393294228226222,0.14004572296270024,0.6744556368896142
WASHOUT_1,120,0.7473672098173434,0.4032027148772805,-0.5917774491854473,-0.5299175769597557,-0.10630502881226517,-0.41239914817127743,0.2382711714044305
TARGET_1,301,0.8041653726912519,1.2299792889338383,1.0096277203379744,1.0393282769022416,-0.21473998194067095,-0.19800371042844814,0.5623028357989319
WASHOUT_2,120,0.14249969605570662,1.1582506043208574,0.3907203814700459,0.5057625103433021,-0.43912989970051636,-0.7669475258217083,0.08786397052920014
CONTEXTUAL_OVERRIDE_1,300,0.2978575452070312,0.4551413830258096,-0.24690769621720454,-0.3637411368040689,0.20510070622119145,0.7788896039124285,0.19987064370689264
WASHOUT_3,120,0.552071096195834,0.713483898594249,-0.16691080579857295,-0.18215220630002904,0.16443342332445118,0.10160933667637367,0.34621028291630723
BASELINE_2_REFLECTION,119,0.3467019768089793,0.8996858439633545,1.4563341949020387,1.2548907763289305,0.37029244984913556,1.3429561238207202,1.0232550195027454
