transition,pre_phase,post_phase,pre_alpha_posterior_z,post_alpha_posterior_z,delta_alpha_posterior_z,pre_alpha_drop_proxy_z,post_alpha_drop_proxy_z,delta_alpha_drop_proxy_z,pre_meaninggamma_score,post_meaninggamma_score,delta_meaninggamma_score,pre_tsp_z,post_tsp_z,delta_tsp_z,pre_taskgamma_score,post_taskgamma_score,delta_taskgamma_score,pre_theta_integration_z,post_theta_integration_z,delta_theta_integration_z,pre_nas_score,post_nas_score,delta_nas_score,pre_artifact_score,post_artifact_score,delta_artifact_score
BASELINE_1 -> CONTROL_1,BASELINE_1,CONTROL_1,0.7355506362107587,-0.5068727251594219,-1.2424233613701805,-0.7355506362107587,0.5068727251594219,1.2424233613701805,-0.6763766425214889,0.07631113174581211,0.752687774267301,-0.8286467472110706,-0.018966388473087403,0.8096803587379832,0.7322195873872127,0.32949345282724385,-0.40272613455996886,2.0297694732300453,-0.48073677277283694,-2.5105062460028824,-1.1463257653199086,-0.2432390976808441,0.9030866676390645,1.5072370320985535,1.401100318344017,-0.1061367137545366
WASHOUT_1 -> TARGET_1,WASHOUT_1,TARGET_1,-0.43098032026748306,-0.0038174978227999536,0.4271628224446831,0.43098032026748306,0.0038174978227999536,-0.4271628224446831,-1.0439943379944618,2.1543272896335584,3.19832162762802,-0.9326904641926421,1.8485658604368316,2.7812563246294735,-0.4216111424498752,2.0313896050229796,2.4530007474728546,-0.41855920227508336,0.3039306745243454,0.7224898767994288,-0.2421323642069591,0.12330397093484151,0.36543633514180063,0.17890035382474728,1.3422284606359096,1.1633281068111623
WASHOUT_2 -> CONTEXTUAL_OVERRIDE_1,WASHOUT_2,CONTEXTUAL_OVERRIDE_1,1.0321188476406775,-0.09751458615945484,-1.1296334338001324,-1.0321188476406775,0.09751458615945484,1.1296334338001324,-0.3301636745351899,2.2142117586377617,2.5443754331729513,-0.20633571442145565,1.8421252481003227,2.0484609625217782,-0.20051776279438163,1.5058343725446401,1.7063521353390219,-0.155999880577686,0.8947083313397081,1.050708211917394,-0.33625290073595454,0.2458312246079387,0.5820841253438932,0.07573962586311206,1.241414273619324,1.165674647756212
