time_lsl,condition,condition_offset_sec,theta_front,theta_midline,theta_parietal,theta_global,alpha_posterior,gamma_pt_30_45,gamma_front_35_40,gamma_visual_30_45,gamma_global_30_45,hf_jaw_45_55,p2p_global,theta_front_z,theta_midline_z,theta_parietal_z,theta_global_z,alpha_posterior_z,gamma_pt_30_45_z,gamma_front_35_40_z,gamma_visual_30_45_z,gamma_global_30_45_z,hf_jaw_45_55_z,p2p_global_z,artifact_score,meaninggamma_score,tsp_z,taskgamma_score,theta_integration_z,alpha_drop_proxy_z,nas_score
1251.2144613,BASELINE_1,1.0,22.14703111606212,13.105386195300982,6.73574264292695,13.964307392594742,8.775514709802366,5.162156045396946,4.351676735009482,5.535332428634646,4.223282662652051,4.342589828066099,5358.749072265625,25.948371395467916,14.294905941807112,6.070516149429585,18.522556051704495,6.1470016813942,16.811016713169945,30.44230748867951,38.45435924075965,33.79567701908598,17.250805240039004,2.018968128729511,9.634886684384258,0.9432693078080034,-4.824884578305944,23.83083163929096,10.182711045618348,-6.1470016813942,-13.353083910853755
1252.2144613,BASELINE_1,2.0,15.412833559806371,12.52014241820746,9.770139976787622,13.245177460424326,13.37346651810147,3.8419235222351227,3.0256132252324837,4.013653640433501,3.3169783284629264,3.9414344107133013,5173.590258789062,16.96794880590362,13.479900475953185,10.512272258645519,17.362368981725083,10.717392878968834,11.533802738789365,19.350029842996364,26.29303145875412,24.90730593734453,15.19271869738934,1.890681359779013,8.541700028584177,0.19581672107938086,-3.748137997733738,14.33115415115298,11.996086367299352,-10.717392878968834,-11.307172164677084
1253.2144613,BASELINE_1,3.0,10.756183117421594,10.21127295375218,9.499311007034665,10.639525588941979,10.596223520038171,2.5898764426104,1.9864789516374852,2.801017945442225,2.3386468381119756,2.796105120549794,5236.78125,10.758049486028565,10.264588656971503,10.115832340402404,13.158617371723839,7.956796969946079,6.52913861390164,10.657862545670335,16.60159047837318,15.312545105738705,9.31672476331025,1.934463062291687,5.625593912800968,-0.687816531729214,-3.1780551034851916,7.619179413994682,10.190210498686953,-7.956796969946079,-7.662620712983873
1254.2144613,BASELINE_1,4.0,18.48391182526839,15.749370641300684,14.758516865976892,16.42310326493491,9.371801429428492,2.47060649955991,1.8126527481300552,2.4500767621057333,2.0002461786880783,2.780573719403701,5439.554882812499,21.063400476140846,17.976896010670636,17.8142670486414,22.489381866057883,6.739714195190217,6.052394556209256,9.20383828726684,13.79685218810281,11.993758554908922,9.237042509738298,2.0749542098284635,5.655998359783381,-0.1905032995725724,-2.260031127787994,6.276740058268681,17.89558152965602,-6.739714195190217,-6.400780767817901
1255.2144613,BASELINE_1,5.0,21.6774828381823,18.55224439068092,15.235398150470425,17.980299990369137,8.95376971866495,2.450857664587289,1.6565799570476432,2.508685845487168,1.9172390715129086,2.72060028768511,5390.9828125,25.32220295797594,21.88015396103811,18.512326704551693,25.001639283588016,6.3241882108307745,5.97345480425885,7.8983180622861004,14.265258713534577,11.179685463605766,8.929354996626643,2.0413011860018897,5.485328091314266,-0.3907177683068179,-2.5305065753370046,5.033622338392822,20.1962403327949,-6.3241882108307745,-6.157878506455063
1256.2144613,BASELINE_1,6.0,12.45733735315725,10.503545631201279,7.050302261029701,9.833992858794886,6.45943382044217,3.936989119063718,2.8584494136703045,4.905078117987602,3.260979855082436,3.052623536791021,5316.289404296875,13.026632164114952,10.671605081518145,6.530969066992253,11.859034895520637,3.8448036264914753,11.91379754066352,17.95173526925444,33.417337421679484,24.35811380326724,10.632766071917526,1.9895500658668896,6.311158068892208,-1.3600600741473512,-6.372660687399274,13.395496366865505,8.601287074255199,-3.8448036264914753,-10.36968590765359
1257.2144613,BASELINE_1,7.0,12.427769145201914,8.839734802842774,5.630631867482982,8.50513587996085,7.615426237598457,4.198866359865921,3.009120234710892,5.124503910312226,3.502220679813593,3.525460320184188,5633.8552734375,12.987201333576225,8.354596388160537,4.4528530690500165,9.715162674763453,4.993866902513186,12.96056938614412,19.212069007241308,35.17099857867083,26.72402764631902,13.058606478593125,2.209574695081552,7.634090586837338,-1.2578027631000044,-6.53345254990063,14.063404013995942,6.403724728605277,-4.993866902513186,-11.302572677037855
1258.2144613,BASELINE_1,8.0,15.504010408545934,10.310439203741275,5.804212881409881,9.663327239419065,6.321170858914542,3.10187883216365,1.9137086798377223,2.892476006398164,2.2550160909376453,3.3710355039947983,5895.86728515625,17.089538145275675,10.402686726413144,4.706941259957023,11.583696551179639,3.707369427817211,8.575707015803884,10.04915259082772,17.33252756326655,14.49235580873637,12.266345867611465,2.39110898868877,7.328727428150117,0.6771405116230627,-1.9227386228669197,6.07304397983922,7.554813993185084,-3.707369427817211,-5.83721739408065
1259.2144613,BASELINE_1,9.0,32.28255152409084,28.708065129044574,26.758212263894006,30.60871748233828,14.519590318357734,4.56371488136166,1.9975645417835395,2.4755894483904846,2.5624492309526357,2.995199812539516,7094.996386718749,39.46464496316221,36.023062841001085,35.37944209927173,45.37532425073303,11.856646691626727,14.418936516472277,10.750591470687631,14.000750765722545,17.507435543208857,10.338159570300945,3.2219222516687624,6.780040910984853,7.823663520723173,5.723550905864791,5.4508471138233485,35.70125247013641,-11.856646691626727,-4.016443082374922
1260.2144613,BASELINE_1,10.0,30.916838126607303,29.911574326720856,30.74631197768769,33.1384213884576,15.79023689369829,4.504723168998855,1.8070063587238274,2.210578454312368,2.508556914095033,2.4839189007892215,6882.04990234375,37.643391080546536,37.69905943029058,41.21722941546596,49.45654745041003,13.119676876650159,14.183135713665152,9.156607277192478,11.88277055215261,16.978899054289005,7.7150855235119495,3.0743828722198097,5.39473419786588,8.675482470945267,6.893066888122377,4.26213979930972,39.45814442287827,-13.119676876650159,-3.163417577878518
