anchor_id,scene_label,condition,window_start_sec,window_end_sec,duration_sec,n_rows,A_sem_mean,R_int_mean,NIP_density_mean_CII,NIP_density_sum,MeaningGamma_mean,TSP_mean,theta_future_mean,theta_integration_mean,artifact_mean,visual_drive_mean
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTROL_1,28.007354,58.007354,30.0,30,0.0,0.4000952419184049,0.0,0.0,-0.4996152382224792,-0.6279737822578514,0.19986454485483207,1.832163545043655,1.296978042553002,0.8557236269024805
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,TARGET_1,28.007354,58.007354,30.0,30,1.0766455008756917,0.3320000218425827,0.3794463185076908,11.383389555230723,1.4111578253872492,1.413131538043398,0.1950414884742378,-0.04512684970622576,0.3727115443282234,-0.013158084374324619
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTEXTUAL_OVERRIDE_1,28.007354,58.007354,30.0,30,0.7719803471022945,0.07668004412756878,0.06847016889760113,2.054105066928034,1.123793293174716,1.0363401061673425,-0.02877486828365843,-0.349006456515781,0.36216185716663873,0.5830212467158223
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTROL_1,161.007354,191.007354,30.0,30,0.013830514877036796,0.196822513490228,0.0018334150879830643,0.05500245263949193,-0.4454260743612731,-0.4002882253878137,0.231054419686355,0.22384623256087277,0.7434752570530467,-0.30091899315639625
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,TARGET_1,161.007354,191.007354,30.0,30,1.2157576325008823,1.9837230606413772,1.6516544438974314,49.54963331692294,1.8145268652633075,1.696722965130364,1.9635983899498546,3.4261290772432966,0.9181899010765544,0.7853593342196198
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTEXTUAL_OVERRIDE_1,161.007354,191.007354,30.0,30,0.006644372586364993,0.45726323963160725,0.002114771470701292,0.06344314412103876,-0.6829415824372668,-0.7571655981465855,0.5283136974734384,0.24466458482032657,0.024998289794311467,0.494826771395457
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTROL_1,166.007354,196.007354,30.0,30,0.00858010890417729,0.17425684228888183,0.001089403692509091,0.03268211077527273,-0.4496474190559505,-0.3926457867241889,0.18715988975651499,0.21646121961921108,0.7758885816653284,-0.38001088221174384
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,TARGET_1,166.007354,196.007354,30.0,30,1.2203329983873918,1.4778652115947815,1.1910256258335425,35.730768775006275,1.7742223786825304,1.670495641149184,1.3216434446781935,2.9980932488574137,0.8705699277490583,0.6915115835556449
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTEXTUAL_OVERRIDE_1,166.007354,196.007354,30.0,30,0.008652435812055883,0.5430527158462287,0.003402495281241208,0.10207485843723624,-0.7082921647352265,-0.7709754587005107,0.6411524882079737,0.3539526829128587,0.0035265472584796566,0.41788862643522884
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTROL_1,263.007354,328.007354,65.0,65,0.09844602570640662,0.1532415639544634,0.015436938052599764,1.0034009734189846,-0.3834533759776718,-0.26050906091130677,-0.07685080203429562,-0.29375246473250893,0.048129235624374066,-0.8196287671091002
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,TARGET_1,263.007354,328.007354,65.0,65,1.0085491561807818,0.6320698367935255,0.6330884331005462,41.1507481515355,1.219555762186664,1.335786737591477,0.4278378417797859,0.753905358615884,0.10731311952043578,-0.7748731693654203
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTEXTUAL_OVERRIDE_1,263.007354,328.007354,65.0,47,0.10095606113373722,0.32503335001434946,0.03711325814874111,1.7443231329908322,-0.5779667715901087,-0.6628584022015809,0.3893869266458878,0.050073831241772976,0.2063488127579269,0.5659442040764812
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,CONTROL_1,271.007354,311.007354,40.0,40,0.12068266081765984,0.15120277006952845,0.017847127751918417,0.7138851100767367,-0.3557006486542713,-0.2274745511423327,-0.18448729823224214,-0.2706237330033434,0.03016558865907178,-0.854840650079591
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,TARGET_1,271.007354,311.007354,40.0,40,1.0190586446232544,0.618226433035111,0.6114878048098518,24.45951219239407,1.2266297132575363,1.3493437388402831,0.3119742989066214,0.9767872065456954,0.12598750956266025,-0.8180935038849799
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,CONTEXTUAL_OVERRIDE_1,271.007354,311.007354,40.0,28,0.007230996004955407,0.314485362138366,0.0008400118547290602,0.023520331932413686,-0.9937451659592975,-1.0871524012299147,0.2808411987008706,0.15498128477231174,0.0027873424489578,0.6227149018041143
