cue_index,value,start_sec,end_sec,duration_sec,interval_sec,position,badge_x1,badge_y1,badge_x2,badge_y2,pre_badge_background_luminance,contrast_pre_badge_0_1,contrast_protected_badge,content_start_sec,content_end_sec
43,4,130.251251,131.101251,0.85,3.0,upper_right,1183,32,1235,78,73.03715515136719,0.5547019337183534,True,129.0,129.85
44,5,133.251251,134.101251,0.85,3.0,upper_right,1183,32,1235,79,149.74757385253906,0.2600446122149277,True,132.0,132.85
45,7,136.251251,137.101251,0.85,3.0,upper_right,1183,32,1235,78,147.718017578125,0.26639479107653313,True,135.0,135.85
46,10,139.251251,140.101251,0.85,3.0,upper_right,1168,32,1235,79,161.29869079589844,0.2250819208676282,True,138.0,138.85
47,2,142.251251,143.101251,0.85,3.0,upper_right,1183,32,1235,78,148.79934692382812,0.2630035279210142,True,141.0,141.85
48,9,145.251251,146.101251,0.85,3.0,upper_right,1183,32,1235,78,146.40789794921875,0.27052806468195334,True,144.0,144.85
49,3,148.251251,149.101251,0.85,3.0,upper_right,1183,32,1235,79,141.1981658935547,0.2872346305858101,True,147.0,147.85
50,1,151.251251,152.101251,0.85,3.0,upper_right,1183,32,1235,78,161.6626434326172,0.2240118182288294,True,150.0,150.85
51,5,154.251251,155.101251,0.85,3.0,upper_right,1183,32,1235,79,120.18180084228516,0.35934098747782084,True,153.0,153.85
52,7,157.251251,158.101251,0.85,3.0,upper_right,1183,32,1235,78,11.983590126037598,0.9102297592485347,True,156.0,156.85
53,10,160.251251,161.101251,0.85,3.0,upper_right,1168,32,1235,79,37.20853042602539,0.7453289214764424,True,159.0,159.85
54,6,163.251251,164.101251,0.85,3.0,upper_right,1183,32,1235,79,51.04922103881836,0.6663986191584343,True,162.0,162.85
55,9,166.251251,167.101251,0.85,3.0,upper_right,1183,32,1235,78,83.49180603027344,0.506683442280148,True,165.0,165.85
56,9,169.251251,170.101251,0.85,3.0,upper_right,1183,32,1235,78,159.82843017578125,0.22942393209276035,True,168.0,168.85
57,2,172.251251,173.101251,0.85,3.0,upper_right,1183,32,1235,78,66.63988494873047,0.5856242440071447,True,171.0,171.85
58,9,175.251251,176.101251,0.85,3.0,upper_right,1183,32,1235,78,66.79029083251953,0.5848831178084047,True,174.0,174.85
59,1,178.251251,179.101251,0.85,3.0,upper_right,1183,32,1235,78,66.59781646728516,0.5858316608503733,True,177.0,177.85
60,10,181.251251,182.101251,0.85,3.0,upper_right,1168,32,1235,79,62.4424934387207,0.6065902011693356,True,180.0,180.85
61,6,184.251251,185.101251,0.85,3.0,upper_right,1183,32,1235,79,65.83348083496094,0.5896096569570245,True,183.0,183.85
62,3,187.251251,188.101251,0.85,3.0,upper_right,1183,32,1235,79,84.77598571777344,0.500988948414471,True,186.0,186.85
63,2,190.251251,191.101251,0.85,3.0,upper_right,1183,32,1235,78,66.7536392211914,0.5850636550666453,True,189.0,189.85
64,1,193.251251,194.101251,0.85,3.0,upper_right,1183,32,1235,78,66.6816635131836,0.5854183102782922,True,192.0,192.85
65,3,196.251251,197.101251,0.85,3.0,upper_right,1183,32,1235,79,45.26975631713867,0.698472751824116,True,195.0,195.85
66,2,199.251251,200.101251,0.85,3.0,upper_right,1183,32,1235,78,0.0,0.9999999960784314,True,198.0,198.85
