phase,n_resp,resp_mean,resp_std,resp_ptp
BASELINE_1,1200,10.93050310452779,2.975069682560091,22.335811614990234
CONTROL_1,2038,10.573338254979127,1.8863682996233038,7.8515167236328125
WASHOUT_1,1200,10.630173714955648,2.024868662733291,7.810638427734375
TARGET_1,2014,10.426952297661487,2.0586582507862365,9.371734619140625
WASHOUT_2,1200,9.855834064483643,2.000380760976957,7.948600769042969
CONTEXTUAL_OVERRIDE_1,2014,10.394832254995064,1.8022673079340155,10.863861083984375
WASHOUT_3,1200,10.316685835520426,1.9575543578412273,7.7876434326171875
BASELINE_2_REFLECTION,1200,7.226615746815999,2.234228346371706,13.860870361328125
