roi_group,band_hz,BASELINE_1,BASELINE_2_REFLECTION,CONTEXTUAL_OVERRIDE_1,CONTROL_1,TARGET_1,WASHOUT_1,WASHOUT_2,WASHOUT_3,TARGET_1_minus_CONTEXTUAL_OVERRIDE_1,TARGET_1_minus_CONTROL_1,CONTEXTUAL_OVERRIDE_1_minus_CONTROL_1
artifact_jaw_temporal,25-30,2.2398604006669225,0.268410414912263,0.3545038582477425,-0.39317670924006615,-0.5777059401637965,-1.238647604814783,0.19747899530840196,-0.8507234149166847,-0.932209798411539,-0.18452923092373036,0.7476805674878086
artifact_jaw_temporal,30-35,2.0767940385218626,0.31690736418904647,0.15668784930380983,-0.4878112963564987,-0.28690458484952136,-1.513632793086884,0.545830579428509,-0.8078711571503242,-0.44359243415333116,0.20090671150697736,0.6444991456603085
artifact_jaw_temporal,35-40,2.060590553275712,0.14468370994382765,0.01396714642414202,-0.5407147772084293,-0.17191370281761106,-1.4562385694935582,0.7776240567118743,-0.8279984168359578,-0.18588084924175308,0.3688010743908182,0.5546819236325713
artifact_jaw_temporal,40-45,1.9989286861874442,0.45205808999826397,-0.20540787789842613,-0.3447444416087139,-0.12977143846329697,-1.573426790734769,0.6517962790181445,-0.8494325064986467,0.07563643943512915,0.21497300314541695,0.1393365637102878
artifact_jaw_temporal,45-50,1.9125879289163283,0.45480407069008383,-0.06865863176350932,-0.42332126385605057,-0.14522545825018213,-1.6208497386888825,0.750634030809097,-0.8599709378568849,-0.0765668264866728,0.27809580560586844,0.35466263209254123
artifact_jaw_temporal,50-55,1.927312497085294,0.4506180506334321,-0.20081151092951205,-0.3899300029456111,-0.1443607249239711,-1.559846200501794,0.8048646740826858,-0.887846782500523,0.05645078600554096,0.24556927802164,0.18911849201609904
fp1_ocular,25-30,2.3996347951701993,0.094817518155398,0.4584117892990091,-0.7255699270597411,-0.6424246387488793,-0.8927792009578198,-0.19289366482042358,-0.49919667103774273,-1.1008364280478884,0.08314528831086176,1.1839817163587503
fp1_ocular,30-35,2.4296050574383345,0.14010816454204433,0.40050527206453074,-0.7793232847024094,-0.49600952663112835,-0.7856426164504008,-0.32613327684961824,-0.5831097894113527,-0.8965147986956591,0.28331375807128106,1.1798285567669402
fp1_ocular,35-40,2.475401097668843,0.20610697930411395,0.15966211353731738,-0.7016185512589869,-0.6239414895579675,-0.7983598545051912,-0.23979059007613163,-0.4774597051119969,-0.7836036030952849,0.0776770617010194,0.8612806647963043
fp1_ocular,40-45,2.4178587337528503,0.45115516529630795,0.03848197430620258,-0.6563999604569286,-0.75647166143564,-0.8005867855508991,-0.1680720758084255,-0.5259653901034669,-0.7949536357418426,-0.10007170097871143,0.6948819347631312
fp1_ocular,45-50,2.4266749488194033,0.3017225105163405,0.19023097324231633,-0.7040501883394834,-0.6921087357981578,-0.8715183408406844,-0.18779788653387808,-0.46315328106585657,-0.8823397090404741,0.011941452541325615,0.8942811615817997
fp1_ocular,50-55,2.460305516800857,0.3627494878283122,0.03094431893139145,-0.8216442669715924,-0.5919855085441862,-0.6971376576859789,-0.2562726678617021,-0.4869592224971013,-0.6229298274755777,0.22965875842740624,0.8525885859029839
meaning_posterior_temporal_parietal,25-30,2.1060188792242216,0.6220118651273815,0.20479341415013777,-0.9909060930234361,-0.2656332311591185,-1.3011788571221046,0.21242876944772515,-0.5875347466448064,-0.47042664530925626,0.7252728618643176,1.1956995071735739
meaning_posterior_temporal_parietal,30-35,2.085782425594577,0.7155730257265643,0.13433990363466816,-0.9775514189469476,-0.252101781279893,-1.3124743129384784,0.19065702831245848,-0.5842248701029487,-0.3864416849145612,0.7254496376670546,1.1118913225816158
meaning_posterior_temporal_parietal,35-40,2.0462909464830763,0.762604360899507,0.06191748760079958,-0.9492150761418497,-0.13725056334576377,-1.4257321293203762,0.1450632044702735,-0.5036782306456667,-0.19916805094656334,0.811964512796086,1.0111325637426494
meaning_posterior_temporal_parietal,40-45,2.059090623548934,0.8190376945882859,-0.12498170216247693,-0.8662284006992622,-0.16804224534883866,-1.4488876263483623,0.1473093775700483,-0.41729772114832825,-0.043060543186361724,0.6981861553504236,0.7412466985367853
meaning_posterior_temporal_parietal,45-50,1.9949613417951513,0.7998197273350696,-0.059865495917565174,-0.921307461642665,-0.14766424288776406,-1.451667922821244,0.3264083076241732,-0.5406842534851554,-0.08779874697019888,0.7736432187549009,0.8614419657250998
meaning_posterior_temporal_parietal,50-55,1.8264627225704533,1.0166586475344461,-0.08731908226633708,-0.9714870773373891,-0.050576694627880094,-1.5217785415931777,0.3052352283196978,-0.5171952025998134,0.03674238763845699,0.9209103827095091,0.884167995071052
task_frontal,25-30,2.4023339583686485,0.1220414303370483,0.511749449031732,-0.5805632412567382,-0.8162847064051532,-0.6815523311774397,-0.5917865874271642,-0.36593797147093354,-1.3280341554368853,-0.23572146514841497,1.0923126902884701
task_frontal,30-35,2.3845586809662462,0.3113300102188967,0.42898647579865495,-0.6897612694323578,-0.7937418610294319,-0.6789867177695531,-0.5199976900131231,-0.44238762873933113,-1.2227283368280868,-0.10398059159707407,1.1187477452310128
task_frontal,35-40,2.4021254229135756,0.4263396715671666,0.24556825821083147,-0.5849687804719677,-0.8108776698533829,-0.7165743478417717,-0.5588605837144581,-0.40275197080999364,-1.0564459280642144,-0.2259088893814153,0.8305370386827992
task_frontal,40-45,2.36135959022183,0.48927854891874817,0.21659460885243323,-0.5809728392380208,-0.9751693843259689,-0.6925054867791597,-0.5407931147191816,-0.2777919229306817,-1.191763993178402,-0.3941965450879481,0.797567448090454
task_frontal,45-50,2.3906212647350897,0.47470053938801116,0.21121748636337553,-0.6159927024626113,-0.7905802841713604,-0.7886645622664483,-0.44998288856980656,-0.4313188530162494,-1.0017977705347358,-0.1745875817087491,0.8272101888259868
task_frontal,50-55,2.4126532332495887,0.4512263590722938,0.16837142520509651,-0.5057565237256628,-0.8483393730015553,-0.707580026778515,-0.4839917452751732,-0.48658334874607206,-1.0167107982066517,-0.34258284927589244,0.6741279489307593
visual_occipital,25-30,2.253731243144023,0.11405020053107005,0.8131244762178841,-0.5815729387007749,-0.9934356173044127,-0.4341538021120373,-0.7381777257535563,-0.4335658360221955,-1.8065600935222967,-0.4118626786036378,1.3946974149186588
visual_occipital,30-35,2.30707136252069,0.1521498489959257,0.6938189221940445,-0.5438977731509175,-0.9897951831785939,-0.5229857129741644,-0.6550682345539913,-0.4412932298529933,-1.6836141053726386,-0.44589741002767647,1.2377166953449619
visual_occipital,35-40,2.3147591290552874,0.24226633875901127,0.6486700603301193,-0.6392759804968354,-0.8931353056428576,-0.48723340593396647,-0.6805045876553352,-0.5055462484154233,-1.541805365972977,-0.25385932514602216,1.2879460408269547
visual_occipital,40-45,2.3246945640022667,0.3539058784043129,0.4795669739882875,-0.4638344325868419,-1.0154762466328089,-0.6105811082502447,-0.6935292242540213,-0.3747464046709509,-1.4950432206210964,-0.5516418140459669,0.9434014065751295
visual_occipital,45-50,2.3362858437500758,0.4226205323698796,0.4417978247902554,-0.5480909331776742,-0.8838034470571746,-0.6986166647913047,-0.6485445397716937,-0.42164861611236304,-1.3256012718474302,-0.3357125138795004,0.9898887579679296
visual_occipital,50-55,2.3619181238718676,0.4291219929047875,0.32371559654180276,-0.6445723741509232,-0.8872584115348634,-0.6162959167398253,-0.6866587827062671,-0.27997022818657724,-1.2109740080766662,-0.24268603738394023,0.9682879706927259
