blink_time_lsl,phase,fp1_lowfreq_abs_robust_z_peak,fp1_p2p_360ms,fp1_lowfreq_abs_peak,detector_threshold_z,detector,condition_offset_sec
1210.157832925342,,45.571889636691814,699.1624859011195,474.81509873983777,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1211.159074785077,,38.222470397698025,508.4456432058046,399.80192406583615,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1212.6649425421183,,27.290556971011238,204.04949471354348,288.2233755124689,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1214.002601666724,,49.5264127366264,507.03040203650016,515.1776528956652,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1232.4094320160902,,44.66239796867977,551.3740611570393,465.53220778769804,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1235.4772370743178,,44.32506974225234,678.7232699654678,462.08920632749886,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1240.163048977877,,43.98377865814584,543.5425658293202,458.60575724475666,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1241.2684199910243,,48.53789025113595,617.332171918445,505.0881196329764,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1242.4298605483168,,46.66940241200715,657.238193278462,486.01706107787805,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1250.6160139935091,BASELINE_1,39.918508265770996,592.7637790694298,417.1128408490917,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,0.40155269350907474
1251.160689565205,BASELINE_1,29.267008216657125,485.89044833105845,308.39638207299566,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,0.9462282652050362
1251.561186309099,BASELINE_1,44.24343402349893,548.4121286120467,461.2559766216744,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,1.3467250090989182
1252.7947162802923,BASELINE_1,40.11137909818147,307.0773833187368,419.0814118300973,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,2.5802549802922385
1254.9654086321975,BASELINE_1,26.22496176999445,320.2103076061071,277.34718566041283,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,4.750947332197484
1255.3739153109693,BASELINE_1,31.116213787661465,502.9895464434808,327.2706326763504,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,5.159454010969284
1257.7528659696995,BASELINE_1,42.90339682844866,547.9105575517137,447.578644996798,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,7.538404669699503
1258.842217113091,BASELINE_1,42.90324390881746,222.3142616819207,447.57708419496674,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,8.627755813090971
1259.3308231406415,BASELINE_1,38.326192277444186,661.8201930295343,400.8605801623115,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,9.116361840641503
1259.8835086472152,BASELINE_1,25.72917796766198,507.8450654951009,272.28687874968637,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,9.669047347215155
1261.3893764042566,BASELINE_1,36.94272450027806,453.9463037364169,386.7399664580614,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,11.17491510425657
1262.2143996966781,BASELINE_1,22.70298167799987,148.84760322826548,241.3994598268656,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,11.99993839667809
1263.3277806447034,BASELINE_1,51.65741292151657,640.5672382694215,536.9280911141525,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,13.113319344703314
1263.7523071932308,BASELINE_1,27.30411061312702,446.69181769670286,288.36171320833824,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,13.537845893230724
1264.6734497041869,BASELINE_1,137.55980070703293,1734.444137788828,1413.70632492069,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,14.458988404186812
1265.0899663178366,BASELINE_1,57.15362935879079,228.5275729145319,763.5785781661948,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,14.875505017836531
1265.4504133873413,BASELINE_1,262.6945255115116,3463.1940947759276,2690.9164913700624,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,15.235952087341275
1266.1472777217166,BASELINE_1,31.381784938621504,471.79346449369757,329.9812325873807,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,15.932816421716552
1267.4769269114447,BASELINE_1,38.393033345969734,619.256816950112,401.5428055988605,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,17.262465611444668
1273.9729840974046,BASELINE_1,24.958536898873135,305.5350882886846,264.4211915131624,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,23.758522797404567
1279.6920776002103,BASELINE_1,27.091551071043547,325.0574734233826,286.19218585652584,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,29.47761630021023
1281.101826138717,BASELINE_1,26.314088095036986,523.4697301843428,278.256869592035,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,30.88736483871685
1308.2154557003375,BASELINE_1,26.017358405514678,461.22579651710726,275.22824443033494,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,58.000994400337504
1321.0153316351882,BASELINE_1,31.1143619952185,635.0225244427414,327.2517320223712,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,70.80087033518816
1332.8059557754261,BASELINE_1,33.045840775627916,394.9734666584534,346.9657189950093,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,82.59149447542609
1336.458486079739,BASELINE_1,26.63731222584583,448.05018794730654,281.5559150532837,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,86.244024779739
1344.5485203063968,BASELINE_1,25.526250847950617,339.39264973292825,273.41807526690945,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,94.33405900639673
1344.98906672468,BASELINE_1,30.96319757855423,611.8536883973665,325.7088451053251,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,94.77460542467998
1348.9379646194745,BASELINE_1,34.75324320085228,467.3339061901264,364.39263018312437,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,98.7235033194745
1356.5073530790703,BASELINE_1,24.854275040253814,308.7564090457911,263.3570240248048,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,106.29289177907026
1368.113748717117,BASELINE_1,28.217323500987035,492.4842870610049,297.68258546286097,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,117.89928741711697
1371.7021995424068,,25.077046468130117,302.0605284202793,265.6307808330978,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
1373.4323454760286,,25.032779783615833,321.56905350934676,265.1789649236051,22.566655837641957,Fp1_lowfreq_abs_robust_z_peak_conservative,
