anchor_id,annotation_id,scene_label,condition,condition_label,anchor_offset_sec,anchor_time_lsl,pre_start_lsl,pre_end_lsl,peak_start_lsl,peak_end_lsl,post_start_lsl,post_end_lsl,claim_level,needs_manual_rendered_time_lock,C_LZproxy_pre,C_LZproxy_peak,C_LZproxy_post,delta_C_strike_peak_minus_pre,delta_C_settle_post_minus_peak,delta_C_post_minus_pre,artifact_pre,artifact_peak,artifact_post,artifact_mean,delta_C_strike_z,delta_C_settle_neg_z,artifact_mean_z,CSI_complexity_settlement_index,CSI_z,ACG_candidate
CONTACT_A1_PENSACOLA_REALIZATION,ANN_CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTROL_1,Control,28.007354,1413.5053005,1398.5053005,1413.5053005,1413.5053005,1418.5053005,1423.5053005,1443.5053005,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9126189215855732,0.8555921052631579,0.9110690924509548,-0.05702681632241535,0.05547698718779692,-0.00154982913461843,1.3149346377953692,1.9494935849463162,1.1156162576453859,1.4600148267956905,-8.077411812324085,-4.564818754115921,2.868139264165758,-6.262631607731154,-6.402777452636677,False
CONTACT_A1_PENSACOLA_REALIZATION,ANN_CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,TARGET_1,Target,28.007354,1917.2144615,1902.2144615,1917.2144615,1917.2144615,1922.2144615,1927.2144615,1947.2144615,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9449077074871085,0.9419407894736841,0.9396831923558897,-0.0029669180134244133,-0.0022575971177943854,-0.005224515131218799,0.5343251218619517,0.3217367582852452,0.4159070567389847,0.42398964562872715,-1.1869394226426155,-0.01803435514736366,0.2759514727142778,-0.5974284945483462,-0.5074475205790374,False
CONTACT_A1_PENSACOLA_REALIZATION,ANN_CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTEXTUAL_OVERRIDE_1,Override,28.007354,2452.2293419,2437.2293419,2452.2293419,2452.2293419,2457.2293419,2462.2293419,2482.2293419,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9144371345029242,0.9246710526315789,0.9114041839512576,0.010233918128654707,-0.013266868680321342,-0.0030329505516666355,0.8440114929245169,0.6455718336833556,0.2602407311129959,0.5832746859069561,0.4956386028986842,0.8489812263549354,0.6744907594765952,0.47018077126880975,0.6035292149007846,True
CONTACT_A2_AVATAR_FATHER_RECOGNITION,ANN_CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTROL_1,Control,161.007354,1546.5053005,1531.5053005,1546.5053005,1546.5053005,1551.5053005,1556.5053005,1576.5053005,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9054937991530551,0.9171309199723445,0.9144454617146314,0.01163712081928947,-0.002685458257713158,0.008951662561576312,0.6497844282476082,0.6583318978773771,0.7710200767716474,0.6930454676322109,0.6744907594765951,0.01566108718249783,0.9491428484593956,0.1207397613047127,0.2398935244634808,False
CONTACT_A2_AVATAR_FATHER_RECOGNITION,ANN_CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,TARGET_1,Target,161.007354,2050.2144614999997,2035.2144615,2050.2144614999997,2050.2144614999997,2055.2144614999997,2060.2144614999997,2080.2144614999997,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.930811403508772,0.9399873606429867,0.9185130795739347,0.009175957134214707,-0.021474281069052026,-0.012298323934837319,0.6525492913352468,0.7033250032464413,1.020245389012749,0.792039894531479,0.36079093855640115,1.4953413769270758,1.1968319485843315,0.5958931522506984,0.7343481718960245,False
CONTACT_A2_AVATAR_FATHER_RECOGNITION,ANN_CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTEXTUAL_OVERRIDE_1,Override,161.007354,2585.2293419,2570.2293419,2585.2293419,2585.2293419,2590.2293419,2595.2293419,2615.2293419,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.886087254774868,0.8873355263157894,0.8896476104053235,0.0012482715409213307,0.0023120840895340944,0.003560355630455425,0.08409228126346395,0.11669353837578918,0.0052898208877194845,0.06869188017565754,-0.6496715373890737,-0.3779114629787047,-0.6130216397925432,-0.4624123501655003,-0.36694687101909235,False
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,ANN_CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTROL_1,Control,166.007354,1551.5053005,1536.5053005,1551.5053005,1551.5053005,1556.5053005,1561.5053005,1581.5053005,future_freeze_candidate_not_runner_registered,True,0.9097673242013078,0.9161184210526316,0.9110326327672629,0.006351096851323845,-0.005085788285368764,0.0012653085659550811,0.6625948451677393,0.6779370180796895,0.8129673513877066,0.7178330715450452,0.0007343644076106453,0.20469480507251006,1.0111626964420566,-0.10978941302235702,0.0,False
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,ANN_CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,TARGET_1,Target,166.007354,2055.2144614999997,2040.2144615,2055.2144614999997,2055.2144614999997,2060.2144614999997,2065.2144614999997,2085.2144614999997,future_freeze_candidate_not_runner_registered,True,0.9318049974073115,0.9476973684210526,0.9194536043773226,0.01589237101374108,-0.02824376404372997,-0.012351393029988889,0.6076516362330043,0.7248328471618891,1.025760747027543,0.7860817434741455,1.216864772251589,2.028459956519379,1.1819243510556237,1.2240112577358109,1.3879811298242237,False
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,ANN_CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTEXTUAL_OVERRIDE_1,Override,166.007354,2590.2293419,2575.2293419,2590.2293419,2590.2293419,2595.2293419,2600.2293419,2620.2293419,future_freeze_candidate_not_runner_registered,True,0.8880609389853947,0.8842477962146745,0.8910867551421656,-0.0038131427707202015,0.00683895892749109,0.0030258161567708886,0.10094440056565347,0.01843308520589996,0.0052898208877194845,0.04155576888642431,-1.2947991950062971,-0.7344174314007004,-0.6809175728935002,-0.9131474818831489,-0.8359913625152,False
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,ANN_CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTROL_1,Control,263.007354,1648.5053005,1633.5053005,1648.5053005,1648.5053005,1653.5053005,1683.5053005,1713.5053005,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.8827936399907815,0.9338815789473683,0.9338614135914497,0.05108793895658681,-2.0165355918644323e-05,0.051067773600668165,0.7999455001078726,0.10384772339341979,0.037305385870520215,0.31369953645727083,5.702890398182209,-0.19423931013251863,0.0,2.478892989622361,2.693837546157868,False
