phase,duration_sec,mean_lz_complexity_proxy,median_lz_complexity_proxy,blink_count,blink_rate_per_min,samples_lzc
CONTROL_1,303.04961890000004,0.9106978452090737,0.915296052631579,7,1.3859116587062632,303
TARGET_1,300.5046219999999,0.9360700374777017,0.9383223684210527,3,0.5989924507716891,301
CONTEXTUAL_OVERRIDE_1,300.43955529999994,0.8914079829602743,0.8885690789473684,5,0.9985369592909928,300
BASELINE_1,120.00262159999988,0.8901911410170541,0.9108466208625011,31,15.49966138406431,120
WASHOUT_1,120.00285370000006,0.9214052439828019,0.928453947368421,3,1.499964329598271,120
WASHOUT_2,120.00401190000002,0.9375753050010083,0.938733552631579,1,0.4999832843088473,120
WASHOUT_3,120.00180449999971,0.9101040586379744,0.9120788231354249,7,3.4999473695414394,120
BASELINE_2_REFLECTION,120.00259639999967,0.9161703474493247,0.9161184210526315,2,0.9999783638014713,119
