anchor_id,condition,scene_label,anchor_offset_sec,claim_level,needs_manual_rendered_time_lock,C_LZproxy_pre,C_LZproxy_peak,C_LZproxy_post,delta_C_strike_peak_minus_pre,delta_C_settle_post_minus_peak,CSI_complexity_settlement_index,CSI_z,ACG_candidate,artifact_mean,blink_rate_pre_per_min,blink_rate_hold_per_min,blink_rate_release_per_min,blink_suppression_pre_minus_hold,blink_release_release_minus_hold,ORI_ocular_release_index,ORI_z,OCU_candidate,artifact_hold,nearest_mred_dist_sec,nearest_K_HT_topo_local,nearest_theta_delta_10_30,nearest_MR_score,nearest_ENC_score,nearest_mred_quadrant,nearest_event_lock_candidate,MRED_ITP_convergence_score,MRED_ITP_convergence_z,MRED_ITP_candidate
CONTACT_A1_PENSACOLA_REALIZATION,CONTROL_1,Pensacola realization,28.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9126189215855732,0.8555921052631579,0.9110690924509548,-0.05702681632241535,0.05547698718779692,-6.262631607731154,-6.402777452636677,False,1.4600148267956905,2.4,6.0,0.0,-3.6,-6.0,-2.758283496395279,-3.640271867538732,False,1.5385910363375856,0.7091608000001415,0.3111433739961974,0.774271462305221,-0.59649767548917,2.629208535794843,MR_LOW_ENC_HIGH,False,-5.021524660087705,-5.89221456736095,False
CONTACT_A1_PENSACOLA_REALIZATION,TARGET_1,Pensacola realization,28.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9449077074871085,0.9419407894736841,0.9396831923558897,-0.0029669180134244133,-0.0022575971177943854,-0.5974284945483462,-0.5074475205790374,False,0.42398964562872715,4.8,0.0,0.0,4.8,0.0,0.46086037897269827,0.6665520391256028,False,0.30479361689855894,1.9999985667595865e-07,2.523384546664428,0.3450246241973188,1.396115005170206,0.2503677720881243,MR_HIGH_ENC_LOW,False,0.07955225927328269,0.37343432551535094,False
CONTACT_A1_PENSACOLA_REALIZATION,CONTEXTUAL_OVERRIDE_1,Pensacola realization,28.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9144371345029242,0.9246710526315789,0.9114041839512576,0.010233918128654707,-0.013266868680321342,0.47018077126880975,0.6035292149007846,True,0.5832746859069561,7.199999999999999,0.0,0.0,7.199999999999999,0.0,0.3860443052408734,0.5664572103680182,False,0.665060509449123,0.01488059999989133,0.1078756668082794,-0.6217164851623418,0.5118383626332189,-0.575697687407914,MR_HIGH_ENC_LOW,False,0.5849932126344014,0.994267063367529,False
CONTACT_A2_AVATAR_FATHER_RECOGNITION,CONTROL_1,Father/avatar recognition,161.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9054937991530551,0.9171309199723445,0.9144454617146314,0.01163712081928947,-0.002685458257713158,0.1207397613047127,0.2398935244634808,False,0.6930454676322109,0.0,0.0,0.0,0.0,0.0,-0.552230075008325,-0.6888400637887604,False,0.6782256332490616,5.709160800000149,0.3060150488228956,0.2691053400293842,-0.6474974305801318,0.2656547665267665,MR_LOW_ENC_LOW,False,-0.2244732696626398,0.0,False
CONTACT_A2_AVATAR_FATHER_RECOGNITION,TARGET_1,Father/avatar recognition,161.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.930811403508772,0.9399873606429867,0.9185130795739347,0.009175957134214707,-0.021474281069052026,0.5958931522506984,0.7343481718960245,False,0.792039894531479,0.0,0.0,0.0,0.0,0.0,-0.5626730268633875,-0.7028114662630865,False,0.6880510483407178,1.9999984601781762e-07,4.37505045042146,2.1710557288870427,2.3567761131495573,1.0379636983575378,MR_HIGH_ENC_HIGH,True,0.01576835281646899,0.29508860181971136,False
CONTACT_A2_AVATAR_FATHER_RECOGNITION,CONTEXTUAL_OVERRIDE_1,Father/avatar recognition,161.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.886087254774868,0.8873355263157894,0.8896476104053235,0.0012482715409213307,0.0023120840895340944,-0.4624123501655003,-0.36694687101909235,False,0.06869188017565754,0.0,6.0,0.0,-6.0,-6.0,-1.5997071660171682,-2.090237314703623,False,0.1479806703760468,101.01488059999988,1.5204851138746682,-0.2687686975644949,0.5094178079669021,0.0132581973132158,MR_LOW_ENC_LOW,False,-1.2285920928613576,-1.2333583853660908,False
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,CONTROL_1,Father/avatar recognition TSP follow-through,166.007354,future_freeze_candidate_not_runner_registered,True,0.9097673242013078,0.9161184210526316,0.9110326327672629,0.006351096851323845,-0.005085788285368764,-0.10978941302235702,0.0,False,0.7178330715450452,0.0,0.0,0.0,0.0,0.0,-0.5415046596922216,-0.6744907594765952,False,0.6681344579785334,0.7091608000001486,0.3060150488228956,0.2691053400293842,-0.6474974305801318,0.2656547665267665,MR_LOW_ENC_LOW,False,-0.3372453797382976,-0.1385178968701739,False
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,TARGET_1,Father/avatar recognition TSP follow-through,166.007354,future_freeze_candidate_not_runner_registered,True,0.9318049974073115,0.9476973684210526,0.9194536043773226,0.01589237101374108,-0.02824376404372997,1.2240112577358109,1.3879811298242237,False,0.7860817434741455,0.0,0.0,4.0,0.0,4.0,-0.03735523440423705,0.0,False,0.7140789252041653,1.9999984601781762e-07,3.5111453151525347,1.8718879593710496,2.1146723157777485,0.3745708494130051,MR_HIGH_ENC_LOW,True,0.6939905649121119,1.1281484281109637,False
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,CONTEXTUAL_OVERRIDE_1,Father/avatar recognition TSP follow-through,166.007354,future_freeze_candidate_not_runner_registered,True,0.8880609389853947,0.8842477962146745,0.8910867551421656,-0.0038131427707202015,0.00683895892749109,-0.9131474818831489,-0.8359913625152,False,0.04155576888642431,0.0,6.0,0.0,-6.0,-6.0,-1.5997071660171682,-2.090237314703623,False,0.06756331179084457,106.01488059999988,1.5204851138746682,-0.2687686975644949,0.5094178079669021,0.0132581973132158,MR_LOW_ENC_LOW,False,-1.4631143386094114,-1.5214218811053855,False
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,CONTROL_1,Existential payload onset,263.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.8827936399907815,0.9338815789473683,0.9338614135914497,0.05108793895658681,-2.0165355918644323e-05,2.478892989622361,2.693837546157868,False,0.31369953645727083,4.8,0.0,4.0,4.8,4.0,1.1691694235436643,1.6141835972572207,True,0.08853250477436243,2.29083919999988,0.5518751489879098,-6.836234120925118,-0.3968165205743565,-6.690340003395235,MR_LOW_ENC_LOW,False,2.1540105717075444,2.9214898898784174,False
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,TARGET_1,Existential payload onset,263.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9410144434361768,0.9319078947368421,0.9432079210238239,-0.009106548699334693,0.01130002628698179,-1.3748568045701512,-1.3164558287605272,False,0.06410099761997223,0.0,0.0,0.0,0.0,0.0,0.0,0.04997677109191892,False,0.0556040322158605,1.9999987443952705e-07,1.6043515756331284,1.541132769484746,0.9668367278712078,1.4238190311028946,MR_HIGH_ENC_HIGH,False,-0.6332395288343041,-0.5020872846483102,False
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,CONTEXTUAL_OVERRIDE_1,Existential payload onset,263.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.8760559804684125,0.8824013157894737,0.9149003975455882,0.006345335321061185,0.03249908175611449,-1.2398556242959422,-1.1759707511678692,False,0.2531507336828119,0.0,0.0,0.0,0.0,0.0,0.0,0.04997677109191892,False,0.0,203.0148805999999,1.5204851138746682,-0.2687686975644949,0.5094178079669021,0.0132581973132158,MR_LOW_ENC_LOW,False,-0.5629969900379751,-0.41580842777171706,False
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,CONTROL_1,Late payload / terminal release,281.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9318614423991012,0.9315789473684211,0.9290923519286722,-0.00028249503068011883,-0.002486595439748829,-0.3801523414178694,-0.28134536969731916,False,0.04605362486489217,4.8,6.0,0.0,-1.2000000000000002,-6.0,-0.9835192888238564,-1.2658527008939813,False,0.039881644781778205,8.70916080000012,0.8011111525464635,-0.2609660758366621,-0.3598366135300155,0.1458851183365585,MR_LOW_ENC_LOW,False,-0.7735990352956502,-0.6744907594765952,False
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,TARGET_1,Late payload / terminal release,281.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.9375618464264107,0.9399881708581799,0.9334512196439376,0.0024263244317691557,-0.006536951214242248,-0.08124228313853413,0.02970674588644843,False,0.18380784131846575,0.0,0.0,0.0,0.0,0.0,0.0,0.04997677109191892,False,0.1586513032742581,1.9999987443952705e-07,2.153383273035959,0.3699839950095932,1.4945831411000765,0.5835214160526365,MR_HIGH_ENC_LOW,False,0.03984175848918368,0.32465794766284406,False
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,CONTEXTUAL_OVERRIDE_1,Late payload / terminal release,281.007354,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True,0.8802199464177686,0.8906598392533056,0.8796086319473821,0.010439892835537035,-0.01105120730592346,0.5383723004758663,0.6744907594765952,True,0.0013692208521196212,0.0,0.0,0.0,0.0,0.0,0.0,0.04997677109191892,False,0.0,221.0148805999999,1.5204851138746682,-0.2687686975644949,0.5094178079669021,0.0132581973132158,MR_LOW_ENC_LOW,False,0.36223376528425705,0.7206518039367786,False
