condition,anchor_source,anchor_metric,anchor_time_lsl,condition_offset_sec,peak_score,K_HT_topo_local,eta_E_from_topo_proxy,zeta_topo_from_E_proxy,K_sign,theta_delta_0_10,theta_delta_10_30,K_percentile_by_condition,theta_10_30_percentile_by_condition,MR_score,ENC_score,mred_quadrant,event_lock_candidate
CONTROL_1,physiology_exploratory,meaninggamma_score,1394.2144613,8.716514800000141,0.6886671812648095,0.5766102257539725,-0.7025361725947536,0.47325584847263424,-1.0,-0.38531862705043785,2.672227347778545,56.060606060606055,80.3030303030303,-0.14033657358306456,1.4239824357533797,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1403.2144613,17.71651480000014,0.6394971070630604,0.16336336107669103,-0.09966000148905976,0.2677863470150858,-1.0,0.24416826316479534,3.2818144850902837,10.606060606060606,86.36363636363636,-0.3770817667685812,2.012257535961465,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1414.2144613,28.71651480000014,-0.027766814364426518,0.31114337399619746,0.2775716982093492,0.3487754688474102,1.0,5.557914722896958,0.774271462305221,30.303030303030305,66.66666666666666,-0.59649767548917,2.629208535794843,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1430.2144613,44.71651480000014,-0.15362401127683664,0.5156057456123208,0.4479151648802521,-0.5935259749008737,-1.0,-4.108837382629801,-3.666114977359676,46.96969696969697,13.636363636363635,-0.5460464957768855,-3.608495016197949,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1456.2144613,70.71651480000014,-0.11292057818870482,0.3886604013969301,-0.592982694990937,0.25474083626729027,-1.0,0.9434871865385772,1.04646443643046,34.84848484848485,71.21212121212122,-0.5939930867768467,1.0107607653418929,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1470.2144613,84.71651480000014,-0.1294814505645991,0.5840031134045006,-0.6657918932011225,0.5122616240133802,-1.0,0.5314962480563525,2.3063265067510943,60.60606060606061,75.75757575757575,-0.4997562524996938,1.568354218389938,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1492.2144613,106.71651480000014,0.699969318207585,0.2914781503259782,0.41742854088457243,-0.20353067362719357,-1.0,2.1899757495151775,-0.594504932845662,21.21212121212121,27.27272727272727,-0.2836042121435711,0.5572673425023645,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1552.2144613,166.71651480000014,-0.13662235641143552,0.30601504882289565,-0.1525387127363292,0.6139111077195836,-1.0,0.15396018021746394,0.26910534002938424,25.757575757575758,56.060606060606055,-0.6474974305801318,0.26565476652676656,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1561.2144613,175.71651480000014,-0.1791016241785274,1.0727373098626254,-0.9724659097573988,1.1833477394167822,-1.0,0.5862764730994828,0.4533096331802552,83.33333333333334,62.121212121212125,-0.2676167408683941,0.5364467445604992,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1572.2144613,186.71651480000014,-0.16355675631286662,0.9489275589524914,-0.8659199234207773,1.0398923593099623,-1.0,-0.5551811044546616,-0.44269105099499495,77.27272727272727,34.84848484848485,-0.3251032350376786,-0.4113072798469223,MR_LOW_ENC_LOW,False
