condition,condition_offset_sec,video_luminance_proxy,video_change_proxy,video_luminance_z,video_change_z
TARGET_1,0.0,187.50601851851852,,9.40002137138918,
TARGET_1,1.0,0.003703703703703704,187.50324074074075,-2.1640614144800496,33.83977967612555
TARGET_1,2.0,35.96239872685185,35.958695023148145,0.053667612119966346,5.2392294062128135
TARGET_1,3.0,43.97326533564815,20.646115451388887,0.547732577356099,2.349331919435111
TARGET_1,4.0,50.816474247685186,14.628315972222222,0.9697830168824156,1.21361056632949
TARGET_1,5.0,55.22652054398148,9.52980324074074,1.2417697414743452,0.25138346018034324
TARGET_1,6.0,58.48359664351852,7.353508391203704,1.4426477823247847,-0.15934217795861133
TARGET_1,7.0,59.432952835648145,8.501060474537036,1.5011987053355613,0.05723190520159812
TARGET_1,8.0,61.82695023148148,11.20445167824074,1.6488469309156792,0.5674348666783694
TARGET_1,9.0,62.73489583333333,7.693674768518519,1.7048438828213155,-0.09514359180390654
TARGET_1,10.0,62.33604890046296,7.903447627314815,1.680245258771483,-0.05555378561947787
TARGET_1,11.0,61.92734519675926,5.739169560185185,1.6550387248191483,-0.46401153224377445
TARGET_1,12.0,60.98376302083334,9.574456018518518,1.5968439104860301,0.25981064579416574
TARGET_1,13.0,60.24425202546296,9.112957175925926,1.5512350529102201,0.1727133452309842
TARGET_1,14.0,19.787256944444444,45.836251446759256,-0.9439236913776505,7.103391179239222
TARGET_1,15.0,19.858572048611112,2.103054108796296,-0.9395253789126511,-1.1502447599869337
TARGET_1,16.0,19.66296585648148,2.030669849537037,-0.9515892630382938,-1.1639056254169096
TARGET_1,17.0,19.594422743055556,2.049605034722222,-0.9558166147850787,-1.1603320443738268
TARGET_1,18.0,73.05226128472222,58.906339699074074,2.3411606575222814,9.570069965482933
TARGET_1,19.0,69.44260127314814,13.489555844907407,2.118537234211957,0.9986957628146667
TARGET_1,20.0,69.86741319444444,5.467780671296296,2.1447372319620985,-0.5152299480739745
TARGET_1,21.0,69.52812934027777,6.509116030092593,2.1238121218834998,-0.3187018306411498
TARGET_1,22.0,68.57172309027777,8.195888310185186,2.0648263911588094,-0.0003623274789247336
TARGET_1,23.0,17.214343171296296,57.09057725694444,-1.1026064676568343,9.22738653363495
TARGET_1,24.0,16.999056712962965,2.1048958333333334,-1.115884119345039,-1.1498971768063222
TARGET_1,25.0,16.684247685185184,4.183582175925926,-1.135299760493559,-0.7575929011546593
TARGET_1,26.0,16.94456886574074,3.603385416666667,-1.119244621729897,-0.8670917056220808
TARGET_1,27.0,17.058058449074075,4.615393518518519,-1.1122452258115232,-0.6760984339505897
TARGET_1,28.0,16.705912905092593,4.757903645833333,-1.1339635722079329,-0.6492029225289216
TARGET_1,29.0,16.589599247685186,5.24240162037037,-1.1411371410500826,-0.5577650643677962
TARGET_1,30.0,74.92776475694444,62.93741898148148,2.4568311090544848,10.330843539434877
TARGET_1,31.0,78.308984375,6.927452256944444,2.665365620316477,-0.23975048185358983
TARGET_1,32.0,78.74844039351852,5.3652951388888885,2.692468783196977,-0.5345717370356116
TARGET_1,33.0,79.77831886574074,6.604927662037037,2.755985865233669,-0.3006195870150678
TARGET_1,34.0,78.2902879050926,6.654084201388889,2.6642125277478534,-0.2913424199077307
TARGET_1,35.0,74.78790943287036,10.035894097222222,2.448205623298565,0.3468964785697704
TARGET_1,36.0,60.95108072916667,21.731614583333332,1.5948282514962275,2.5541949340960186
TARGET_1,37.0,52.67728587962963,16.8398828125,1.0845473587624965,1.6309929821144078
TARGET_1,38.0,55.74019386574074,14.574927662037037,1.2734502080519623,1.2035347497301745
TARGET_1,39.0,56.79627459490741,9.669272280092592,1.3385832971698548,0.2777050361380321
TARGET_1,40.0,55.35029803240741,7.007605613425926,1.2494036372190356,-0.2246233778691095
TARGET_1,41.0,53.01459201388889,7.845448495370371,1.105350494257693,-0.06649978886184871
TARGET_1,42.0,53.24145688657408,7.437446469907408,1.1193422370877923,-0.14350079463361265
TARGET_1,43.0,52.72306568287037,9.716724537037036,1.0873707982230685,0.28666055910808674
TARGET_1,44.0,52.64044704861111,6.600726273148148,1.0822753479233047,-0.3014125026132578
TARGET_1,45.0,52.92582320601852,4.762991898148148,1.099875736017883,-0.6482426318406176
TARGET_1,46.0,55.137293113425926,10.162824074074074,1.236266697980008,0.37085159464815004
TARGET_1,47.0,53.96032552083334,9.209152199074074,1.1636779905260854,0.19086794513582686
TARGET_1,48.0,52.35049189814815,8.85060329861111,1.0643925534231171,0.12320008019647868
TARGET_1,49.0,50.07849247685185,10.16127025462963,0.9242684732310069,0.37055834693724915
TARGET_1,50.0,48.584552951388886,13.426624710648149,0.8321307288698322,0.9868189574806189
TARGET_1,51.0,43.714280960648146,12.050517939814815,0.5317598852018472,0.727110429604402
TARGET_1,52.0,43.40446614583333,11.125092592592592,0.5126522588754965,0.5524576630600759
TARGET_1,53.0,42.47954427083334,8.933278356481482,0.45560830641269606,0.1388030973654101
TARGET_1,54.0,41.31384693287037,8.48128761574074,0.3837146845510952,0.05350023251548772
TARGET_1,55.0,40.468781828703705,7.597446469907408,0.33159584626536975,-0.11330447168766045
TARGET_1,56.0,39.045266203703704,7.407054398148148,0.24380144996292089,-0.14923659972010742
TARGET_1,57.0,35.272213541666666,7.146059027777778,0.01110089166670314,-0.1984934777894955
TARGET_1,58.0,34.53762152777778,4.662974537037037,-0.03420459093941496,-0.667118610192574
TARGET_1,59.0,33.87591724537037,4.942039930555556,-0.07501477031816535,-0.6144514305317964
TARGET_1,60.0,33.25126157407407,5.158463541666666,-0.11354000080754562,-0.5736064476927948
TARGET_1,61.0,32.26988715277778,5.590847800925926,-0.17406562718721622,-0.49200385563442667
TARGET_1,62.0,31.427879050925927,26.07025462962963,-0.22599592685207165,3.373013533997293
TARGET_1,63.0,32.345774016203706,9.380768229166666,-0.1693853544562683,0.22325652680694025
TARGET_1,64.0,31.92783420138889,4.427737268518518,-0.19516151952816482,-0.7115142384995045
TARGET_1,65.0,29.684578993055556,20.746898148148148,-0.3335128191620899,2.3683523373020274
TARGET_1,66.0,29.789615162037038,1.6166767939814815,-0.32703478205192393,-1.2420373004352663
TARGET_1,67.0,29.703140914351852,1.407880497685185,-0.3323680247911663,-1.2814428028907767
TARGET_1,68.0,29.88277777777778,1.4570963541666666,-0.3212890385818335,-1.272154441038424
TARGET_1,69.0,38.92873553240741,23.11736400462963,0.23661449693093192,2.8157232906437017
TARGET_1,70.0,39.257954282407404,5.563712384259259,0.2569188482847827,-0.49712504191529944
TARGET_1,71.0,39.25804253472222,2.7133637152777776,0.25692429118865084,-1.0350628476473602
TARGET_1,72.0,39.24350405092593,3.8746484375,0.25602763969734843,-0.8158970444947191
TARGET_1,73.0,38.92831886574074,7.3213483796296295,0.23658879928644044,-0.16541164105508827
TARGET_1,74.0,37.904186921296294,4.051102430555556,0.17342613059669323,-0.7825954084984168
TARGET_1,75.0,40.31275607638889,6.047388599537037,0.3219730599105555,-0.4058422719290266
TARGET_1,76.0,40.71999565972222,3.8292592592592594,0.3470892951954411,-0.8244632087722739
TARGET_1,77.0,39.685224247685184,5.158648726851852,0.28327044429183806,-0.5735714982449406
TARGET_1,78.0,39.48854021990741,6.776822916666666,0.27114008535666023,-0.2681783081296117
TARGET_1,79.0,38.988719618055555,4.2609664351851855,0.24031397623045378,-0.7429884006326224
TARGET_1,80.0,38.190555555555555,4.404691840277778,0.19108772905280336,-0.7158635334594117
TARGET_1,81.0,33.656552372685184,21.737241030092594,-0.0885439555474172,2.555256796617149
TARGET_1,82.0,33.916863425925925,1.4540263310185184,-0.07248944137928118,-1.2727338373536305
TARGET_1,83.0,34.46517071759259,1.713587962962963,-0.03867294733124024,-1.2237475444625503
TARGET_1,84.0,35.08424479166667,2.336736111111111,-0.0004919582045271677,-1.1061426524334657
TARGET_1,85.0,35.98603153935185,2.9617491319444444,0.05512515039346877,-0.9881858085427879
TARGET_1,86.0,37.408763020833334,3.4941001157407405,0.14287118515663172,-0.887716794622111
TARGET_1,87.0,39.16779369212963,3.985353009259259,0.2513582527741364,-0.7950041007419946
TARGET_1,88.0,42.37251012731482,5.559146412037037,0.44900704552807597,-0.4979867642389524
TARGET_1,89.0,45.91489872685185,6.042926793981482,0.6674815484440739,-0.4066843351882614
TARGET_1,90.0,47.72829137731482,4.449665798611111,0.7793213556163301,-0.7073757323969672
TARGET_1,91.0,34.5961791087963,25.338912037037037,-0.030593090381103482,3.2349894270594435
TARGET_1,92.0,34.607038483796295,5.113469328703704,-0.029923345521543892,-0.5820980713510984
TARGET_1,93.0,33.49963252314815,6.043381076388889,-0.09822188476436902,-0.4065985998239943
TARGET_1,94.0,32.46499276620371,6.389703414351852,-0.16203261592613608,-0.3412382175707017
TARGET_1,95.0,53.3708666087963,31.547317708333335,1.1273234971727792,4.406683318496593
TARGET_1,96.0,52.48642795138889,2.8467303240740742,1.0727763207105385,-1.0098929652134887
TARGET_1,97.0,50.149221643518516,4.4357682291666665,0.9286306483834399,-0.7099985792413936
TARGET_1,98.0,45.597109375,10.78564525462963,0.6478820977550942,0.4883947790583673
TARGET_1,99.0,35.68042390046296,15.849700520833334,0.03627699889413653,1.4441188305235972
TARGET_1,100.0,30.506848958333332,19.693971354166667,-0.28279985617708725,2.1696366028675844
TARGET_1,101.0,29.618845486111113,6.449140625,-0.3375668902644217,-0.33002081002233885
TARGET_1,102.0,29.02003472222222,6.061290509259259,-0.3744981529718707,-0.40321860595691594
TARGET_1,103.0,29.07068865740741,4.182034143518519,-0.37137410460750736,-0.7578850566953147
TARGET_1,104.0,28.42794704861111,2.095872395833333,-0.4110147734780973,-1.1516001432615262
TARGET_1,105.0,33.406672453703706,22.22304253472222,-0.10395513632394268,2.6469406661260595
TARGET_1,106.0,27.625930266203703,13.448430266203705,-0.46047863463936184,0.9909342549654405
TARGET_1,107.0,24.73744068287037,14.001449652777778,-0.6386243428711642,1.0953039549177097
TARGET_1,108.0,21.92547164351852,10.90912181712963,-0.8120506965376881,0.5116981425427801
TARGET_1,109.0,18.408344907407407,11.604074074074074,-1.0289671905284565,0.6428544099347347
TARGET_1,110.0,15.135231481481481,11.567841435185185,-1.230834323008022,0.6360163320280289
TARGET_1,111.0,13.818716724537037,9.025400752314814,-1.312029510668293,0.15618908246002344
TARGET_1,112.0,13.026996527777778,7.078627025462963,-1.360858336635648,-0.21121971853193502
TARGET_1,113.0,50.10030381944444,41.6443431712963,0.9256136735377913,6.312264828953667
TARGET_1,114.0,49.72182581018519,9.533946759259258,0.9022712895462782,0.2521654540760789
TARGET_1,115.0,50.118859953703705,8.12091724537037,0.9267581109969862,-0.014511393008612886
TARGET_1,116.0,50.05319589120371,10.206532118055556,0.9227083228354032,0.3791004834694045
TARGET_1,117.0,49.70571759259259,9.553467881944444,0.9012778257484709,0.25584961735651274
TARGET_1,118.0,49.19862123842593,9.667021122685185,0.8700029893509182,0.2772801819125556
TARGET_1,119.0,48.30797743055555,15.910484664351852,0.8150731142872049,1.4555904406965865
TARGET_1,120.0,50.75416087962963,13.244429976851851,0.9659398806119516,0.952433888600839
TARGET_1,121.0,48.87186342592592,13.191197916666667,0.8498504147098449,0.9423875605981503
TARGET_1,122.0,49.64986255787037,12.88254195601852,0.8978330029676254,0.8841358414298718
TARGET_1,123.0,16.841303530092592,42.51008680555555,-1.1256134438509744,6.475654043756759
TARGET_1,124.0,16.2222265625,7.521472800925926,-1.1637946114335516,-0.12764275571237108
TARGET_1,125.0,51.753832465277775,43.803718171296296,1.0275939726509418,6.719797234337513
TARGET_1,126.0,48.79119068287037,17.00769675925926,0.8448749759789741,1.6626640079342667
TARGET_1,127.0,54.171427951388885,27.13779513888889,1.1766975950341876,3.5744872713440357
TARGET_1,128.0,48.401684027777776,20.805438368055555,0.8208524074598259,2.3794004584623467
TARGET_1,129.0,40.320653935185184,26.384441550925924,0.3224601551927748,3.432309094877651
TARGET_1,130.0,44.022335069444445,22.730923032407407,0.550758921134635,2.7427914381638896
TARGET_1,131.0,42.07188946759259,17.823127893518517,0.430466462711251,1.8165578946234953
TARGET_1,132.0,41.78147424768518,8.844194155092593,0.4125552937286036,0.12199050164965297
TARGET_1,133.0,42.25234085648148,10.1014453125,0.4415956842464474,0.3592677639824416
TARGET_1,134.0,42.30716290509259,5.347278645833334,0.4449767982836577,-0.5379719360522306
TARGET_1,135.0,42.430978009259256,7.022492766203704,0.45261301395458675,-0.22181376991271257
TARGET_1,136.0,42.60271267361111,6.079171006944445,0.4632046371979035,-0.3998440729410646
TARGET_1,137.0,42.94073640046296,3.8238831018518518,0.48405202974750206,-0.8254778349302887
TARGET_1,138.0,42.588276909722225,7.255326967592593,0.46231432088979185,-0.17787166530020157
TARGET_1,139.0,42.24456597222222,4.064578993055555,0.4411161733384703,-0.7800520170393462
TARGET_1,140.0,42.42722222222222,9.288738425925926,0.4523813782424342,0.20588801643625393
TARGET_1,141.0,41.32995081018519,7.322228009259259,0.3847078806651057,-0.16524563117778124
TARGET_1,142.0,39.72398148148148,7.154866898148148,0.2856607713692094,-0.19683119467593432
TARGET_1,143.0,35.66019241898148,16.016491608796297,0.035029235489382325,1.4755968152525745
TARGET_1,144.0,31.789833622685187,15.375107060185185,-0.20367261507492443,1.3545502217375438
TARGET_1,145.0,31.36431857638889,12.999505208333334,-0.22991597760014576,0.9062099673030407
TARGET_1,146.0,28.224186921296297,11.409532696759259,-0.4235815462299693,0.6061391958363067
TARGET_1,147.0,29.854153645833332,12.591494502314815,-0.3230544132216408,0.8292073232759085
TARGET_1,148.0,31.65709201388889,13.635232928240741,-0.21185936708791117,1.0261889644031525
TARGET_1,149.0,34.51340856481482,17.438240740740742,-0.03569790961375469,1.7439192898545846
TARGET_1,150.0,42.96504050925926,16.11515625,0.4855509697815746,1.4942174988096586
TARGET_1,151.0,42.02935185185185,18.699282407407406,0.42784298304687857,1.9819119236981366
TARGET_1,152.0,44.041448206018515,11.690030381944444,0.5519377113477504,0.659076687632831
TARGET_1,153.0,44.40588831018518,10.157567997685184,0.5744143167125241,0.36985963102272823
TARGET_1,154.0,45.694874131944445,12.152047164351853,0.6539116752777104,0.7462717374329798
TARGET_1,155.0,47.224950810185184,8.44353443287037,0.7482781549309295,0.04637518687679223
TARGET_1,156.0,47.14263310185185,13.724030671296296,0.7432012640410763,1.04294749769176
TARGET_1,157.0,47.0961328125,10.602241030092593,0.740333389070238,0.4537814465972904
TARGET_1,158.0,47.27887008101852,9.816762152777779,0.7516035907384084,0.3055403600559025
TARGET_1,159.0,49.34654369212963,13.669447337962962,0.8791260100571316,1.0326461479367608
TARGET_1,160.0,50.30211516203704,10.012264178240741,0.9380602562649067,0.34243687441507364
TARGET_1,161.0,17.623214699074072,43.54252025462963,-1.0773895832643572,6.670502130309535
TARGET_1,162.0,17.83375144675926,3.5711414930555554,-1.064404866877769,-0.8731770051871166
TARGET_1,163.0,18.555970775462963,6.156122685185185,-1.0198624615483567,-0.3853212121448747
TARGET_1,164.0,17.43031394675926,7.638237847222222,-1.0892866111566695,-0.10560603667010841
TARGET_1,165.0,15.690639467592593,5.583815104166667,-1.1965798982684386,-0.49333111552519876
TARGET_1,166.0,14.33706886574074,5.346261574074074,-1.2800604809577405,-0.5381638849728669
TARGET_1,167.0,14.324984085648149,4.47123119212963,-1.2808058018759265,-0.7033057599773312
TARGET_1,168.0,14.723421585648149,6.688451967592592,-1.256232429330924,-0.2848562938626181
TARGET_1,169.0,14.632450810185185,11.911144386574074,-1.2618429924836372,0.7008068744557627
TARGET_1,170.0,12.825989583333333,12.287175925925926,-1.373255308632425,0.7717741857065878
TARGET_1,171.0,13.111860532407407,11.213330439814815,-1.3556244045850134,0.5691105288774373
TARGET_1,172.0,13.092776331018518,13.291916956018518,-1.3568014102394834,0.9613959645923663
TARGET_1,173.0,12.577145543981482,10.602546296296296,-1.388602602209451,0.4538390585777374
TARGET_1,174.0,11.046775173611111,15.282769097222221,-1.4829871951329194,1.3371235533012875
TARGET_1,175.0,10.87994357638889,12.619458912037038,-1.4932764249137995,0.8344849629444409
TARGET_1,176.0,82.39411747685185,75.89595920138889,2.9173135358809676,12.776470198112593
TARGET_1,177.0,43.14478877314815,49.766866319444446,0.4966368265416915,7.845204404687752
TARGET_1,178.0,23.034755497685186,37.10915943287037,-0.7436363394387865,5.456353124049042
TARGET_1,179.0,24.04224681712963,29.976160300925926,-0.681499970425919,4.110163465540349
TARGET_1,180.0,27.25362702546296,26.026238425925925,-0.4834401938159804,3.3647064871104684
TARGET_1,181.0,30.74556568287037,19.518668981481483,-0.2680771581258964,2.1365523087501255
TARGET_1,182.0,35.58544994212963,13.808585069444444,0.03041954205285389,1.0589051971478982
TARGET_1,183.0,38.24198350694444,12.11345775462963,0.19425951436092675,0.738988873193818
TARGET_1,184.0,38.701015625,4.586274594907407,0.22257002039286564,-0.6815939615830874
TARGET_1,185.0,47.36652633101852,40.360267650462966,0.7570097326983091,6.069925084490698
TARGET_1,186.0,46.8998046875,6.438177083333334,0.7282249802063966,-0.3320899265523267
TARGET_1,187.0,32.39686053240741,40.354089988425926,-0.1662346269401587,6.0687591927536895
TARGET_1,188.0,33.084677372685185,4.889842303240741,-0.12381397261200883,-0.6243025331031127
TARGET_1,189.0,33.90657841435185,6.502433449074074,-0.07312376274973312,-0.3199630142320729
TARGET_1,190.0,34.301831597222225,29.327900752314815,-0.04874678088363934,3.9878193737737346
TARGET_1,191.0,34.11427517361111,11.155970775462963,-0.06031420079417529,0.5582852104471877
TARGET_1,192.0,33.953148148148145,7.854116030092593,-0.07025160483814602,-0.06486399087673951
TARGET_1,193.0,30.905733506944443,12.390282118055556,-0.2581989122010158,0.7912331099270484
TARGET_1,194.0,55.067508680555555,40.74128616898148,1.231962788667342,6.141833573450532
TARGET_1,195.0,53.76108796296296,5.70543113425926,1.1513901442904644,-0.4703788847746952
TARGET_1,196.0,54.64936197916666,7.948250868055555,1.206173864001132,-0.047098203579273926
TARGET_1,197.0,54.10732204861111,9.52841724537037,1.172743905355651,0.25112188540656016
TARGET_1,198.0,51.568357928240744,11.187511574074074,1.0161549517349315,0.5642378113274024
TARGET_1,199.0,29.558424479166668,47.19762152777778,-0.34129331639948685,7.360318495585425
TARGET_1,200.0,26.872171585648147,17.932578125,-0.5069662088920894,1.8372141104755206
TARGET_1,201.0,32.1716796875,21.14564525462963,-0.18012250845710454,2.44360668980877
TARGET_1,202.0,32.74441984953704,16.038006365740742,-0.14479913308902012,1.4796572311825626
TARGET_1,203.0,32.3871947337963,17.339131944444443,-0.1668307587556022,1.7252147822311619
TARGET_1,204.0,32.55187355324074,14.936741898148147,-0.15667430013792838,1.2718188717305123
TARGET_1,205.0,33.080486111111114,14.582229456018519,-0.12407246593177218,1.2049127955373595
TARGET_1,206.0,29.69390480324074,14.490681423611111,-0.332937655910728,1.187635208339606
TARGET_1,207.0,28.36589554398148,11.98326099537037,-0.4148417594928218,0.7144172270118868
TARGET_1,208.0,29.37169994212963,10.279719328703704,-0.35280943024897193,0.3929128875209353
TARGET_1,209.0,29.067300347222222,7.509914641203704,-0.3715830764248655,-0.12982409273507806
TARGET_1,210.0,29.159839409722224,8.197808159722221,-0.36587579019357996,0.0
TARGET_1,211.0,28.96384114583333,5.720381944444444,-0.3779638550888658,-0.4675572629455986
TARGET_1,212.0,29.049389467592594,6.494642650462963,-0.3726877182262711,-0.3214333484249977
