phase,alpha_proxy_z,theta_primary_z,theta_task_z,meaning_gamma_z,tsp_z,task_gamma_z,visual_gamma_z,artifact_z,api_a_z,resp_z,MR_score,ENC_score,NIP_density,n_windows,euclidean_distance_from_WASHOUT1,cosine_similarity_to_WASHOUT1,euclidean_distance_from_WASHOUT2,cosine_similarity_to_WASHOUT2
BASELINE_1,0.47696594027120887,0.12433632717618384,0.22851911668697122,-0.47130402848958713,0.15166583281127471,0.6013642508695899,1.1228388366036846,0.4432989626572652,0.0,0.0,-0.3253578127638111,-0.08189796872619065,0.004457710870608483,115,2.6651746850348674,-0.5735718080413252,2.723325415059846,-0.2933234373838582
CONTEXTUAL_OVERRIDE_1,0.3707497498821602,0.46363338706984386,0.40225876672755884,-0.8886583855862016,-0.7171754756916123,0.8134114026200986,0.7190189489911751,-0.06563038157625022,0.0,0.0,-0.7379424697150392,0.1423072025311664,0.00435396359377924,308,2.479371426386542,-0.09836011659228866,3.446077155922991,-0.7364638999533385
CONTROL_1,0.274353607711026,0.04988668406958836,-0.026127793284406363,0.08736868290001493,-0.16888047306598447,-0.14441923216227887,-0.33115559374603537,0.2583630558576569,0.0,0.0,-0.12869932274925058,-0.08257155369814441,0.04541296943559659,308,1.1083810513586967,0.6965199808192651,1.6461081212988429,0.42958399748838855
TARGET_1,0.5545504814027373,0.43490823927753713,0.19233648597965836,0.9133867208691531,0.877572945957832,-0.6987706165761727,-0.15930291386454817,1.2055945950308844,0.0,0.0,0.4613914274420918,0.14587572213961478,0.271780339761085,308,2.6651867328353713,-0.10649899314587626,0.7622448876429063,0.9347229619609498
WASHOUT_1,-0.19618035007602433,-0.11525652239646904,0.09990441153143303,0.0763949406509096,-0.8497708120440433,-0.314415763693413,-0.9733803884211875,0.2520819814204989,0.0,0.0,-0.364596862411011,-0.12935822648601908,0.013944317387052499,114,0.0,1.0,2.328600347475588,-0.018816671256352724
WASHOUT_2,0.4006145133854824,0.05587183335149337,0.005781269598507549,0.858790772532418,0.8928554350206204,-0.5562418966782066,-0.5504411214670124,0.7996704374268861,0.0,0.0,0.523037070718323,-0.03181098921509408,0.2250410546840057,114,2.328600347475588,-0.018816671256352724,0.0,1.0000000000000002
WASHOUT_3,0.1655595662883423,0.2422957449632427,0.3695477776069694,-0.7712023860110133,-0.025899452670573416,0.9884809251116157,1.14851513475827,-0.08077452727082089,0.0,0.0,-0.46812212039080897,0.03137390410115122,0.005438079118046157,111,2.8418287566482454,-0.5131665791264061,3.2872081844943724,-0.6332031358643317
