subset,n,eta_Y_to_E,eta_p,zeta_E_to_Y,zeta_p,K_HT_abs,K_HT_signed,loop_product,full_aic,replay_aic,sensory_task_aic,full_bic,replay_bic,sensory_task_bic,delta_bic_full_minus_replay,delta_bic_full_minus_sensory_task,full_mse,replay_mse,sensory_task_mse,var_Y,var_E
Arrival End Scene Run 1 :: all_phases,1074,-0.2266901131821659,1.7315312272891958e-06,0.3124299623559629,3.135633974693518e-10,0.2661292609390652,-0.2661292609390652,-0.070824783527973,-1497.4204972840953,-1438.46201851457,-1111.0571200888278,-1417.7541728829942,-1368.7539846636066,-1051.307376788002,-49.00018821938761,-366.4467960949921,0.4906614195559714,0.5052961352183175,0.5917803087244793,0.9450558294498153,0.9561441160988766
Arrival End Scene Run 1 :: BASELINE_1,54,-0.181464474345613,0.4203467783973484,-0.0637457231406283,0.7534691573932846,0.107552704017589,0.107552704017589,0.0115675841414951,-94.79700866802192,-97.98107530027252,-96.29467384303938,-78.88513629550772,-86.04717102088688,-88.33873765678229,7.162034725379158,9.453601361274565,0.3589157903548672,0.3617429793183783,0.3809658309124927,0.567245665663295,0.6707998100375064
Arrival End Scene Run 1 :: CONTROL_1,154,0.0739605802372653,0.5396610915065305,0.1470266902320668,0.2154486612438679,0.1042793331390661,0.1042793331390661,0.0108741793199283,-358.93468738902976,-360.95334142370166,-360.06785546746124,-328.56516136489347,-336.6577206043927,-341.8461398529795,8.092559239499224,13.28097848808602,0.2922027427182962,0.2940910573419604,0.2987910752795816,0.3193894235544187,0.4030420603420108
Arrival End Scene Run 1 :: TARGET_1,154,-0.1780158247175909,0.2064644927229253,0.1872884162808354,0.1499802163968466,0.1825932690004875,-0.1825932690004875,-0.0333403018842844,-222.3336641782928,-222.52933109340904,-220.41943320968687,-191.96413815415644,-198.2337102741,-202.19771759520512,6.269572119943575,10.233579441048676,0.4562912567937472,0.4619139840773196,0.4707174161726944,0.7540575538420671,0.7332973910962697
Arrival End Scene Run 1 :: CONTEXTUAL_OVERRIDE_1,154,-0.2869625904304184,0.0970466667707881,0.2416609689459277,0.1219317824095618,0.2633394342946918,-0.2633394342946918,-0.0693476576546483,-213.51517741594083,-212.17890087423933,-193.68428547805868,-183.14565139180456,-187.8832800549303,-175.4625698635769,4.737628663125747,-7.68308152822766,0.4691728010619911,0.4774031588711266,0.5130154538277079,1.01316967580533,1.1867410864910004
Arrival End Scene Run 1 :: WASHOUT_1,56,0.564709286935966,0.0158538359480535,-0.3319169489428077,0.0917622162123132,0.4329394687014045,-0.4329394687014045,-0.1874365835594544,-143.7159987257173,-138.29807015627003,-141.70759840398762,-127.5131851998361,-126.14596001185912,-133.60619164104702,-1.3672251879769703,6.0930064412109175,0.241274621742734,0.2632447885770801,0.2645816044456793,0.2825955601777623,0.3094084874726239
Arrival End Scene Run 1 :: WASHOUT_2,56,0.1194714999627049,0.647409834721774,-0.3760990441142585,0.1011306543389842,0.2119743308395382,-0.2119743308395382,-0.0449331169348699,-102.82204368544328,-103.67239438537818,-100.97286797437673,-86.61923015956208,-91.52028424096729,-92.87146121143611,4.901054081405206,6.252231051874048,0.3471252372136066,0.356482237209599,0.3788338656126274,0.362131670527074,0.4571621341486971
Arrival End Scene Run 1 :: WASHOUT_3,56,-0.2419385775041043,0.2437512105676917,-0.2094610020126545,0.3272741803645085,0.225114852618671,0.225114852618671,0.0506766968695259,-143.2134481472582,-144.69261272430623,-120.29968848215478,-127.010634621377,-132.54050257989533,-112.19828171921418,5.529867958518338,-14.812352902162814,0.2413444734535344,0.2468458068269541,0.3180742839283769,0.5860705483044876,0.5314493101491211
