source_table,followup_policy,phase,paired_followup_phase,search_window,predictor_name,peak_sec,anchor_sec,anchor_lsl,phase_duration_sec,post_0_30_crosses_phase_boundary,K_local,K_signed,K_local_percentile_by_phase,theta_metric,theta_col,theta_pre_m15_0,theta_post_0_10,theta_post_10_30,theta_post_30_60,delta_theta_0_10_vs_pre,delta_theta_10_30_vs_pre,delta_theta_30_60_vs_pre,n_pre_samples,n_post_0_10_samples,n_post_10_30_samples,n_post_30_60_samples,post_0_10_segments_used,post_10_30_segments_used,post_30_60_segments_used,artifact_pre_m15_0,artifact_post_0_30,artifact_delta_0_30,n_artifact_post_0_30_samples,artifact_post_0_30_segments_used,delta_theta_0_10_vs_pre_percentile_same_phase_cross_boundary_ref,delta_theta_10_30_vs_pre_percentile_same_phase_cross_boundary_ref,delta_theta_30_60_vs_pre_percentile_same_phase_cross_boundary_ref,control_K_local,control_delta_theta_0_10_vs_pre,control_delta_theta_10_30_vs_pre,control_delta_theta_30_60_vs_pre,control_artifact_delta_0_30,control_n_post_0_10_samples,control_n_post_10_30_samples,control_n_post_30_60_samples,override_K_local,override_delta_theta_0_10_vs_pre,override_delta_theta_10_30_vs_pre,override_delta_theta_30_60_vs_pre,override_artifact_delta_0_30,override_n_post_0_10_samples,override_n_post_10_30_samples,override_n_post_30_60_samples,theta0_10_target_minus_control,theta0_10_target_minus_override,theta10_30_target_minus_control,theta10_30_target_minus_override,theta30_60_target_minus_control,theta30_60_target_minus_override,K_target_minus_control,K_target_minus_override,local_k_p95,theta_0_10_p95_positive,theta_10_30_p95_positive,theta_any_p95_positive,condition_specificity_k,condition_specificity_theta_0_10,condition_specificity_theta_10_30,candidate_local_kht_event_lock_cross_boundary,interpretation_cross_boundary,MRED_quadrant_proxy,strict_event_lock_latest
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,primary_gamma_z,109.0,169.0,344358.7891736,313.749571500055,False,0.2961871304116187,-0.2961871304116187,70.9090909090909,theta_plv_primary_z,plv_theta_4_8_primary_content_core_z,-0.0024849062798047,1.1361352295567586,0.472650462976696,-0.2311934605213922,1.1386201358365633,0.4751353692565008,-0.2287085542415875,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.3590308695622301,0.458728020040383,0.0996971504781529,30,TARGET_1,94.51553930530164,78.79341864716636,36.74588665447898,0.337062450188078,-0.0088535051817069,0.8407091674154064,0.8012523192650879,-0.1293119008254829,10,20,30,0.2027113097283413,-0.300181358808724,-0.0240274565065343,0.4811092026676912,0.0890937134831165,10,20,30,1.1474736410182702,1.4388014946452872,-0.3655737981589055,0.4991628257630351,-1.0299608735066754,-0.7098177569092787,-0.0408753197764593,0.0934758206832774,False,False,False,False,False,True,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,primary_gamma_z,109.0,169.0,344358.7891736,313.749571500055,False,0.2961871304116187,-0.2961871304116187,70.9090909090909,theta_plv_meaning_z,plv_theta_4_8_meaning_candidate_z,0.3051005397331415,1.0918977062997155,0.6549539600263206,-0.0013273671197277,0.786797166566574,0.349853420293179,-0.3064279068528693,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.3590308695622301,0.458728020040383,0.0996971504781529,30,TARGET_1,89.57952468007313,69.83546617915904,32.54113345521024,0.337062450188078,0.0218625879434969,0.6224373992326778,0.6884685198934356,-0.1293119008254829,10,20,30,0.2027113097283413,-0.1053294205187178,-0.0466761386929121,0.3102672623982165,0.0890937134831165,10,20,30,0.764934578623077,0.8921265870852918,-0.2725839789394988,0.3965295589860912,-0.994896426746305,-0.6166951692510858,-0.0408753197764593,0.0934758206832774,False,False,False,False,False,True,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,primary_gamma_z,109.0,169.0,344358.7891736,313.749571500055,False,0.2961871304116187,-0.2961871304116187,70.9090909090909,theta_power_primary_z,pow_theta_4_8_primary_content_core_z,0.6098876477790895,0.0266309066644994,-0.0285206228737565,-0.012397821150316,-0.5832567411145901,-0.6384082706528461,-0.6222854689294056,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.3590308695622301,0.458728020040383,0.0996971504781529,30,TARGET_1,9.323583180987203,7.129798903107861,2.9250457038391224,0.337062450188078,0.0086174849439538,0.3711195671912151,0.7087073715288571,-0.1293119008254829,10,20,30,0.2027113097283413,-0.3365633758811143,-0.3189453290260762,-0.4255820942302075,0.0890937134831165,10,20,30,-0.5918742260585439,-0.2466933652334758,-1.0095278378440613,-0.3194629416267699,-1.3309928404582627,-0.196703374699198,-0.0408753197764593,0.0934758206832774,False,False,False,False,False,False,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,primary_gamma_z,109.0,169.0,344358.7891736,313.749571500055,False,0.2961871304116187,-0.2961871304116187,70.9090909090909,theta_power_meaning_z,pow_theta_4_8_meaning_candidate_z,0.673276208611846,0.0797254288738677,0.0641059248514916,-0.0217226243718752,-0.5935507797379783,-0.6091702837603543,-0.6949988329837213,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.3590308695622301,0.458728020040383,0.0996971504781529,30,TARGET_1,9.87202925045704,8.226691042047532,2.010968921389397,0.337062450188078,-0.0032696811696681,0.4451772365124871,0.7484309077892402,-0.1293119008254829,10,20,30,0.2027113097283413,-0.4651192441068017,-0.2649671653538189,-0.3401189190712006,0.0890937134831165,10,20,30,-0.5902810985683101,-0.1284315356311766,-1.0543475202728414,-0.3442031184065354,-1.4434297407729615,-0.3548799139125207,-0.0408753197764593,0.0934758206832774,False,False,False,False,False,False,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,meaninggamma_score,68.0,91.0,344280.7891736,313.749571500055,False,0.6485945719854674,-0.6485945719854674,94.54545454545456,theta_plv_primary_z,plv_theta_4_8_primary_content_core_z,0.9142116680071872,0.3779012357410656,-0.1953387302049771,-0.3348110125929603,-0.5363104322661215,-1.1095503982121642,-1.2490226806001474,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.0186324647442899,0.9048996049040138,0.8862671401597239,30,TARGET_1,15.539305301645337,3.107861060329068,2.1937842778793417,0.1428202261007533,-0.3091108976477147,-0.4504109226936463,-0.5720411838488252,0.1053622739502488,10,20,30,0.8731213283410052,0.9084616193657906,0.0772047670716986,-0.3725975320791355,0.2571091472423455,10,20,30,-0.2271995346184067,-1.444772051631912,-0.6591394755185178,-1.1867551652838628,-0.6769814967513222,-0.8764251485210119,0.5057743458847141,-0.2245267563555377,False,False,False,False,False,False,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,meaninggamma_score,68.0,91.0,344280.7891736,313.749571500055,False,0.6485945719854674,-0.6485945719854674,94.54545454545456,theta_plv_meaning_z,plv_theta_4_8_meaning_candidate_z,0.7766904179921997,0.4493632140456687,-0.0085084074580841,-0.1664821616590656,-0.327327203946531,-0.7851988254502839,-0.9431725796512654,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.0186324647442899,0.9048996049040138,0.8862671401597239,30,TARGET_1,31.26142595978062,8.226691042047532,7.495429616087751,0.1428202261007533,-0.1982193863816269,-0.1884779907034331,-0.2005619664989338,0.1053622739502488,10,20,30,0.8731213283410052,0.3986548440052556,-0.092012351441809,-0.3776478201174577,0.2571091472423455,10,20,30,-0.1291078175649041,-0.7259820479517867,-0.5967208347468507,-0.6931864740084748,-0.7426106131523317,-0.5655247595338078,0.5057743458847141,-0.2245267563555377,False,False,False,False,False,False,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,meaninggamma_score,68.0,91.0,344280.7891736,313.749571500055,False,0.6485945719854674,-0.6485945719854674,94.54545454545456,theta_power_primary_z,pow_theta_4_8_primary_content_core_z,0.2291694630753697,0.4862377097688208,0.4999501135331222,0.0063258838083423,0.2570682466934511,0.2707806504577525,-0.2228435792670273,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.0186324647442899,0.9048996049040138,0.8862671401597239,30,TARGET_1,69.6526508226691,69.10420475319927,24.49725776965265,0.1428202261007533,0.5152510325984778,0.177708826545253,0.3626209022292975,0.1053622739502488,10,20,30,0.8731213283410052,0.4426841516505738,-0.2197679964098836,-0.4187528550056766,0.2571091472423455,10,20,30,-0.2581827859050267,-0.1856159049571227,0.0930718239124995,0.4905486468676362,-0.5854644814963248,0.1959092757386492,0.5057743458847141,-0.2245267563555377,False,False,False,False,False,False,True,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,meaninggamma_score,68.0,91.0,344280.7891736,313.749571500055,False,0.6485945719854674,-0.6485945719854674,94.54545454545456,theta_power_meaning_z,pow_theta_4_8_meaning_candidate_z,0.3143035856375577,0.5562518532877977,0.3424244672550586,-0.0556041413578641,0.2419482676502399,0.0281208816175008,-0.3699077269954219,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,0.0186324647442899,0.9048996049040138,0.8862671401597239,30,TARGET_1,70.018281535649,45.703839122486286,15.356489945155394,0.1428202261007533,0.5789045928112572,0.0826273374996703,0.2749860901859567,0.1053622739502488,10,20,30,0.8731213283410052,0.6718409374939375,-0.1088919111740029,-0.2756489638665836,0.2571091472423455,10,20,30,-0.3369563251610172,-0.4298926698436975,-0.0545064558821694,0.1370127927915038,-0.6448938171813786,-0.0942587631288382,0.5057743458847141,-0.2245267563555377,False,False,False,False,False,False,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,temporal_semantic_proxy_score,69.0,86.0,344275.7891736,313.749571500055,False,0.52197352460545,-0.52197352460545,92.72727272727272,theta_plv_primary_z,plv_theta_4_8_primary_content_core_z,0.4183994214409108,0.1270720828731191,0.1561542481019837,-0.3918681377314244,-0.2913273385677916,-0.262245173338927,-0.8102675591723352,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,-0.1693903290189609,0.7668936850788405,0.9362840140978014,30,TARGET_1,32.90676416819013,35.10054844606947,16.819012797074954,0.2191281023476347,-0.0912878104149975,-0.2170963697599404,-0.7679685256932948,0.0160159955375271,10,20,30,0.4697708758765947,0.5304586142986282,0.4002643731908974,-0.3382400843599293,0.2178140979570628,10,20,30,-0.2000395281527941,-0.8217859528664198,-0.0451488035789865,-0.6625095465298245,-0.0422990334790404,-0.4720274748124058,0.3028454222578153,0.0522026487288552,False,False,False,False,True,False,False,False,not_locked,MR_LOW_ENC_LOW,False
arrival_candidate_local_kht_all_conditions.csv,paired_washout_continuation,TARGET_1,WASHOUT_2,whole_target,temporal_semantic_proxy_score,69.0,86.0,344275.7891736,313.749571500055,False,0.52197352460545,-0.52197352460545,92.72727272727272,theta_plv_meaning_z,plv_theta_4_8_meaning_candidate_z,0.4433462883075469,0.3284334417245474,0.2733657946284583,-0.246658807505684,-0.1149128465829995,-0.1699804936790886,-0.690005095813231,15,10,20,30,TARGET_1,TARGET_1,TARGET_1,-0.1693903290189609,0.7668936850788405,0.9362840140978014,30,TARGET_1,45.52102376599635,37.47714808043875,18.28153564899452,0.2191281023476347,-0.0048414852803484,-0.0135144145782861,-0.3408475696787401,0.0160159955375271,10,20,30,0.4697708758765947,-0.3917636926581077,-0.0830113857292904,-0.5537619264787685,0.2178140979570628,10,20,30,-0.110071361302651,0.2768508460751082,-0.1564660791008025,-0.0869691079497982,-0.3491575261344909,-0.1362431693344624,0.3028454222578153,0.0522026487288552,False,False,False,False,True,False,False,False,not_locked,MR_LOW_ENC_LOW,False
