condition,phase_time_sec,NIP_resid
CONTEXTUAL_OVERRIDE_1,95.0,-0.03471078226926518
CONTEXTUAL_OVERRIDE_1,96.0,-0.032836612086026715
CONTEXTUAL_OVERRIDE_1,97.0,-0.005784312058796058
CONTEXTUAL_OVERRIDE_1,98.0,0.0015322351923905478
CONTEXTUAL_OVERRIDE_1,99.0,-0.01930069285371909
CONTEXTUAL_OVERRIDE_1,100.0,-0.0033422971495055374
CONTEXTUAL_OVERRIDE_1,101.0,-0.028993772889565617
CONTEXTUAL_OVERRIDE_1,102.0,-0.016354948292491282
CONTEXTUAL_OVERRIDE_1,103.0,0.007036526350899745
CONTEXTUAL_OVERRIDE_1,104.0,0.0064259766934824415
CONTEXTUAL_OVERRIDE_1,105.0,-0.010022969481512545
CONTEXTUAL_OVERRIDE_1,106.0,0.003919105341240736
CONTEXTUAL_OVERRIDE_1,107.0,0.013846554238122134
CONTEXTUAL_OVERRIDE_1,108.0,0.016313045920960455
CONTEXTUAL_OVERRIDE_1,109.0,0.01591138870675138
CONTEXTUAL_OVERRIDE_1,110.0,-0.02597097441549513
CONTEXTUAL_OVERRIDE_1,111.0,-0.020429278615366378
CONTEXTUAL_OVERRIDE_1,112.0,-0.06912272480341568
CONTEXTUAL_OVERRIDE_1,113.0,-0.05528188487007479
CONTEXTUAL_OVERRIDE_1,114.0,-0.032964907432276175
CONTEXTUAL_OVERRIDE_1,115.0,-0.03398308947271918
CONTEXTUAL_OVERRIDE_1,116.0,-0.06104133202039978
CONTEXTUAL_OVERRIDE_1,117.0,-0.03364029870074276
CONTEXTUAL_OVERRIDE_1,118.0,-0.011085736043857828
CONTEXTUAL_OVERRIDE_1,119.0,-0.04062508234267998
CONTEXTUAL_OVERRIDE_1,120.0,-0.02655095946364328
CONTEXTUAL_OVERRIDE_1,121.0,-0.08893898472041122
CONTEXTUAL_OVERRIDE_1,122.0,-0.02828577976540348
CONTEXTUAL_OVERRIDE_1,123.0,-0.05294156624439004
CONTEXTUAL_OVERRIDE_1,124.0,-0.03422317781443534
CONTEXTUAL_OVERRIDE_1,125.0,-0.09090252028846063
CONTEXTUAL_OVERRIDE_1,126.0,-0.02357130106386583
CONTEXTUAL_OVERRIDE_1,127.0,0.0036330393111442885
CONTEXTUAL_OVERRIDE_1,128.0,-0.002119443746005277
CONTEXTUAL_OVERRIDE_1,129.0,-0.005651577360989757
CONTEXTUAL_OVERRIDE_1,130.0,0.003508410408366535
CONTEXTUAL_OVERRIDE_1,131.0,-0.003398204803133298
CONTEXTUAL_OVERRIDE_1,132.0,-0.015127246311238593
CONTEXTUAL_OVERRIDE_1,133.0,-0.00464544450247243
CONTEXTUAL_OVERRIDE_1,134.0,-0.03430122167603137
CONTEXTUAL_OVERRIDE_1,135.0,-0.04393667369913886
CONTEXTUAL_OVERRIDE_1,136.0,-0.004293019697449302
CONTEXTUAL_OVERRIDE_1,137.0,-0.02235330093817194
CONTEXTUAL_OVERRIDE_1,138.0,-0.01497487907652972
CONTEXTUAL_OVERRIDE_1,139.0,-0.02825225357392866
CONTEXTUAL_OVERRIDE_1,140.0,0.05690600187750738
CONTEXTUAL_OVERRIDE_1,141.0,0.00756375745478265
CONTEXTUAL_OVERRIDE_1,142.0,0.025262607207168598
CONTEXTUAL_OVERRIDE_1,143.0,0.007701334996999671
CONTEXTUAL_OVERRIDE_1,144.0,-0.01625523946931734
CONTEXTUAL_OVERRIDE_1,145.0,0.005635377532894854
CONTEXTUAL_OVERRIDE_1,146.0,-0.012166639917215867
CONTEXTUAL_OVERRIDE_1,147.0,-0.016253394476337717
CONTEXTUAL_OVERRIDE_1,148.0,0.013715085755561077
CONTEXTUAL_OVERRIDE_1,149.0,0.00899642842557231
CONTEXTUAL_OVERRIDE_1,150.0,0.01127016460946061
CONTEXTUAL_OVERRIDE_1,151.0,0.015524363915610993
CONTEXTUAL_OVERRIDE_1,152.0,0.004676521876511474
CONTEXTUAL_OVERRIDE_1,153.0,-0.0341429397613494
CONTEXTUAL_OVERRIDE_1,154.0,0.014868551317132637
CONTEXTUAL_OVERRIDE_1,155.0,0.016712620344894718
CONTEXTUAL_OVERRIDE_1,156.0,-0.010956272582070346
CONTEXTUAL_OVERRIDE_1,157.0,-0.00332467165645442
CONTEXTUAL_OVERRIDE_1,158.0,0.009651266123024586
CONTEXTUAL_OVERRIDE_1,159.0,-0.002938345847603774
CONTEXTUAL_OVERRIDE_1,160.0,0.015996843134052436
CONTEXTUAL_OVERRIDE_1,161.0,-0.016905939381421806
CONTEXTUAL_OVERRIDE_1,162.0,-0.0090112926850066
CONTEXTUAL_OVERRIDE_1,163.0,-0.0009221323881315989
CONTEXTUAL_OVERRIDE_1,164.0,0.027135654856856404
CONTEXTUAL_OVERRIDE_1,165.0,0.025642845431536925
CONTEXTUAL_OVERRIDE_1,166.0,0.005995579066060009
CONTEXTUAL_OVERRIDE_1,167.0,-0.04041510984938482
CONTEXTUAL_OVERRIDE_1,168.0,-0.0020327192694622152
CONTEXTUAL_OVERRIDE_1,169.0,0.012096912748772285
CONTEXTUAL_OVERRIDE_1,170.0,-0.012014298679226083
CONTEXTUAL_OVERRIDE_1,171.0,0.0208321172991893
CONTEXTUAL_OVERRIDE_1,172.0,-0.019405787722650673
CONTEXTUAL_OVERRIDE_1,173.0,0.00042218890008684576
CONTEXTUAL_OVERRIDE_1,174.0,-0.03290405015574878
CONTEXTUAL_OVERRIDE_1,175.0,-0.011989038307745474
CONTEXTUAL_OVERRIDE_1,176.0,-0.029407494790131307
CONTEXTUAL_OVERRIDE_1,177.0,-0.03189527143278739
CONTEXTUAL_OVERRIDE_1,178.0,0.030205856652514396
CONTEXTUAL_OVERRIDE_1,179.0,0.020509520919056643
CONTEXTUAL_OVERRIDE_1,180.0,-0.018376393929267595
CONTEXTUAL_OVERRIDE_1,181.0,0.00530497861674065
CONTEXTUAL_OVERRIDE_1,182.0,0.03706976555860213
CONTEXTUAL_OVERRIDE_1,183.0,0.016800781864086272
CONTEXTUAL_OVERRIDE_1,184.0,0.004038323188668775
CONTEXTUAL_OVERRIDE_1,185.0,0.0018785762634158376
CONTEXTUAL_OVERRIDE_1,186.0,-0.010314943228068526
CONTEXTUAL_OVERRIDE_1,187.0,0.04834278707394092
CONTEXTUAL_OVERRIDE_1,188.0,0.04469742648677773
CONTEXTUAL_OVERRIDE_1,189.0,-0.017416607507747185
CONTEXTUAL_OVERRIDE_1,190.0,0.006260480993003439
CONTEXTUAL_OVERRIDE_1,191.0,0.02877987626509595
CONTEXTUAL_OVERRIDE_1,192.0,0.03571050178846526
CONTEXTUAL_OVERRIDE_1,193.0,0.02700856154002876
CONTEXTUAL_OVERRIDE_1,194.0,0.024461068265558068
CONTEXTUAL_OVERRIDE_1,195.0,-0.01617151178115659
CONTEXTUAL_OVERRIDE_1,196.0,0.006923454618107328
CONTEXTUAL_OVERRIDE_1,197.0,0.07657046336406667
CONTEXTUAL_OVERRIDE_1,198.0,0.0020203782317086694
CONTEXTUAL_OVERRIDE_1,199.0,0.002218939487883851
CONTEXTUAL_OVERRIDE_1,200.0,0.03857197946073376
