time_lsl,phase_time_sec,condition,meaninggamma_z,tsp_z,theta_integration_z,taskgamma_z,artifact_score,nast_nas_z,A_sem,R_int,NIP_density,blink_proxy_event
33499.4193224,1.0,BASELINE_1,3.360900324058904,-0.4026809189055078,2.37554675976666,8.034849454844585,4.393798452612196,-1.7264452552751144,0.2797945162690773,0.7035868575331212,0.1968597444567599,1
33500.4193224,2.0,BASELINE_1,3.52938092138195,-0.5432516460565769,-0.532533520563439,7.869793187835437,3.8571202444957184,-1.561883880730992,0.416145736924175,0.0,0.0,0
33501.4193224,3.0,BASELINE_1,3.8703556663733063,-0.0593400835558033,3.806640034073828,7.79359721985846,6.496136367761318,-1.920004826110541,0.2237292561045587,1.353552733588255,0.3028293461839922,1
33502.4193224,4.0,BASELINE_1,3.099495339363369,-0.8522792405176955,4.037421785608111,7.293763880839493,6.513461542400835,-2.278984949061329,0.0,1.3530470933419716,0.0,1
33503.4193224,5.0,BASELINE_1,3.2887943667172315,-0.9851767247001544,3.2217391004687084,8.327517545050776,6.388180091250135,-2.549528052674376,0.0,0.7805460071380379,0.0,1
33504.4193224,6.0,BASELINE_1,1.1123419287568197,-2.4081079676516493,1.2015371826172354,4.604889626387109,8.349548995616225,-3.70328020074144,0.0,0.0,0.0,1
33505.4193224,7.0,BASELINE_1,0.6691801553759149,-1.1556011960216126,1.5486836510609818,1.5826445622491612,6.475018233785621,-2.444287721176958,0.0,0.0,0.0,1
33506.4193224,8.0,BASELINE_1,2.3007746459147542,-0.2420137117927115,0.1695763049329777,2.4265909217522954,3.8521543928026394,-0.3844979516903072,0.1175617466253609,0.0,0.0,1
33507.4193224,9.0,BASELINE_1,2.1226215137615614,-0.5256043486752715,0.5848885228311106,1.7029327858094223,4.984234427805337,-0.7207621203949837,0.0,0.0,0.0,1
33508.4193224,10.0,BASELINE_1,2.1360575089212124,0.1109138868302884,2.0628761231055392,1.9020792592986744,2.9971845229392646,-0.0120813795304517,0.4104920855472773,0.8667591589520822,0.3557977748254443,0
