phase,n_rr,rr_mean_ms,hr_mean_bpm,rmssd_ms,sdnn_ms,pnn50
BASELINE_1,150,799.2122395833334,75.07392533337678,61.16655581071817,80.99989846389892,0.21476510067114093
CONTROL_1,247,819.6799089068826,73.19930542157051,37.975591185978374,55.514275868211556,0.13821138211382114
WASHOUT_1,142,854.3752750880282,70.22675134626066,44.293846034351645,60.957076320346964,0.1773049645390071
TARGET_1,215,932.4536700581396,64.34636049666568,65.45804920639155,103.4707558262019,0.35046728971962615
WASHOUT_2,134,894.5749766791045,67.07095723014257,53.42797022669121,76.98760368104628,0.2556390977443609
CONTEXTUAL_OVERRIDE_1,255,785.6464460784314,76.37023027277867,36.24719414687273,61.142107605938456,0.1141732283464567
WASHOUT_3,138,852.2347712862319,70.40313540533583,95.22492321310068,101.00288931331238,0.3357664233576642
BASELINE_2_REFLECTION,143,834.7424060314685,71.87846162656567,72.85756735780181,112.37352330439063,0.34507042253521125
