condition,regressor,window_center_sec,dominant_freq_hz,dominant_power
override,audio_rms,64.0,0.03125,0.0013093304464701161
override,audio_rms,68.0,0.03125,0.00208284333277975
override,audio_rms,72.0,0.03125,0.0019671830589203174
override,audio_rms,76.0,0.03125,0.001178484302023444
override,audio_rms,80.0,0.0625,0.0010165928400930322
override,audio_rms,84.0,0.03125,0.0005033328208486238
override,audio_rms,88.0,0.03125,0.0006385666671997771
override,audio_rms,92.0,0.0625,0.0004090537792303909
override,audio_rms,96.0,0.03125,0.0012236524455445036
override,audio_rms,100.0,0.03125,0.002017741001683361
override,audio_rms,104.0,0.03125,0.0018662141464735878
override,audio_rms,108.0,0.03125,0.0015384056328485583
override,audio_rms,112.0,0.0625,0.0011313030786830327
override,audio_rms,116.0,0.0625,0.000844600027717739
override,audio_rms,120.0,0.03125,0.0025536864497166614
override,audio_rms,124.0,0.03125,0.004998704436150392
override,audio_rms,128.0,0.03125,0.011793664221279221
override,audio_rms,132.0,0.03125,0.016327224498468604
override,audio_rms,136.0,0.03125,0.014199868243369402
override,audio_rms,140.0,0.03125,0.006658502195910271
override,audio_rms,144.0,0.03125,0.0038845090907114474
override,audio_rms,148.0,0.03125,0.003981529885339327
override,audio_rms,152.0,0.09375,0.0064587447603472415
override,audio_rms,156.0,0.09375,0.007636880478150611
override,audio_rms,160.0,0.0625,0.01085741960575904
override,audio_rms,164.0,0.0625,0.017684772219903114
override,audio_rms,168.0,0.03125,0.02376399695868842
override,audio_rms,172.0,0.03125,0.03253931608356674
override,audio_rms,176.0,0.03125,0.03120492397439051
override,audio_rms,180.0,0.03125,0.009993515801705315
override,audio_rms,184.0,0.03125,0.004722083499783338
override,cue_on,16.0,0.34375,2.1047782325274054
override,cue_on,20.0,0.34375,2.248323542161756
override,cue_on,24.0,0.34375,2.2515465315161864
override,cue_on,28.0,0.34375,2.2485847185061036
override,cue_on,32.0,0.34375,2.248323542161756
override,cue_on,36.0,0.34375,2.2515465315161864
override,cue_on,40.0,0.34375,2.2485847185061036
override,cue_on,44.0,0.34375,2.248323542161756
override,cue_on,48.0,0.34375,2.2515465315161864
override,cue_on,52.0,0.34375,2.2485847185061036
override,cue_on,56.0,0.34375,2.248323542161756
override,cue_on,60.0,0.34375,2.2515465315161864
override,cue_on,64.0,0.34375,2.2485847185061036
override,cue_on,68.0,0.34375,2.248323542161756
override,cue_on,72.0,0.34375,2.2515465315161864
override,cue_on,76.0,0.34375,2.2485847185061036
override,cue_on,80.0,0.34375,2.248323542161756
override,cue_on,84.0,0.34375,2.2515465315161864
override,cue_on,88.0,0.34375,2.2485847185061036
override,cue_on,92.0,0.34375,2.248323542161756
override,cue_on,96.0,0.34375,2.2515465315161864
override,cue_on,100.0,0.34375,2.2485847185061036
override,cue_on,104.0,0.34375,2.248323542161756
override,cue_on,108.0,0.34375,2.2515465315161864
override,cue_on,112.0,0.34375,2.2485847185061036
override,cue_on,116.0,0.34375,2.248323542161756
override,cue_on,120.0,0.34375,2.2515465315161864
override,cue_on,124.0,0.34375,2.2485847185061036
override,cue_on,128.0,0.34375,2.248323542161756
override,cue_on,132.0,0.34375,2.2515465315161864
override,cue_on,136.0,0.34375,2.2485847185061036
override,cue_on,140.0,0.34375,2.248323542161756
override,cue_on,144.0,0.34375,2.2515465315161864
override,cue_on,148.0,0.34375,2.2485847185061036
override,cue_on,152.0,0.34375,2.248323542161756
override,cue_on,156.0,0.34375,2.2515465315161864
override,cue_on,160.0,0.34375,2.2485847185061036
override,cue_on,164.0,0.34375,2.248323542161756
override,cue_on,168.0,0.34375,2.2515465315161864
override,cue_on,172.0,0.34375,2.2485847185061036
override,cue_on,176.0,0.34375,2.248323542161756
override,cue_on,180.0,0.34375,2.2515465315161864
override,cue_on,184.0,0.34375,2.2485847185061036
