condition,regressor,window_center_sec,dominant_freq_hz,dominant_power
control,audio_rms,124.0,0.03125,0.004513429440724906
control,audio_rms,128.0,0.03125,0.008306661994316584
control,audio_rms,132.0,0.03125,0.011555307312850751
control,audio_rms,136.0,0.03125,0.00987981453120333
control,audio_rms,140.0,0.03125,0.005062171533120952
control,audio_rms,144.0,0.03125,0.0030970019559190833
control,audio_rms,148.0,0.03125,0.0032857520653954368
control,audio_rms,152.0,0.09375,0.004869122196168152
control,audio_rms,156.0,0.09375,0.005860856817209213
control,audio_rms,160.0,0.0625,0.009856665118411484
control,audio_rms,164.0,0.0625,0.015564811715939883
control,audio_rms,168.0,0.03125,0.01789773470127069
control,audio_rms,172.0,0.03125,0.0247887652894221
control,audio_rms,176.0,0.03125,0.024361681148212303
control,audio_rms,180.0,0.03125,0.008407270898699748
control,audio_rms,184.0,0.03125,0.0051517611060107075
control,cue_on,16.0,0.34375,2.1047782325274054
control,cue_on,20.0,0.34375,2.248323542161756
control,cue_on,24.0,0.34375,2.2515465315161864
control,cue_on,28.0,0.34375,2.2485847185061036
control,cue_on,32.0,0.34375,2.248323542161756
control,cue_on,36.0,0.34375,2.2515465315161864
control,cue_on,40.0,0.34375,2.2485847185061036
control,cue_on,44.0,0.34375,2.248323542161756
control,cue_on,48.0,0.34375,2.2515465315161864
control,cue_on,52.0,0.34375,2.2485847185061036
control,cue_on,56.0,0.34375,2.248323542161756
control,cue_on,60.0,0.34375,2.2515465315161864
control,cue_on,64.0,0.34375,2.2485847185061036
control,cue_on,68.0,0.34375,2.248323542161756
control,cue_on,72.0,0.34375,2.2515465315161864
control,cue_on,76.0,0.34375,2.2485847185061036
control,cue_on,80.0,0.34375,2.248323542161756
control,cue_on,84.0,0.34375,2.2515465315161864
control,cue_on,88.0,0.34375,2.2485847185061036
control,cue_on,92.0,0.34375,2.248323542161756
control,cue_on,96.0,0.34375,2.2515465315161864
control,cue_on,100.0,0.34375,2.2485847185061036
control,cue_on,104.0,0.34375,2.248323542161756
control,cue_on,108.0,0.34375,2.2515465315161864
control,cue_on,112.0,0.34375,2.2485847185061036
control,cue_on,116.0,0.34375,2.248323542161756
control,cue_on,120.0,0.34375,2.2515465315161864
control,cue_on,124.0,0.34375,2.2485847185061036
control,cue_on,128.0,0.34375,2.248323542161756
control,cue_on,132.0,0.34375,2.2515465315161864
control,cue_on,136.0,0.34375,2.2485847185061036
control,cue_on,140.0,0.34375,2.248323542161756
control,cue_on,144.0,0.34375,2.2515465315161864
control,cue_on,148.0,0.34375,2.2485847185061036
control,cue_on,152.0,0.34375,2.248323542161756
control,cue_on,156.0,0.34375,2.2515465315161864
control,cue_on,160.0,0.34375,2.2485847185061036
control,cue_on,164.0,0.34375,2.248323542161756
control,cue_on,168.0,0.34375,2.2515465315161864
control,cue_on,172.0,0.34375,2.2485847185061036
control,cue_on,176.0,0.34375,2.248323542161756
control,cue_on,180.0,0.34375,2.2515465315161864
control,cue_on,184.0,0.34375,2.2485847185061036
