condition,time_sec,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor
target,0.0,5.883715765616535,-1.0350931042392013,-0.9571583110181574,-1.1699629214878355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
target,0.25,5.883715765616535,-1.0350931042392013,-0.9571583110181574,-1.1699629214878355,0.0,0.0,-1.4303490352604915,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1.0
target,0.5,5.883715765616535,-1.0350931042392013,-0.9571583110181574,-1.1699629214878355,0.0,0.0,-1.4303490352604915,-0.009568184765259053,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1.0
target,0.75,1.2660560106629932,37.07750053321039,14.686183899947418,37.21536663634398,1.0,1.0,-1.4303490352604915,-0.009568184765259053,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0
target,1.0,-1.8588391554993984,12.052531270257276,4.41466678087614,12.011317248606023,0.0,0.0,-1.4303490352604915,-0.009568184765259053,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0
target,1.25,1.633890599262489,27.792710781889273,19.119102356870503,59.96000183392328,1.0,1.0,-1.0824333357789993,1.9959898750512057,0.0,0.0,0.0,0.5000000000000003,-0.8660254037844385,0.0
target,1.5,1.6826208000235734,1.0952363251041515,0.9732760683807626,0.9409414755392755,0.0,0.0,-0.7199487368767321,2.0799722124379234,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0
target,1.75,1.7011482937032678,1.5914913177162346,1.9994436770433872,0.5819214316221509,0.0,0.0,-0.6673829426951625,0.2934470351532906,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.0
target,2.0,1.6893317080900256,0.8725295184705724,1.0994070321202458,0.20185690309927787,0.0,0.0,-0.6146834529705918,0.2942177223462715,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.0
target,2.25,1.6891463194643521,0.2147820022598921,0.20095743146732647,0.6297813502160234,0.0,0.0,-0.6103709890042686,0.015290989104207862,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.0
target,2.5,1.6977094228219793,0.20889933570963864,0.1046785499646471,-0.030424907142538482,0.0,0.0,-0.6651738953536175,-0.3254792249801907,0.0,0.0,0.0,-0.866025403784439,0.49999999999999933,0.0
target,2.75,1.6468479308435888,0.47214967394734136,0.2722354472688018,-0.02118467824794975,0.0,0.0,-0.5796814832089626,0.4832523360833114,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.0
target,3.0,1.6344897983404938,0.0853945467530824,-0.016151122928359594,-0.04571885480399197,0.0,0.0,0.31442752019296977,5.144518051640991,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.0
target,3.25,1.6441204752977707,0.6747888857242796,0.6402009474749739,0.058065543145974646,0.0,0.0,1.154501646961629,4.833034314331763,0.0,0.0,0.0,0.4999999999999993,0.866025403784439,0.0
target,3.5,1.6397864150184704,1.0802537279440125,1.2827865409817056,0.52145958862492,0.0,0.0,1.3837421136042256,1.3118871740941769,0.0,0.0,0.0,0.8660254037844384,0.5000000000000004,0.0
target,3.75,1.6094962778079023,0.12594064630248464,0.09136214182803051,0.6635752548836524,0.0,0.0,0.8210670025064792,-3.2531056445637363,0.0,0.0,0.0,1.0,1.1943401194869635e-15,0.0
target,4.0,1.6277387634552318,0.5365667051742485,0.4424004103894868,0.9093105567747971,0.0,0.0,-0.25782130963754535,-6.228813689601509,0.0,0.0,0.0,0.8660254037844392,-0.4999999999999992,0.0
target,4.25,1.6493460261049508,1.0968883465558736,1.1179871752104744,0.9717156396225288,0.0,0.0,-0.5055199417465458,-1.4374255328874461,0.0,1.0,0.0,0.5000000000000013,-0.8660254037844379,0.0
target,4.5,1.6403449405695856,0.7928452895676116,0.8983765611333188,0.7482902516045384,0.0,0.0,-0.49783379629273855,0.034738556743612856,1.0,0.0,8.0,3.6739403974420594e-16,-1.0,0.0
target,4.75,1.6509463299786546,0.44955763480511696,0.40572363097394226,0.2676502029420097,0.0,0.0,-0.6455182081182295,-0.8608941320774565,1.0,0.0,8.0,-0.49999999999999917,-0.8660254037844392,0.0
target,5.0,1.6764110739259808,1.292443536830419,1.5030862497319664,0.30274930543971895,0.0,0.0,-0.5561007832695104,0.505878049367447,1.0,0.0,8.0,-0.8660254037844378,-0.5000000000000013,0.0
target,5.25,1.672044289530548,1.0426895158080345,1.3417574395768068,0.3498140593385511,0.0,0.0,-0.48411141029670085,0.40541414400554177,0.0,0.0,0.0,-1.0,-4.286263797015736e-16,0.0
target,5.5,1.6989274030333539,0.4390845419815705,0.45103961334500176,0.10521897820144478,0.0,0.0,-0.5931663356374784,-0.6382146781710965,0.0,0.0,0.0,-0.8660254037844392,0.4999999999999991,0.0
target,5.75,1.7494671812292164,1.3561117593772254,1.4807614768737958,0.7335661076712645,0.0,0.0,-0.6661565282742397,-0.43031973276489177,0.0,0.0,0.0,-0.5000000000000014,0.8660254037844378,0.0
target,6.0,1.735846271222834,1.526129312282399,1.732605337582516,0.6747138342857864,0.0,0.0,-0.5590361464655957,0.6079266435138866,0.0,0.0,0.0,-4.898587196589413e-16,1.0,0.0
target,6.25,1.7354992986656081,0.8094895752011967,0.8641062311291581,0.22878717108990848,0.0,0.0,-0.43918601752315334,0.6813071980610463,0.0,0.0,0.0,0.49999999999999906,0.8660254037844392,0.0
target,6.5,1.7378634686116639,0.12498261613181078,0.034814683957570515,0.5096518616762225,0.0,0.0,-0.4689290986720295,-0.18102200593746776,0.0,0.0,0.0,0.8660254037844378,0.5000000000000014,0.0
target,6.75,1.76099014818124,1.4514808935758419,1.6340047343398343,0.08102044031579503,0.0,0.0,-0.5552485749282027,-0.5071563119544241,0.0,0.0,0.0,1.0,2.3274478990165594e-15,0.0
