condition,regressor,dominant_freq_hz,dominant_power,band_power,rhythm_concentration_0_1,cue_frequency_hz,cue_band_power_pm_0_05hz,cue_band_fraction
control,luminance_mean,0.0298507462686567,2304.0390291761805,190.5787041848749,0.0,0.3333333333333333,3.930570349882924,0.0220187481960241
control,visual_change_mean_abs,0.0796019900497512,729.9162974600187,59.34729129167275,0.0,0.3333333333333333,1.0845286141132155,0.0195028119796979
control,optical_flow_proxy_p90_absdiff,0.0796019900497512,3117.024138964036,240.591281052244,0.0,0.3333333333333333,4.122460621460158,0.0184296589199281
control,histogram_delta,0.1194029850746268,0.0088823421463468,0.0039759200009735,0.0,0.3333333333333333,0.0002234954740962,0.0602315374332001
control,cut_event,0.1990049751243781,0.0227228643664253,0.0198740145867905,0.0,0.3333333333333333,0.0008011188849308,0.0445642528335659
control,audio_rms,0.0399002493765586,0.0032809731812326,0.0001793709426412,0.2856870587105574,0.3333333333333333,4.393519301576906e-06,0.0243249372667354
control,audio_rms_derivative,0.9376558603491272,3.112407998546326e-05,1.0439624385469015e-05,0.0497381200195632,0.3333333333333333,1.221724653080236e-06,0.0360869241505237
control,cue_impulse,0.6666666666666666,0.9305080946037456,0.0740741865343143,0.0781232804447533,0.3333333333333333,0.0138830066240061,0.1966373031880906
control,cue_on,0.3283582089552239,5.004498230823251,0.1851854183028109,0.0,0.3333333333333333,0.1036236026692546,0.5702584571066545
override,luminance_mean,0.0298507462686567,5493.521612617603,454.5873920012969,0.0,0.3333333333333333,9.343396658901442,0.0219698002089531
override,visual_change_mean_abs,0.0298507462686567,318.5843848736118,69.90353210865969,0.0,0.3333333333333333,3.1399853162192115,0.0469204528962891
override,optical_flow_proxy_p90_absdiff,0.0298507462686567,2204.8974580458184,358.51535782188256,0.0,0.3333333333333333,18.76558325090105,0.0512591700017678
override,histogram_delta,0.2388059701492537,0.0142673725465718,0.006004117109295,0.0,0.3333333333333333,0.0003103568908355,0.0553562580565255
override,cut_event,0.6666666666666666,0.0487701373314704,0.0327212253533766,0.0124628543445039,0.3333333333333333,0.0012130158256112,0.0391730161096001
override,audio_rms,0.0399002493765586,0.0045823964517657,0.0002661368127428,0.2570133548633733,0.3333333333333333,1.0208291277101811e-05,0.0389726385185056
override,audio_rms_derivative,0.7780548628428927,6.252102378141471e-05,2.063180817937773e-05,0.0484393988720116,0.3333333333333333,2.781642640236089e-06,0.0421332003359849
override,cue_impulse,0.6666666666666666,0.9305080946037456,0.0740741865343143,0.0781232804447533,0.3333333333333333,0.0138830066240061,0.1966373031880906
override,cue_on,0.3283582089552239,5.004498230823251,0.1851854183028109,0.0,0.3333333333333333,0.1036236026692546,0.5702584571066545
target,luminance_mean,0.0298507462686567,5493.521612617603,454.5873920012969,0.0,0.3333333333333333,9.343396658901442,0.0219698002089531
target,visual_change_mean_abs,0.0298507462686567,318.5843848736118,69.90353210865969,0.0,0.3333333333333333,3.1399853162192115,0.0469204528962891
target,optical_flow_proxy_p90_absdiff,0.0298507462686567,2204.8974580458184,358.51535782188256,0.0,0.3333333333333333,18.76558325090105,0.0512591700017678
target,histogram_delta,0.2388059701492537,0.0142673725465718,0.006004117109295,0.0,0.3333333333333333,0.0003103568908355,0.0553562580565255
target,cut_event,0.6666666666666666,0.0487701373314704,0.0327212253533766,0.0124628543445039,0.3333333333333333,0.0012130158256112,0.0391730161096001
target,audio_rms,0.0399002493765586,0.0045823964517657,0.0002661368127428,0.2570133548633733,0.3333333333333333,1.0208291277101811e-05,0.0389726385185056
target,audio_rms_derivative,0.7780548628428927,6.252102378141471e-05,2.063180817937773e-05,0.0484393988720116,0.3333333333333333,2.781642640236089e-06,0.0421332003359849
target,cue_impulse,0.6666666666666666,0.9305080946037456,0.0740741865343143,0.0781232804447533,0.3333333333333333,0.0138830066240061,0.1966373031880906
target,cue_on,0.3283582089552239,5.004498230823251,0.1851854183028109,0.0,0.3333333333333333,0.1036236026692546,0.5702584571066545
