time_lsl,phase_time_sec,condition,window_start_lsl,window_end_lsl,n_eeg_samples,theta_midline,theta_frontal,theta_parietal,alpha_posterior,gamma_meaning_raw,gamma_task_raw,gamma_visual_raw,hf_jaw_45_55,fp1_hf_35_55,global_ptp,fp1_ptp,resp_mean,resp_std,resp_ptp,theta_midline_z,theta_frontal_z,theta_parietal_z,alpha_posterior_z,gamma_meaning_raw_z,gamma_task_raw_z,gamma_visual_raw_z,hf_jaw_45_55_z,fp1_hf_35_55_z,global_ptp_z,fp1_ptp_z,resp_std_z,resp_ptp_z,artifact_score,meaninggamma_z,taskgamma_z,tsp_z,theta_integration_z,nast_nas_z,A_sem,R_int,NIP_density,blink_proxy_event
33499.4193224,1.0,BASELINE_1,33498.4193224,33500.4193224,249,1.594406512404094,1.7511682570797615,1.102601076758545,1.52045644180078,1.8954883672658356,1.5902037542579208,2.0446175536187545,1.3812639265831543,1.8369483617324995,139.1171875,258.07421875,18.99378490447998,3.8118462581885417,12.054492950439453,3.3654604345002666,4.421092811778421,1.8169736279362436,1.8335267133909385,7.3320660458250195,8.913609145367024,10.30802010414559,4.959321503496819,8.845465551573952,1.0405312687008699,2.7298754866771433,3.7044211525074866,4.209467407496337,4.393798452612196,3.3609003240589037,8.034849454844585,-0.40268091890550783,2.37554675976666,-1.7264452552751144,0.27979451626907736,0.7035868575331212,0.1968597444567599,1
33500.4193224,2.0,BASELINE_1,33499.4193224,33501.4193224,249,0.7513342327787075,0.7693148090125929,0.6828528167505853,1.4969510603895329,1.9154597159711697,1.5389206026900337,2.066325571693397,1.1780000569024138,1.878077616715392,138.28955078125,164.732421875,15.369772720336915,1.1205568689107792,4.026679992675781,-0.1123918407428815,0.10626140110550403,0.21531018349747044,1.7766407285232455,7.428758965945089,8.641217236734581,10.426513318879984,4.157753893585601,9.085960771530157,1.0223397873446525,1.1624265255224648,-0.27392281192969414,-0.0460485791479569,3.8571202444957184,3.52938092138195,7.8697931878354375,-0.5432516460565769,-0.532533520563439,-1.561883880730992,0.416145736924175,0.0,0.0,0
33501.4193224,3.0,BASELINE_1,33500.4193224,33502.4193224,249,1.9743937674014753,2.0747398253604246,1.6691700444985678,1.5865020863088815,2.160784903330424,1.6239445797587924,2.2611190245391426,1.3763612362120017,1.963728223504882,165.4140625,681.4375,16.65059452056885,3.1613569766405574,12.412189483642578,4.932988594651919,5.843053257267013,3.9788713434035983,1.9933654953418312,8.616520949112202,9.092824493410724,11.489793363955437,4.939987827477013,9.586785829698332,1.6185374161465547,9.839234397723374,2.7428485629941806,4.399081107195338,6.496136367761318,3.8703556663733067,7.79359721985846,-0.059340083555803336,3.8066400340738276,-1.920004826110541,0.22372925610455874,1.3535527335882547,0.3028293461839922,1
33502.4193224,4.0,BASELINE_1,33501.4193224,33503.4193224,250,2.277336971259683,2.4404804547001726,1.1821373674107507,1.5878755706222578,1.9575829655712673,1.5304934523005769,2.1289560173747004,1.3274868873924621,1.8331869749376295,193.654296875,705.533203125,18.902316284179687,4.487194935654468,14.085712432861328,6.18269367483303,7.450328924262957,2.1204659384022344,1.9966895004494172,7.632702128165884,8.59645618931966,10.768381601074493,4.747252664898547,8.823471582926844,2.2392586643578705,10.24386325742008,4.7027416399256845,5.286209855944911,6.513461542400835,3.0994953393633695,7.293763880839493,-0.8522792405176955,4.037421785608111,-2.2789849490613294,0.0,1.3530470933419716,0.0,1
33503.4193224,5.0,BASELINE_1,33502.4193224,33504.4193224,249,1.9962372772239332,2.182841931311566,1.1175825802088555,1.8138991755487355,1.9578208648806805,1.720400636312442,2.0293615434425103,1.35110924265215,1.9489609005866197,214.677734375,602.3125,17.972040748596193,3.969208309206329,14.445972442626953,5.023097713610363,6.318116377161426,1.8741396217122288,2.5436951050228784,7.633853937152904,9.605153563300803,10.22474517395215,4.840407020740154,9.500436816693622,2.7013544881179237,8.510522039448839,3.9370384133610563,5.477182445736455,6.388180091250135,3.2887943667172315,8.327517545050776,-0.9851767247001544,3.2217391004687084,-2.549528052674376,0.0,0.7805460071380379,0.0,1
33504.4193224,6.0,BASELINE_1,33503.4193224,33505.4193224,249,1.6022976772918525,1.8157799704093947,0.6143388606141676,2.2425325220676373,1.5285113772395666,1.09339575617297,1.8496061855484969,1.2563683594826964,1.6779473693388771,241.890625,1150.509765625,13.208881759643555,3.4189782891235456,9.369186401367188,3.398013166243984,4.705034015754335,-0.04612341714568831,3.581041814580874,5.555316898531006,6.274799425510355,9.243550568836472,4.46679796074196,7.915738556643837,3.2994946880852978,17.716164776993807,3.1236720440030834,2.7859956588719155,8.349548995616225,1.1123419287568197,4.604889626387109,-2.4081079676516493,1.2015371826172354,-3.70328020074144,0.0,0.0,0.0,1
33505.4193224,7.0,BASELINE_1,33504.4193224,33506.4193224,249,1.4799845153877245,1.475124603076866,1.0579336037158904,1.8974108136439731,1.1368038130532228,0.45381500794269836,1.1910514306117568,0.9636724913520686,1.2624892600208728,279.77685546875,867.806640625,9.093799209594726,1.5055595910036035,5.3578338623046875,2.8934453863503395,3.207997485430758,1.6465327576714865,2.745803792299436,3.6588326513664007,2.8776482090062854,5.648829497444539,3.3125567873506485,5.486429068188919,4.132235236704916,12.968851842898,0.2951996547333629,0.6595915002476234,6.475018233785621,0.6691801553759149,1.5826445622491612,-1.1556011960216126,1.5486836510609818,-2.444287721176958,0.0,0.0,0.0,1
33506.4193224,8.0,BASELINE_1,33505.4193224,33507.4193224,249,0.9590153902058554,1.3085152764412769,0.564490875423761,0.5972942989081459,1.2204084759427163,0.5139433883045914,0.7622138913790233,0.7427885660911837,1.016323643060903,200.2158203125,484.765625,9.70201759338379,1.757363898853449,5.2479705810546875,0.7443370582360754,2.4758198296986524,-0.23633193797883173,-0.4006419976893878,4.063611472752663,3.197021800312823,3.3080198275912696,2.441504788206544,4.047024094258138,2.383481157847456,6.536607530898417,0.6674242666033444,0.6013533534242808,3.8521543928026385,2.3007746459147542,2.4265909217522954,-0.24201371179271158,0.1695763049329777,-0.38449795169030726,0.1175617466253609,0.0,0.0,1
33507.4193224,9.0,BASELINE_1,33506.4193224,33508.4193224,249,1.2621418023828066,1.4093919566496569,0.5148882902239571,0.7268375305974526,1.156732584032067,0.42032774607603485,0.5444770739026437,0.5511603685248213,0.7032163536475142,182.8603515625,931.171875,12.908413696289063,1.8768170687680055,5.753852844238281,1.9947979116570203,2.9191302536976407,-0.42560406852364696,-0.08713105359282204,3.7553194279371733,2.69977967137049,2.119503428715148,1.6858222532035316,2.216190871806502,2.002007403673187,14.032917182538126,0.8440034927006156,0.8695197979670155,4.984234427805337,2.1226215137615614,1.7029327858094225,-0.5256043486752715,0.5848885228311106,-0.7207621203949837,0.0,0.0,0.0,1
33508.4193224,10.0,BASELINE_1,33507.4193224,33509.4193224,249,1.6021307468270756,1.7595049619327154,0.6953972719605136,0.48169551051983256,1.0377100805222028,0.38300072870709845,0.4270557956100318,0.4907567864997867,0.4016995450486138,138.939453125,634.51953125,13.132231521606446,1.912465693848334,6.361946105957031,3.3973245426102077,4.45772911023197,0.2631769580726901,-0.6804056318942215,3.1790622309810037,2.501516163886527,1.478559391573128,1.4476217557421234,0.45313070369387637,1.0366246614951689,9.05136097082589,0.8967003498256193,1.1918679406342172,2.9971845229392646,2.1360575089212124,1.9020792592986742,0.11091388683028847,2.0628761231055392,-0.012081379530451741,0.41049208554727734,0.8667591589520822,0.3557977748254443,0
