condition,meaninggamma_z,tsp_z,theta_integration_z,taskgamma_z,nast_nas_z,artifact_score,NIP_density,alpha_posterior_z,topo_state_norm,distance_from_baseline1
BASELINE_1,0.8554916635977943,-0.2179182551370433,0.4539869634267298,1.275197780678267,-0.4957629018488195,2.031979550360816,0.1272506365420716,0.3027454739905318,2.6634859094186543,0.0
BASELINE_2_REFLECTION,0.8431622746494166,0.2837015207103625,0.3356239857035581,0.6352237274548385,-0.2026338631044849,0.5513490213783123,0.2381681979820184,1.0074702607429304,1.6505539859724103,1.8607746031846377
CONTEXTUAL_OVERRIDE_1,-0.2254676401365843,-0.3748133422146318,0.1497870002613635,0.669907949223386,-0.5014776537719167,0.5690507676640467,0.0256558090641014,0.3738043163600639,1.1739761518065939,1.9512987039438259
CONTROL_1,-0.8026511048986468,-0.6413147084771731,-0.2315631709726587,-0.3745278095363151,-0.4254929320851045,0.4350492330626857,0.0002138214273325,-0.2681507999381459,1.300631731675436,3.002908710257199
TARGET_1,0.0345209112725041,-0.0763080296511748,0.0028810179948313,-0.9114985431229404,-0.278660787496239,0.4640688530897887,0.0715975758807935,0.5484107258601325,1.1986428888917655,2.871952259435354
WASHOUT_1,-1.3418513307235822,-0.9137486031733044,0.0604419734721042,-0.6215735827477583,-0.6956448113878154,0.5755507516769727,0.0,-0.1968313289484425,1.969627223084416,3.3899885991113026
WASHOUT_2,0.4130576512403564,0.0242468660865142,0.0283228784414143,-0.4664128427189191,-0.2847330591912751,0.8828620324998411,0.0806190871665514,0.7331586605014178,1.3394353292225576,2.2408087724906145
WASHOUT_3,-0.2841963449457181,-0.333971161420335,-0.0389071614763728,0.0081545240726707,-0.350181930745225,0.4373225441796366,0.01540897795739,0.1830060381667526,0.7358611292175578,2.3982641935251716
