condition,meaninggamma_z,tsp_z,theta_integration_z,taskgamma_z,nast_nas_z,artifact_score,NIP_density,alpha_posterior_z,n_windows
BASELINE_1,0.8554916635977943,-0.21791825513704335,0.4539869634267298,1.275197780678267,-0.49576290184881955,2.0319795503608162,0.12725063654207167,0.3027454739905318,119
BASELINE_2_REFLECTION,0.8431622746494166,0.2837015207103625,0.33562398570355817,0.6352237274548385,-0.2026338631044849,0.5513490213783123,0.23816819798201844,1.0074702607429304,119
CONTEXTUAL_OVERRIDE_1,-0.22546764013658435,-0.3748133422146318,0.14978700026136357,0.669907949223386,-0.5014776537719167,0.5690507676640467,0.025655809064101455,0.37380431636006395,200
CONTROL_1,-0.8026511048986468,-0.6413147084771731,-0.23156317097265874,-0.37452780953631515,-0.4254929320851045,0.4350492330626857,0.00021382142733251193,-0.2681507999381459,202
TARGET_1,0.03452091127250419,-0.07630802965117488,0.002881017994831396,-0.9114985431229404,-0.27866078749623907,0.46406885308978874,0.07159757588079357,0.5484107258601325,200
WASHOUT_1,-1.3418513307235822,-0.9137486031733045,0.060441973472104234,-0.6215735827477583,-0.6956448113878154,0.5755507516769727,0.0,-0.19683132894844257,119
WASHOUT_2,0.4130576512403564,0.02424686608651428,0.028322878441414314,-0.46641284271891914,-0.2847330591912751,0.8828620324998411,0.0806190871665514,0.7331586605014178,119
WASHOUT_3,-0.2841963449457181,-0.333971161420335,-0.038907161476372826,0.008154524072670762,-0.350181930745225,0.4373225441796366,0.015408977957390036,0.18300603816675262,119
