generator,n_trials,K_true_scaled,median_K_hat_scaled,mean_K_hat_scaled,K_within_15_positive_rate,K_within_10_positive_rate,false_K_lock_rate,full_cv_win_rate_mean,full_cv_dominance_rate,non_full_cv_win_rate_mean,non_full_dominance_rate
colored_noise_null,60,0.0,0.17502893235443379,0.17237023605104282,0.0,0.0,0.11666666666666667,0.8222222222222223,0.95,0.17777777777777776,0.0
full_reciprocal_positive_control,60,1.0,1.0531383642126233,1.0493014226134167,1.0,0.9333333333333333,0.0,0.7305555555555556,0.8166666666666667,0.2694444444444445,0.0
generic_hidden_oscillator_null,60,0.0,0.02879636130474022,0.03432893541278375,0.0,0.0,0.0,0.8722222222222222,0.9833333333333333,0.12777777777777777,0.0
replay_only_null,60,0.0,0.05266914264104894,0.06164237438104839,0.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666
sensory_drive_only_null,60,0.0,0.061748369953441365,0.06371383187559529,0.0,0.0,0.0,0.1111111111111111,0.0,0.888888888888889,0.9
standard_ping_null,60,0.0,0.04538073883158792,0.06001971375466322,0.0,0.0,0.0,0.4,0.2,0.6,0.25
