anchor_id,scene_label,condition,condition_norm,window_start_sec,window_end_sec,n_rows,original_CII_mean,pooled_full_exog_pred_mean,pooled_full_exog_resid_mean,pooled_full_exog_resid_density_mean,pooled_full_exog_resid_pos_mean,condition_full_exog_resid_density_mean,A_sem_mean,R_int_mean,artifact_mean,visual_drive_mean,stim_luminance_z_mean,stim_visual_change_z_mean,stim_audio_rms_z_mean,cue_on_fraction
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTROL_1,control,28.007354,58.007354,30,0.0,0.1213313083966914,-0.1213313083966914,0.07697411193139007,0.009358488606492864,0.02153795383470484,0.0,0.3769393672515625,1.3142167733915429,0.8710463993577153,1.1439015393842449,0.7658502287908261,-0.17374803109675313,0.3333333333333333
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,TARGET_1,target,28.007354,58.007354,30,0.3794463185076908,0.13221360924587106,0.24723270926181967,0.4455381295899012,0.2682596616584959,0.5560995124270376,1.0766455008756917,0.3320000218425827,0.3727115443282234,-0.013158084374324619,1.1351257687566256,0.026491222849609423,-0.2788402754559847,0.3333333333333333
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTEXTUAL_OVERRIDE_1,override,28.007354,58.007354,30,0.07851859285576751,0.13221360924587106,-0.053695016390103545,0.14461040393797797,0.02834270529160986,0.05728872141172893,0.8247267776150531,0.08156748014813661,0.3520536015188188,0.5919931000283675,1.1351257687566256,0.026491222849609423,-0.2788402754559847,0.3333333333333333
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTROL_1,control,161.007354,191.007354,30,0.0019468853004843,0.22483221821661162,-0.22288533291612733,-0.024579912588045878,0.003377592349643361,-0.007277021733559432,0.014215717241957655,0.2077677215441143,0.7367248705072761,-0.27798813688238305,-0.5736180459789753,-0.32429405445938186,0.07841348681196066,0.3333333333333333
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,TARGET_1,target,161.007354,191.007354,30,1.6516544438974314,0.2775765545999882,1.374077889297443,1.5723833096255246,1.414460249898924,1.4928752435263213,1.2157576325008823,1.9837230606413772,0.9181899010765544,0.7853593342196198,-0.5807023693367505,1.541393559797404,0.4038490201315847,0.3333333333333333
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTEXTUAL_OVERRIDE_1,override,161.007354,191.007354,30,0.002114771470701283,0.2775765545999882,-0.27546178312928693,-0.07715636280120546,0.0,0.01191239976717079,0.00664437258636499,0.44520904847783677,0.02604765118876118,0.512265108098475,-0.5807023693367505,1.541393559797404,0.4038490201315847,0.3333333333333333
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTROL_1,control,166.007354,196.007354,30,0.0011851737008123134,0.204387456142402,-0.2032022824415897,-0.00489686211350821,0.003377592349643361,-0.005596084310314919,0.009183495880955616,0.17650594452451204,0.7705075156287126,-0.365444341168665,-0.257563184163119,-0.12015973388838551,0.3782892599805844,0.3333333333333333
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,TARGET_1,target,166.007354,196.007354,30,1.1910256258335425,0.25701410251430806,0.9340115233192345,1.132316943647316,0.9743938839207155,1.1070383844409706,1.2203329983873918,1.4778652115947815,0.8705699277490583,0.6915115835556449,-0.27185033550366533,1.8361391760143908,0.5899658339418997,0.3333333333333333
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTEXTUAL_OVERRIDE_1,override,166.007354,196.007354,30,0.0034024952812411963,0.25701410251430806,-0.2536116072330669,-0.05530618690498537,0.0,0.01025089599481287,0.00865243581205588,0.5245083039894343,0.00659872812612965,0.3821278145284677,-0.27185033550366533,1.8361391760143908,0.5899658339418997,0.3333333333333333
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTROL_1,control,263.007354,328.007354,40,0.00522132299931857,0.17964429627583184,-0.1744229732765133,0.023882447051568195,0.0022079916395605927,-0.004341817090625463,0.09379380612253728,0.08805979210090786,0.052327631836102104,-0.8787140745571879,-0.19078132186320257,-0.5486798006463882,1.7295762261422423,0.32432432432432434
