run,anchor_id,label,time_sec,timing_status,claim_level,target_MR,target_ENC,target_CII,target_artifact,control_MR,control_ENC,control_CII,override_MR,override_ENC,override_CII,MR_margin_min,ENC_margin_min,CII_margin_min,strict_peak_existing,strict_peak_source,MRED_peak_score,MRED_peak_gate,RDI_resolutive_recovery,RDI_afterstate_proxy,afterstate_echo_max,baseline2_echo_max,anchor_NUPI_proxy,anchor_polarity_label,MRED_resolution_score,MRED_resolution_gate,self_target_meaning,self_target_absorption,self_target_afterglow,self_target_washout,self_override_reduced,self_story_breakthrough,self_familiarity,self_new_meaning
Arrival,ARR_A1_FUTURE_TRAGEDY_ACCEPTANCE_068P0,Future/tragedy acceptance line,68.0,conceptual_not_runner_registered,conceptual_future_freeze_not_runner_registered,0.7577938085647432,0.019857310645507,0.3457974474313048,0.9450845263481784,0.2016211462970805,-0.3434554298629985,0.0074651720949257,-0.5666699240538294,0.2222476850800916,0.0,0.5561726622676627,-0.2023903744345846,0.338332275336379,False,none,0.5248167994779552,RECOGNITION_DOMINANT_NOT_PEAK_LOCKED,,0.910702167134178,0.9293004182926472,,0.7346924808234296,RESOLUTIVE_RECOVERY_TILT,0.8788601684524497,NOT_GRADED_NO_BASELINE2_PROXY_ONLY,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,,,,
Arrival,ARR_A4_CHILD_LIFE_MONTAGE_251P0,Child-life montage under tragic foreknowledge,251.0,conceptual_not_runner_registered,conceptual_future_freeze_not_runner_registered,0.3394746033818426,-0.0391760633306738,0.2039123661516728,3.158041843350427,-0.4740909812981596,-0.2533699781386329,0.0012689773928171,-0.7819579135152482,0.1799515211722529,0.0,0.8135655846800022,-0.21912758450292671,0.2026433887588556,False,none,0.45807829563300656,NO_PEAK_EVIDENCE,,0.910702167134178,0.8782639954062428,,0.597864031609092,RESOLUTIVE_RECOVERY_TILT,0.8429297222185143,NOT_GRADED_NO_BASELINE2_PROXY_ONLY,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,,,,
Arrival,ARR_A2_STARDUST_CRINGE_120P0,"""Star dust"" cringe / aversive semantic prediction error",120.0,conceptual_not_runner_registered,conceptual_future_freeze_not_runner_registered,0.6976554890393409,0.2226282843032279,0.3319597983248626,1.273730566903695,0.1259436986981035,-0.4911637414336809,0.0085283813414198,-0.7676869835457822,-0.1895538137174171,0.0,0.5717117903412374,0.412182098020645,0.3234314169834428,False,none,0.5899569867565015,RECOGNITION_DOMINANT_NOT_PEAK_LOCKED,,0.910702167134178,0.8702106169207271,,0.2021130970485654,MIXED_NEUTRAL_TILT,0.8114047436179201,NOT_GRADED_NO_BASELINE2_PROXY_ONLY,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,,,,
Arrival,ARR_A5_HELD_BY_YOU_FINAL_310P0,Final embrace / held-by-you line,310.0,conceptual_not_runner_registered,conceptual_future_freeze_not_runner_registered,-0.3638922464473961,0.1651932819738349,0.0219128203088958,0.6484707561636376,-0.5479577361379531,-0.202443869045379,0.0,-0.9189247928964108,0.2157291235048789,0.0,0.18406548969055697,-0.05053584153104401,0.0219128203088958,False,none,0.3495402462703334,NO_PEAK_EVIDENCE,,0.910702167134178,0.9761420018700452,,0.2110250817279815,MIXED_NEUTRAL_TILT,0.8004563083502536,NOT_GRADED_NO_BASELINE2_PROXY_ONLY,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,,,,
Contact,CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,28.007354,conceptual_not_runner_registered,conceptually_predeclared_not_runner_registered,1.0766455008756917,0.3320000218425827,0.3794463185076908,0.3727115443282234,0.0,0.4000952419184049,0.0,0.7719803471022945,0.0766800441275687,0.0684701688976011,0.3046651537733972,-0.0680952200758222,0.3109761496100897,False,none,0.5675758312983363,RECOGNITION_DOMINANT_NOT_PEAK_LOCKED,0.8200794769845514,0.8068256206357696,0.9574428196703026,0.7546392677055477,0.2592349327314813,RESOLUTIVE_RECOVERY_TILT,0.7892832729613661,RESOLUTION_COMPONENT_WITH_HIGH_LOAD_PROFILE,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,,
Arrival,ARR_A3_READING_LETTERS_169P0,Mother teaches daughter letters,169.0,conceptual_not_runner_registered,conceptual_future_freeze_not_runner_registered,0.7285091684107432,0.565322690814479,0.6147478184407765,0.6087048610474497,-0.1674200722707548,-0.4071041641800478,0.003597272548118,-0.6638104045223197,-0.1725595363447982,0.0,0.895929240681498,0.7378822271592771,0.6111505458926585,False,none,0.6734745777585894,PEAK_CANDIDATE_NO_STRICT_LOCK,,0.910702167134178,0.8459076369112963,,0.0617967627296452,MIXED_NEUTRAL_TILT,0.786172537524152,NOT_GRADED_NO_BASELINE2_PROXY_ONLY,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,,,,
Contact,CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,271.007354,conceptual_not_runner_registered,conceptually_predeclared_not_runner_registered,1.0190586446232544,0.618226433035111,0.6114878048098518,0.1259875095626602,0.1206826608176598,0.1512027700695284,0.0178471277519184,0.0072309960049554,0.314485362138366,0.000840011854729,0.8983759838055946,0.30374107089674507,0.5936406770579333,False,none,0.6570132779985671,PEAK_CANDIDATE_NO_STRICT_LOCK,0.8200794769845514,0.8068256206357696,0.8300305332000274,0.8304954787491879,0.1778715052323793,MIXED_NEUTRAL_TILT,0.7623817602147668,AFTERSTATE_RECOVERY_SUPPORT_BUT_ANCHOR_WEAK,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,,
Field,FOD_BLIND_A6,FOD_BLIND_A6,150.0,runner_registered_estimated_blind_not_frame_verified,runner_registered_estimated_blind_not_frame_verified,1.1968629279969627,0.3727679652429264,0.1499695088243297,0.8844833419377598,-0.620024204476433,-0.2460403303981538,0.0,-0.1419467352739927,-0.2951063432718227,0.0018846730345792,1.3388096632709554,0.6188082956410802,0.1480848357897504,True,field_amred_A_MRED_pass,0.6844468404114243,STRICT_PEAK_PASS_TIMING_CAUTION,0.7112881392501226,0.835359952820005,0.9248168617411844,0.4988035015595962,0.4060021994657544,RESOLUTIVE_RECOVERY_TILT,0.7456768044060997,RESOLUTION_CANDIDATE,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.7777777777777778
Contact,CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,166.007354,conceptual_not_runner_registered,conceptually_predeclared_not_runner_registered,1.2203329983873918,1.4778652115947817,1.1910256258335423,0.8705699277490583,0.0085801089041772,0.1742568422888818,0.001089403692509,0.0086524358120558,0.5430527158462287,0.0034024952812412,1.211680562575336,0.934812495748553,1.187623130552301,False,none,0.7681465046138578,PEAK_CANDIDATE_NO_STRICT_LOCK,0.8200794769845514,0.8068256206357696,0.7855421387683438,0.8176979970139293,-0.0071427450951594,MIXED_NEUTRAL_TILT,0.7261080458465647,AFTERSTATE_RECOVERY_SUPPORT_BUT_ANCHOR_WEAK,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,,
Contact,CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,263.007354,conceptual_not_runner_registered,conceptually_predeclared_not_runner_registered,1.0085491561807818,0.6320698367935255,0.6330884331005462,0.1073131195204357,0.0984460257064066,0.1532415639544634,0.0154369380525997,0.1009560611337372,0.3250333500143494,0.0371132581487411,0.9075930950470446,0.30703648677917605,0.5959751749518051,False,none,0.6577595055759503,PEAK_CANDIDATE_NO_STRICT_LOCK,0.8200794769845514,0.8068256206357696,0.7329749162012777,0.6950295782740126,0.097602593800828,MIXED_NEUTRAL_TILT,0.7195582765532513,AFTERSTATE_RECOVERY_SUPPORT_BUT_ANCHOR_WEAK,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,,
