condition,status,sha256_12,duration_sec,cut_count,cut_rate_per_sec,flash_event_count,audio_rms_mean,dbfs_mean,cue_count,min_cue_contrast
control,PASS,35b99e132076,299.96663329996665,23,0.07667519466073415,68,0.011334532713931759,-42.519180570136754,99,0.9998181987174534
target,PASS,14ea5e719dfe,299.96663329996665,33,0.11001223581757508,26,0.014965782006346661,-40.54590806320449,99,0.9998181987174534
override,PASS,14ea5e719dfe,299.96663329996665,33,0.11001223581757508,26,0.014965782006346661,-40.54590806320449,99,0.9998181987174534
