seed,eta_true,zeta_true,K_true,eta_hat,zeta_hat,K_hat,K_loop_hat,eta_pct_error,zeta_pct_error,K_pct_error,K_lock_15_pass,K_lock_10_pass,directional_20_pass,directional_15_pass,full_cv_fold_wins,full_cv_win_rate,cv_winners_pipe,locked_spec_sha256
910016,4.0,180.0,26.832815729997478,3.75,185.0,26.339134382131846,693.75,0.0625,0.027777777777777776,0.01839841755085456,True,True,True,True,4,0.6666666666666666,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910017,4.0,180.0,26.832815729997478,4.0,190.0,27.568097504180443,760.0,0.0,0.05555555555555555,0.02740233382816267,True,True,True,True,3,0.5,replay_only_basis|full_reciprocal|full_reciprocal|eta_only|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910018,4.0,180.0,26.832815729997478,4.0,170.0,26.076809620810597,680.0,0.0,0.05555555555555555,0.0281746841924499,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910019,4.0,180.0,26.832815729997478,4.0,165.0,25.69046515733026,660.0,0.0,0.08333333333333333,0.04257289224366191,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910020,4.0,180.0,26.832815729997478,3.75,175.0,25.617376914898998,656.25,0.0625,0.027777777777777776,0.04529673021753332,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910021,4.0,180.0,26.832815729997478,4.0,185.0,27.202941017470888,740.0,0.0,0.027777777777777776,0.013793755049703278,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910022,4.0,180.0,26.832815729997478,4.0,185.0,27.202941017470888,740.0,0.0,0.027777777777777776,0.013793755049703278,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910023,4.0,180.0,26.832815729997478,4.0,175.0,26.457513110645905,700.0,0.0,0.027777777777777776,0.013986702816730727,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910024,4.0,180.0,26.832815729997478,4.25,185.0,28.040149785619906,786.25,0.0625,0.027777777777777776,0.044994683665371044,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910025,4.0,180.0,26.832815729997478,3.75,170.0,25.248762345905195,637.5,0.0625,0.05555555555555555,0.05903418411364879,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|zeta_only,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910026,4.0,180.0,26.832815729997478,4.0,170.0,26.076809620810597,680.0,0.0,0.05555555555555555,0.0281746841924499,True,True,True,True,4,0.6666666666666666,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910027,4.0,180.0,26.832815729997478,4.25,195.0,28.788018340969565,828.75,0.0625,0.08333333333333333,0.07286609913197771,True,True,True,True,5,0.8333333333333334,replay_only_basis|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910028,4.0,180.0,26.832815729997478,4.5,180.0,28.460498941515414,810.0,0.125,0.0,0.06066017177982125,True,True,True,True,3,0.5,eta_only|full_reciprocal|zeta_only|eta_only|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910029,4.0,180.0,26.832815729997478,4.25,185.0,28.040149785619906,786.25,0.0625,0.027777777777777776,0.044994683665371044,True,True,True,True,4,0.6666666666666666,replay_only_basis|full_reciprocal|full_reciprocal|eta_only|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910030,4.0,180.0,26.832815729997478,3.75,185.0,26.339134382131846,693.75,0.0625,0.027777777777777776,0.01839841755085456,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910031,4.0,180.0,26.832815729997478,3.75,200.0,27.386127875258307,750.0,0.0625,0.1111111111111111,0.020620726159657536,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910032,4.0,180.0,26.832815729997478,4.0,190.0,27.568097504180443,760.0,0.0,0.05555555555555555,0.02740233382816267,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910033,4.0,180.0,26.832815729997478,4.0,175.0,26.457513110645905,700.0,0.0,0.027777777777777776,0.013986702816730727,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910034,4.0,180.0,26.832815729997478,4.25,180.0,27.65863337187866,765.0,0.0625,0.0,0.03077640640441506,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|generic_hidden_oscillator,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910035,4.0,180.0,26.832815729997478,4.0,190.0,27.568097504180443,760.0,0.0,0.05555555555555555,0.02740233382816267,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910036,4.0,180.0,26.832815729997478,4.0,160.0,25.298221281347036,640.0,0.0,0.1111111111111111,0.05719095841793662,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910037,4.0,180.0,26.832815729997478,4.5,170.0,27.65863337187866,765.0,0.125,0.05555555555555555,0.03077640640441506,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910038,4.0,180.0,26.832815729997478,4.25,190.0,28.416544476765644,807.5,0.0625,0.05555555555555555,0.05902208559490283,True,True,True,True,4,0.6666666666666666,replay_only_basis|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910039,4.0,180.0,26.832815729997478,4.5,175.0,28.062430400804562,787.5,0.125,0.027777777777777776,0.045825033167594446,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|generic_hidden_oscillator,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910040,4.0,180.0,26.832815729997478,4.0,175.0,26.457513110645905,700.0,0.0,0.027777777777777776,0.013986702816730727,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910041,4.0,180.0,26.832815729997478,4.0,200.0,28.284271247461902,800.0,0.0,0.1111111111111111,0.054092553389459765,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910042,4.0,180.0,26.832815729997478,4.25,180.0,27.65863337187866,765.0,0.0625,0.0,0.03077640640441506,True,True,True,True,4,0.6666666666666666,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
