run,phase,cue_index,cue_value,cue_lsl_time,cue_relative_time_sec,cue_source,pre_task_gamma_30_45,pre_task_gamma_35_40,pre_task_theta_4_8,pre_frontal_theta_4_8,pre_visual_gamma_30_45,pre_jaw_hf_45_55,pre_global_p2p_025,pre_artifact_score,rec_task_gamma_30_45,rec_task_gamma_35_40,rec_task_theta_4_8,rec_frontal_theta_4_8,rec_visual_gamma_30_45,rec_jaw_hf_45_55,rec_global_p2p_025,rec_artifact_score,upd_task_gamma_30_45,upd_task_gamma_35_40,upd_task_theta_4_8,upd_frontal_theta_4_8,upd_visual_gamma_30_45,upd_jaw_hf_45_55,upd_global_p2p_025,upd_artifact_score,maint_task_gamma_30_45,maint_task_gamma_35_40,maint_task_theta_4_8,maint_frontal_theta_4_8,maint_visual_gamma_30_45,maint_jaw_hf_45_55,maint_global_p2p_025,maint_artifact_score,DR_taskgamma_30_45,DR_taskgamma_35_40,DR_visualgamma_30_45,WMU_tasktheta_4_8,WMU_frontaltheta_4_8,MAINT_tasktheta_4_8,mean_artifact_score,DR_taskgamma_30_45_z,DR_taskgamma_35_40_z,WMU_tasktheta_4_8_z,WMU_frontaltheta_4_8_z,MAINT_tasktheta_4_8_z,DR_visualgamma_30_45_z,mean_artifact_score_z,OCM_score,OCM_score_z,override_minus_target_1_DR_taskgamma_35_40,override_minus_control_1_DR_taskgamma_35_40,override_minus_target_1_WMU_frontaltheta_4_8,override_minus_control_1_WMU_frontaltheta_4_8,override_minus_target_1_OCM_score,override_minus_control_1_OCM_score,ocm_event_vs_target_null,value,running_sum,prior_running_sum,prior_units_digit,carry_required,high_carry_load,hard9_pattern,digit_recognition_DR,working_memory_update_WMU,maintenance_MAINT,artifact_z_mean,cue_update_event,arithmetic_compute_load,compute_stall_score,cue_visibility_burden,squint_proxy,latent_guess_risk
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,1,8,344670.5635428,3.0,event_log_marker,2.295668847973406,1.4995214351374089,3.297651356001725,3.15014115003266,2.4263236209804213,2.250999364031049,55.449928587587046,2.844809166177744,1.7403011985136727,1.117952173509861,3.345941935403576,3.372151472295236,2.1676843648828537,1.1919140731706332,63.91146089501303,2.0870657983898253,1.4326595319058717,0.8773525481865434,3.223260125992353,3.135495852689418,1.870919929354934,1.2232958609434414,56.37928511472105,1.8742497961665192,1.1495289252933998,0.6977202105305581,2.1038888145739305,2.124622414422103,1.669088749082839,0.892678399494773,34.68188862924186,0.8389841709712877,-0.5553676494597339,-0.3815692616275479,-0.2586392560975676,-0.0743912300093727,-0.0146452973432413,-1.193762541427795,1.911277232926344,-3.948254307240256,-3.484186826813283,-0.1662084001244173,-0.1029095739688582,-1.85425893216364,-1.6149282184369145,3.6137974954741146,-2.437071953966824,-3.026749313473288,-0.5793733419509768,-0.2554742006230043,0.029703061290665,0.6617821453078395,-2.989535044026713,-1.4349144888390075,False,8,8,0.0,0,0,0,0,-3.484186826813283,-0.1029095739688582,-1.85425893216364,3.6137974954741146,False,-8.180222440976605,-4.743432749695577,0.17444960778565888,4.310634860836771,0.00701517331417178
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,2,9,344673.5627206,6.0,event_log_marker,1.1495289252933998,0.6977202105305581,2.1038888145739305,2.124622414422103,1.669088749082839,0.892678399494773,34.68188862924186,0.8389841709712877,1.1196489916223,0.4380938287717441,2.319910453439584,2.0756353857248926,1.353406599250936,0.796793277919244,32.85933364483965,0.7308512682191403,0.9271901662698404,0.3484146772476069,2.5734032134862352,2.806154917246393,1.0376460066882447,0.7623473711283182,36.91068049299865,0.8425240843597279,0.9916211688908552,0.4654510833976725,3.1582905587743486,3.048949005803459,0.9339450004890968,1.047562948825615,52.57867563511294,1.574615824387465,-0.0298799336710997,-0.259626381758814,-0.3156821498319029,0.4695143989123047,0.68153250282429,1.054401744200418,0.9967438369844052,-0.1820907771399342,-2.3740381842461407,0.7675022782147147,1.2484817400099897,1.7511344851232062,-1.997666988228739,1.3262796901542306,-0.4628445052527296,-0.3928987783054724,-0.2412641855583016,-0.2498277379096107,0.676784304939789,0.4606687314929272,-0.3679075276630227,-0.5918508866318466,False,9,17,8.0,8,1,8,1,-2.3740381842461407,1.2484817400099897,1.7511344851232062,1.3262796901542306,False,-2.137345706030622,0.8728585692475267,1.5702799242774739,1.8010873270034589,0.4849077347448095
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,3,1,344676.5627227,9.0,event_log_marker,0.9916211688908552,0.4654510833976725,3.1582905587743486,3.048949005803459,0.9339450004890968,1.047562948825615,52.57867563511294,1.574615824387465,0.789805055940669,0.2257090079785134,1.9604131566217409,1.668882301042203,0.7969855029293045,0.7518293186538914,19.16300046594164,0.3773292999739218,0.963386892033468,0.5741458935094472,1.4203303543940848,1.2438406064064336,0.9205993382592832,0.7912295539360116,23.63781072419053,0.4512861105744857,0.915238401733954,0.5964294509657487,1.5197568110422162,1.576865121451748,0.9523115760604766,0.8692131008677011,16.446643255027368,0.4709284465357708,-0.2018161129501862,-0.239742075419159,-0.1369594975597922,-1.7379602043802638,-1.8051083993970247,-1.6385337477321325,0.7185399203679108,-1.4143551069233242,-2.193014612266216,-3.0220202044686104,-3.5784818825556006,-2.567540959486787,-0.7984976686788453,0.6304096261479925,-2.562757323647652,-3.194428310344815,-0.1774234774610785,-0.2900013502750166,-2.9467310438655634,-1.80728870861821,-3.107824507379948,-2.7879920474787347,False,1,18,17.0,7,0,0,0,-2.193014612266216,-3.5784818825556006,-2.567540959486787,0.6304096261479925,False,-3.980105240248867,-6.065706002060017,-0.6365129202033496,1.0690125486012358,0.01391325374604778
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,4,7,344679.5629422,12.0,event_log_marker,0.915238401733954,0.5964294509657487,1.5197568110422162,1.576865121451748,0.9523115760604766,0.8692131008677011,16.446643255027368,0.4709284465357708,0.7503657175208661,0.3337099250832707,1.6349684489890477,1.300005878223989,0.8259036566986581,0.641304383812985,15.932398003279587,0.2635169350572557,0.5887856099401446,0.2310477712293326,1.4780171762560892,1.5068532467832465,0.5771877643079683,0.7631797918369849,14.313009800719088,0.3501650876333552,0.5701311136083059,0.2273659434375488,1.631420508952188,1.726489756827478,0.7422046143094648,0.4132714383834727,14.85626702057825,0.0924918746171036,-0.1648726842130878,-0.262719525882478,-0.1264079193618185,-0.0417396347861269,-0.0700118746685014,0.1116636979099718,0.2942755859608714,-1.1495820402918602,-2.402197677886496,-0.1101561338789033,-0.2103848649995248,0.2392603004607375,-0.7277001022429083,-0.4308006297319442,-0.8785148449409965,-0.947451673086888,-0.3172167902620157,-0.0899033521307167,-0.0272143309217645,0.3908808679232696,-0.9728375795445268,0.0325656493614779,False,7,25,18.0,8,1,6,0,-2.402197677886496,-0.2103848649995248,0.2392603004607375,-0.4308006297319442,False,-2.201537953728558,-0.9257224138750949,1.1603775094255622,0.48043953557729924,0.28313133191203294
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,5,7,344682.562594,15.0,event_log_marker,0.5701311136083059,0.2273659434375488,1.631420508952188,1.726489756827478,0.7422046143094648,0.4132714383834727,14.85626702057825,0.0924918746171036,0.7718398699385058,0.3852758954390732,1.5563775437000342,1.5336410415813948,0.9194030542612508,0.5569205522480353,15.33473028214664,0.1922756409954006,0.7931090895830997,0.3989760135452327,1.9174227682993368,2.184031500299422,0.76768120616251,0.620753703197143,20.125086405289384,0.279456931913759,0.8182658767231712,0.1890109399249333,1.7733246013021944,1.344382813409615,0.7941521049984666,0.9359820658999686,17.928092187423747,0.5035547168571516,0.2017087563301999,0.1579099520015244,0.1771984399517858,0.2860022593471487,0.457541743471944,0.1419040923500063,0.2669447910958537,1.4777023104256506,1.4271463920527574,0.4524710757310182,0.8136802187212557,0.2877569871785375,1.3093971916960805,-0.4991630101159652,0.6965131426780772,1.1538200475534173,-0.0048930574522832,0.0693070798768926,0.4917463543126795,1.143569781903818,0.3882284490984835,0.6895305747780677,True,7,32,25.0,5,1,3,0,1.4271463920527574,0.8136802187212557,0.2877569871785375,-0.4991630101159652,True,-2.3457493498971123,-0.094641461509122,-0.4713964830112708,0.0,0.2023875918335977
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,6,3,344685.5625449,18.0,event_log_marker,0.8182658767231712,0.1890109399249333,1.7733246013021944,1.344382813409615,0.7941521049984666,0.9359820658999686,17.928092187423747,0.5035547168571516,0.9146260037314928,0.6156913262912399,1.701600807842769,1.6464945058015572,0.9412919719201992,0.6204741753893503,14.208081753805978,0.2588240465021886,0.8561315464544954,0.474945776532244,1.5729257082899624,1.5266011074513193,0.8608358429857601,0.5917451103432965,15.293455697561429,0.2224637766755623,0.5827123025037583,0.3357508169876906,1.192573150768074,1.1218948297313818,0.6213007196843348,0.6946561545028449,15.799442323056091,0.3179008838521474,0.0963601270083217,0.4266803863663065,0.1471398669217327,-0.200398893012232,0.1822182940417043,-0.5807514505341205,0.3256858559717625,0.7226700731778767,3.873989809179133,-0.3825229485352975,0.2792338201070168,-0.8711696775390411,1.1077142035082737,-0.3522342785864906,1.2121813982684686,1.8417818686903185,0.4628092394934064,0.5047157851301256,-0.508434639172872,0.6567396985200358,0.731662318499925,2.252635770402521,False,3,35,32.0,2,0,0,0,3.873989809179133,0.2792338201070168,-0.8711696775390411,-0.3522342785864906,False,-3.0993045586072534,-1.4517883460096133,-2.1167420022696994,0.0,0.054347358938846034
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,7,8,344688.5624394,21.0,event_log_marker,0.5827123025037583,0.3357508169876906,1.192573150768074,1.1218948297313818,0.6213007196843348,0.6946561545028449,15.799442323056091,0.3179008838521474,0.5443911497502716,0.2802759644394928,1.4730106719388574,1.2526940160472384,0.8034863452970464,0.4476825714397798,18.29990286887612,0.1675868355192966,0.4658317401044471,0.2132482545277307,0.8763179109152861,0.935751574500172,0.5268659977735203,0.5210897105166584,12.473461161441804,0.198406377387038,0.7277626114138362,0.2957269190801326,1.7401709398825729,1.698681693623723,0.5417833019730046,0.506475920886723,13.85828152661746,0.1740638811731789,-0.0383211527534866,-0.0554748525481978,0.1821856256127116,-0.3162552398527878,-0.1861432552312099,0.547597789114499,0.2144894944829152,-0.2425888829994816,-0.5154750334075021,-0.581410958598467,-0.4358142580871091,0.9383701977432376,1.342859542212096,-0.6303691809544224,-0.3264816765828379,-0.2109748011552568,0.074521238484455,-0.1137059858304484,0.4441905273293096,-1.0425353428487831,0.6113546000436523,-1.1870647142391224,False,8,43,35.0,5,1,4,0,-0.5154750334075021,-0.4358142580871091,0.9383701977432376,-0.6303691809544224,False,-1.6728647744671126,-0.5369179027078137,0.4090000091901055,0.10309500668150043,0.2862926690959071
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,8,4,344691.5623809,24.0,event_log_marker,0.7277626114138362,0.2957269190801326,1.7401709398825729,1.698681693623723,0.5417833019730046,0.506475920886723,13.85828152661746,0.1740638811731789,0.5538737337375338,0.236614065645742,1.235628559597486,1.2420967868512616,0.6929270053228512,0.539087863403699,11.611284182521944,0.1737956915565093,0.5575055358611318,0.2386420155379321,1.6075116265280285,1.177799340510127,0.7316501675979966,0.5006055645744449,16.311983672327475,0.1855584085306592,0.5665701003917165,0.2448453332977893,1.17182364684183,1.169196513524938,0.7003737983441909,0.5148849489936439,12.619905521995348,0.196881898107922,-0.1738888776763024,-0.0591128534343905,0.1511437033498466,-0.1326593133545446,-0.520882353113596,-0.5683472930407429,0.1825749698420674,-1.214200979957323,-0.5485948166192187,-0.2662359209529908,-1.0855958357509086,-0.851277062012896,1.1345786090217969,-0.710196821681601,-0.8131161485336587,-0.8602021559940429,0.0179885662193082,-0.1828190949700679,-0.4532793062307887,-0.6213579814699386,-0.4885099041697603,-1.4005314312221715,False,4,47,43.0,3,0,0,0,-0.5485948166192187,-1.0855958357509086,-0.851277062012896,-0.710196821681601,False,-2.6812619945167357,-2.442711577417691,-0.246877007264917,0.10971896332384375,0.09349809229608094
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,9,9,344694.5623011,27.0,event_log_marker,0.5665701003917165,0.2448453332977893,1.17182364684183,1.169196513524938,0.7003737983441909,0.5148849489936439,12.619905521995348,0.196881898107922,0.707396101261114,0.298810907320182,1.3808778517101807,0.979275316469471,0.6210017143796626,0.541387258700638,16.757453634214475,0.173337065886768,0.5229500083164235,0.2110928448180955,1.2727006292453895,1.3465310275770428,0.6385086410625908,0.5958187963113492,15.138171751701265,0.226652519817651,0.5438232916280491,0.2680220974463473,1.8840069985543613,2.258643107983526,0.5715429055221705,0.5945378295080562,14.92340915799949,0.2215054973864468,0.1408260008693974,0.0539655740223926,-0.0793720839645283,0.1008769824035598,0.1773345140521047,0.7121833517125318,0.2045942452996969,1.041356404823703,0.4808532567730653,0.1346706362404222,0.2697536300524929,1.2023169687887465,-0.4121053524405578,-0.6551201182030015,0.4430599557072573,0.8156838249120526,0.1911641573381909,0.150485856691183,1.099886094348432,-0.054916460792203,1.4807013300693916,0.7209328551403433,False,9,56,47.0,7,1,7,1,0.4808532567730653,0.2697536300524929,1.2023169687887465,-0.6551201182030015,False,0.09517778962340517,0.7190321998702061,0.15047988917390387,0.0,0.5219796092746731
Arrival_Run1,CONTEXTUAL_OVERRIDE_1,10,5,344697.5626412,30.0,event_log_marker,0.5438232916280491,0.2680220974463473,1.8840069985543613,2.258643107983526,0.5715429055221705,0.5945378295080562,14.92340915799949,0.2215054973864468,0.5569455499473367,0.2964159678329176,1.3675234847385669,1.3711128013960712,0.5842692255295616,0.538135882456063,13.395002279594014,0.1875301737221705,0.6907774752048305,0.2919984883638713,2.18870201836922,2.434131491806968,0.7019565365571103,0.4652068783368568,30.79177202012053,0.5449866430430867,0.7337883186574312,0.3635088374119081,1.2787351825133575,1.308957666676397,0.8230948218342635,0.5157171855613137,14.515672139585318,0.1559176031559896,0.0131222583192875,0.0283938703865702,0.0127263200073911,0.3046950198148583,0.175488383823442,-0.605271816041004,0.2774849793269234,0.1261053658384319,0.2480525216256232,0.4845605212676251,0.2661699990391393,-0.9104931224283374,0.2058441856766768,-0.4727988900554158,0.0228194953007486,0.2550338540782486,0.078933768293383,0.09703113877393,0.2695655758815525,0.2906266800104462,0.3042633004340088,0.3620331113466494,False,5,61,56.0,6,1,2,0,0.2480525216256232,0.2661699990391393,-0.9104931224283374,-0.4727988900554158,False,-1.4050995862555657,-0.9919970831682294,-0.372563717324647,0.0,0.2107938076112896
