run,anchor_id,label,condition,target_time_sec,target_CII,control_CII,override_CII,target_MR,target_ENC,target_artifact,target_taskgamma,target_specific_CII,complexity_strike,complexity_settle,CSI,ACG_feature_proxy_flag,OCU_proxy_flag,afterstate_echo_max,baseline2_echo_max,load_proxy,recovery_proxy,anchor_NUPI_proxy,anchor_polarity_label
Arrival,ARR_A1_FUTURE_TRAGEDY_ACCEPTANCE_068P0,Future/tragedy acceptance line,TARGET,68.0,0.3457974474313048,0.0074651720949257,0.0,0.7577938085647432,0.019857310645507,0.9450845263481784,-1.0374350814659448,0.3383322753363791,-1.4757242334880338,-1.074528132021361,-0.4011961014666727,False,False,0.9293004182926472,,0.2476326237497322,0.9823251045731618,0.7346924808234296,RESOLUTIVE_RECOVERY_TILT
Arrival,ARR_A2_STARDUST_CRINGE_120P0,"""Star dust"" cringe / aversive semantic prediction error",TARGET,120.0,0.3319597983248626,0.0085283813414198,0.0,0.6976554890393409,0.2226282843032279,1.273730566903695,-1.0570248307899095,0.3234314169834428,-0.9483878730449402,0.2481926391897169,-1.1965805122346571,False,False,0.8702106169207271,,0.2654395571816164,0.4675526542301818,0.2021130970485654,MIXED_NEUTRAL_TILT
Arrival,ARR_A3_READING_LETTERS_169P0,Mother teaches daughter letters,TARGET,169.0,0.6147478184407765,0.003597272548118,0.0,0.7285091684107432,0.565322690814479,0.6087048610474497,-0.9390927831418352,0.6111505458926585,-0.7971363588093245,1.3431601650267004,-2.140296523836025,False,False,0.8459076369112963,,0.39968014649817885,0.4614769092278241,0.06179676272964524,MIXED_NEUTRAL_TILT
Arrival,ARR_A4_CHILD_LIFE_MONTAGE_251P0,Child-life montage under tragic foreknowledge,TARGET,251.0,0.2039123661516728,0.0012689773928171,0.0,0.3394746033818426,-0.0391760633306738,3.158041843350427,-1.4058767285232228,0.2026433887588557,0.5763909056005889,-0.1781147175361495,0.7545056231367384,True,False,0.8782639954062428,,0.37170196724246873,0.9695659988515607,0.597864031609092,RESOLUTIVE_RECOVERY_TILT
Arrival,ARR_A5_HELD_BY_YOU_FINAL_310P0,Final embrace / held-by-you line,TARGET,310.0,0.0219128203088958,0.0,0.0,-0.3638922464473961,0.1651932819738349,0.6484707561636376,1.0280346822936632,0.0219128203088958,0.8543666614930711,,0.8543666614930711,False,False,0.9761420018700452,,0.28301041873952976,0.4940355004675113,0.21102508172798157,MIXED_NEUTRAL_TILT
Contact,CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,TARGET,28.007354,0.3794463185076908,0.0,0.0684701688976011,1.0766455008756917,0.3320000218425827,0.3727115443282234,,0.3109761496100897,-0.0029669180134244,-0.0022575971177943,-0.5974284945483462,False,False,0.9574428196703026,0.7546392677055477,0.3744960626164556,0.633730995347937,0.25923493273148135,RESOLUTIVE_RECOVERY_TILT
Contact,CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,TARGET,166.007354,1.1910256258335423,0.001089403692509,0.0034024952812412,1.2203329983873918,1.4778652115947817,0.8705699277490583,,1.187623130552301,0.015892371013741,-0.0282437640437299,1.2240112577358109,False,False,0.7855421387683438,0.8176979970139293,0.7959745280170709,0.7888317829219115,-0.007142745095159442,MIXED_NEUTRAL_TILT
Contact,CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,TARGET,161.007354,1.6516544438974314,0.001833415087983,0.0021147714707012,1.2157576325008823,1.9837230606413767,0.9181899010765544,,1.6495396724267302,0.0091759571342147,-0.021474281069052,0.5958931522506984,False,False,0.7212975907678661,0.7111481180886804,0.7786748660444209,0.7152361586031044,-0.06343870744131652,MIXED_NEUTRAL_TILT
Contact,CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,TARGET,263.007354,0.6330884331005462,0.0154369380525997,0.0371132581487411,1.0085491561807818,0.6320698367935255,0.1073131195204357,,0.5959751749518051,-0.0091065486993346,0.0113000262869817,-1.3748568045701512,False,False,0.7329749162012777,0.6950295782740126,0.4737314886117204,0.5713340824125485,0.09760259380082809,MIXED_NEUTRAL_TILT
Contact,CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,TARGET,271.007354,0.6114878048098518,0.0178471277519184,0.000840011854729,1.0190586446232544,0.618226433035111,0.1259875095626602,,0.5936406770579333,0.0024263244317691,-0.0065369512142422,-0.0812422831385341,False,False,0.8300305332000274,0.8304954787491879,0.47579583818743787,0.6536673434198172,0.17787150523237938,MIXED_NEUTRAL_TILT
