seed,heldout_condition,model,heldout_loss,train_loss
910001,doublet_EY,full_reciprocal,0.20940163859289496,1.9361116343068188
910001,doublet_EY,eta_only,15.42170899720719,54.889519976379624
910001,doublet_EY,zeta_only,18.472112006600426,48.57098805989618
910001,doublet_EY,generic_hidden_oscillator,10.24700762334512,67.33320025357207
910001,doublet_EY,null_no_coupling,13.90792893500916,120.8922128310078
910001,doublet_EY,replay_only_basis,7.066156762569886,19.842000356584506
910001,orthogonal_trap,full_reciprocal,0.27395265843508226,1.8715606144646315
910001,orthogonal_trap,eta_only,22.370243913939618,48.286223105463904
910001,orthogonal_trap,zeta_only,10.958896169838305,56.623887769501096
910001,orthogonal_trap,generic_hidden_oscillator,24.92592555931116,48.43800332194443
910001,orthogonal_trap,null_no_coupling,40.59271625254867,94.20742551346828
910001,orthogonal_trap,replay_only_basis,4.573043600993536,22.652932806516517
910001,counterphase,full_reciprocal,0.8442775657068444,1.3012357071928693
910001,counterphase,eta_only,6.373381293277795,63.4635748669624
910001,counterphase,zeta_only,8.165249173783263,58.28722620555516
910001,counterphase,generic_hidden_oscillator,20.54419382533052,52.055270429840476
910001,counterphase,null_no_coupling,22.419917449073473,112.38022431694348
910001,counterphase,replay_only_basis,1.5327225947447114,20.96737210755848
910001,lagged_E_to_Y,full_reciprocal,0.654744599755843,1.5850074992142547
910001,lagged_E_to_Y,eta_only,27.816661140242307,41.5069681766712
910001,lagged_E_to_Y,zeta_only,2.2073610313969176,64.83573903509969
910001,lagged_E_to_Y,generic_hidden_oscillator,13.176530690279245,59.42293356489175
910001,lagged_E_to_Y,null_no_coupling,26.71261048896095,108.087531277056
910001,lagged_E_to_Y,replay_only_basis,12.875523734525926,14.468658334265665
910001,recovery_probe,full_reciprocal,0.1070592951013215,2.0361754954624964
910001,recovery_probe,eta_only,0.8800589684234488,68.44357034849007
910001,recovery_probe,zeta_only,0.8143978384762087,65.33782903641676
910001,recovery_probe,generic_hidden_oscillator,0.50660324097004,72.16526229490866
910001,recovery_probe,null_no_coupling,1.075064430564268,133.72507733545268
910001,recovery_probe,replay_only_basis,0.059215431229433194,20.79627356958028
910001,lagged_Y_to_E,full_reciprocal,0.22069706882419524,1.922537721739623
910001,lagged_Y_to_E,eta_only,6.076757350126554,66.7229977801336
910001,lagged_Y_to_E,zeta_only,31.348131749582564,34.80409512531041
910001,lagged_Y_to_E,generic_hidden_oscillator,12.34104269372003,60.489109343243264
910001,lagged_Y_to_E,null_no_coupling,30.09190420986042,104.70823755615652
910001,lagged_Y_to_E,replay_only_basis,18.80068315671038,15.372189344904289
910002,doublet_EY,full_reciprocal,0.1391020936579729,1.7968389607337554
910002,doublet_EY,eta_only,15.261609477958633,59.493548430410236
910002,doublet_EY,zeta_only,16.216148579946775,52.59224472701143
910002,doublet_EY,generic_hidden_oscillator,18.248155565889537,58.59029631262759
910002,doublet_EY,null_no_coupling,11.79152134896316,126.31536231863404
910002,doublet_EY,replay_only_basis,4.9186213353786625,21.79385189029908
910002,orthogonal_trap,full_reciprocal,0.44074347626275917,1.4773954663933813
910002,orthogonal_trap,eta_only,23.492391920548055,51.33724521620852
910002,orthogonal_trap,zeta_only,14.099205472139491,55.10250208213593
910002,orthogonal_trap,generic_hidden_oscillator,24.067400183987854,45.10463620153966
910002,orthogonal_trap,null_no_coupling,43.485495183029144,94.62138848456809
910002,orthogonal_trap,replay_only_basis,5.911343406386055,23.64245088168332
910002,counterphase,full_reciprocal,0.4844053334436355,1.433733609212505
910002,counterphase,eta_only,4.579426548860481,69.48485149221855
910002,counterphase,zeta_only,9.879517858838945,58.361024890775184
910002,counterphase,generic_hidden_oscillator,16.170114460414705,52.110492523710725
910002,counterphase,null_no_coupling,21.268876530777174,116.83800713682004
910002,counterphase,replay_only_basis,2.904431622035563,20.86159467107519
910002,lagged_E_to_Y,full_reciprocal,0.5081721611048416,1.4099667815512988
910002,lagged_E_to_Y,eta_only,32.24115217933753,41.41810254538643
910002,lagged_E_to_Y,zeta_only,1.1615099036268404,67.08868430396976
910002,lagged_E_to_Y,generic_hidden_oscillator,12.508652878420548,56.06612427515592
910002,lagged_E_to_Y,null_no_coupling,30.821085685446697,107.28579798215054
910002,lagged_E_to_Y,replay_only_basis,13.326573155761215,15.835431759361054
910002,recovery_probe,full_reciprocal,0.1678287858795612,1.7503101567765793
910002,recovery_probe,eta_only,2.0065238794945217,71.65273084522946
910002,recovery_probe,zeta_only,0.8419251239620986,67.21898556451981
910002,recovery_probe,generic_hidden_oscillator,0.8575963193110914,67.4319295578633
910002,recovery_probe,null_no_coupling,1.9610913853883065,136.14579228220893
910002,recovery_probe,replay_only_basis,0.19076504093396976,21.616706418861348
910002,lagged_Y_to_E,full_reciprocal,0.3805372346983119,1.6489304979472421
910002,lagged_Y_to_E,eta_only,6.608038687964668,70.74394890404912
910002,lagged_Y_to_E,zeta_only,29.776487200698448,38.28442348778346
910002,lagged_Y_to_E,generic_hidden_oscillator,11.778088713972075,56.50251827015335
910002,lagged_Y_to_E,null_no_coupling,28.77881353399276,109.32807013360448
910002,lagged_Y_to_E,replay_only_basis,19.27046403606566,15.693752898854282
910003,doublet_EY,full_reciprocal,0.10019521008097718,2.6702614341552433
910003,doublet_EY,eta_only,14.745838523408441,59.05448828834246
910003,doublet_EY,zeta_only,15.905492245161502,48.07503393552294
910003,doublet_EY,generic_hidden_oscillator,18.087597478289716,53.388354539212756
910003,doublet_EY,null_no_coupling,11.873177600294,120.29841035153709
910003,doublet_EY,replay_only_basis,3.66347454198036,22.35437432398271
910003,orthogonal_trap,full_reciprocal,1.1108274500354332,1.889159293108406
910003,orthogonal_trap,eta_only,19.090358015810075,55.231598143460864
910003,orthogonal_trap,zeta_only,10.628868175672878,52.83168774811813
910003,orthogonal_trap,generic_hidden_oscillator,18.540290657811497,44.49422240396539
910003,orthogonal_trap,null_no_coupling,36.26393636566543,95.90765158616566
910003,orthogonal_trap,replay_only_basis,5.829994598374768,21.955139158882538
910003,counterphase,full_reciprocal,0.21601564571352297,2.5544409985226975
910003,counterphase,eta_only,5.886291924909509,67.58087511485743
910003,counterphase,zeta_only,8.161135620503465,55.29942030328754
910003,counterphase,generic_hidden_oscillator,18.67935190922908,44.08074256429509
910003,counterphase,null_no_coupling,21.48475629074837,110.68683166108272
910003,counterphase,replay_only_basis,1.5118742582686648,22.205624831947397
910003,lagged_E_to_Y,full_reciprocal,1.4165945649711498,1.5363525232170154
910003,lagged_E_to_Y,eta_only,34.51770661421027,38.36557706154863
910003,lagged_E_to_Y,zeta_only,2.255020309251152,60.94928810525145
910003,lagged_E_to_Y,generic_hidden_oscillator,12.025671190303427,51.586349522226165
910003,lagged_E_to_Y,null_no_coupling,33.53298290289223,98.63860504893886
910003,lagged_E_to_Y,replay_only_basis,16.627498122471273,13.723923693090951
910003,recovery_probe,full_reciprocal,0.5216110929239393,2.2565592315172207
910003,recovery_probe,eta_only,2.6057872833632794,70.27749639239562
910003,recovery_probe,zeta_only,1.4535420978007465,61.676484851431354
910003,recovery_probe,generic_hidden_oscillator,0.8142505593051075,61.97451438846635
910003,recovery_probe,null_no_coupling,2.5724181064924285,129.59916984533868
910003,recovery_probe,replay_only_basis,0.3015986146396791,21.638917326276953
910003,lagged_Y_to_E,full_reciprocal,0.12483032584391626,2.653339998597244
910003,lagged_Y_to_E,eta_only,5.872711830143266,70.3455846175996
910003,lagged_Y_to_E,zeta_only,27.515497803678908,35.6145291455532
910003,lagged_Y_to_E,generic_hidden_oscillator,9.8381071246956,52.92198734882858
910003,lagged_Y_to_E,null_no_coupling,26.444316685738645,105.72727126609244
910003,lagged_Y_to_E,replay_only_basis,17.78804449516735,15.668545096005339
910004,doublet_EY,full_reciprocal,0.3742942394787941,2.255986151982815
910004,doublet_EY,eta_only,11.12901565081323,54.33942589942983
910004,doublet_EY,zeta_only,19.20705391112776,53.64869148221158
