trial_id,generator,generator_type,fold,model,raw_loss,K_hat_scaled,complexity_weight,selected_penalty,penalized_loss
1,full_reciprocal_positive,positive,0,full_reciprocal,1.042043798352091,0.9571258211052206,1.0,0.04,1.082043798352091
1,full_reciprocal_positive,positive,0,eta_only,1.1562883132011346,0.9571258211052206,0.35,0.04,1.1702883132011346
1,full_reciprocal_positive,positive,0,zeta_only,1.1997580651770368,0.9571258211052206,0.35,0.04,1.2137580651770368
1,full_reciprocal_positive,positive,0,null_no_coupling,1.4175458969451262,0.9571258211052206,0.0,0.04,1.4175458969451262
1,full_reciprocal_positive,positive,0,replay_only_basis,1.4071812212856245,0.9571258211052206,0.25,0.04,1.4171812212856245
1,full_reciprocal_positive,positive,0,standard_ping,1.311131976341091,0.9571258211052206,0.2,0.04,1.319131976341091
1,full_reciprocal_positive,positive,0,sensory_drive_only,1.3569809571153622,0.9571258211052206,0.2,0.04,1.3649809571153622
1,full_reciprocal_positive,positive,0,generic_hidden_oscillator,1.2732749260055396,0.9571258211052206,0.65,0.04,1.2992749260055396
1,full_reciprocal_positive,positive,0,colored_noise_alt,1.3292560506816964,0.9571258211052206,0.5,0.04,1.3492560506816964
1,full_reciprocal_positive,positive,1,full_reciprocal,0.9707351140701932,0.9571258211052206,1.0,0.04,1.0107351140701932
1,full_reciprocal_positive,positive,1,eta_only,1.1172734091565344,0.9571258211052206,0.35,0.04,1.1312734091565344
1,full_reciprocal_positive,positive,1,zeta_only,1.1119253174466015,0.9571258211052206,0.35,0.04,1.1259253174466015
1,full_reciprocal_positive,positive,1,null_no_coupling,1.3313465420676416,0.9571258211052206,0.0,0.04,1.3313465420676416
1,full_reciprocal_positive,positive,1,replay_only_basis,1.166486020817837,0.9571258211052206,0.25,0.04,1.176486020817837
1,full_reciprocal_positive,positive,1,standard_ping,1.2425630663844491,0.9571258211052206,0.2,0.04,1.2505630663844491
1,full_reciprocal_positive,positive,1,sensory_drive_only,1.15593038214906,0.9571258211052206,0.2,0.04,1.16393038214906
1,full_reciprocal_positive,positive,1,generic_hidden_oscillator,1.1240738592338848,0.9571258211052206,0.65,0.04,1.1500738592338848
1,full_reciprocal_positive,positive,1,colored_noise_alt,1.1736415054421707,0.9571258211052206,0.5,0.04,1.1936415054421707
1,full_reciprocal_positive,positive,2,full_reciprocal,0.8821571391509034,0.9571258211052206,1.0,0.04,0.9221571391509035
1,full_reciprocal_positive,positive,2,eta_only,1.0156549674997597,0.9571258211052206,0.35,0.04,1.0296549674997597
1,full_reciprocal_positive,positive,2,zeta_only,1.007473992594868,0.9571258211052206,0.35,0.04,1.021473992594868
1,full_reciprocal_positive,positive,2,null_no_coupling,1.1650489686164318,0.9571258211052206,0.0,0.04,1.1650489686164318
1,full_reciprocal_positive,positive,2,replay_only_basis,1.0258830868493742,0.9571258211052206,0.25,0.04,1.0358830868493742
1,full_reciprocal_positive,positive,2,standard_ping,1.092307679399413,0.9571258211052206,0.2,0.04,1.100307679399413
1,full_reciprocal_positive,positive,2,sensory_drive_only,1.1592659445522557,0.9571258211052206,0.2,0.04,1.1672659445522557
