condition,roi_group,band_hz,log10_power,z_by_band_roi
BASELINE_2_REFLECTION,fp1_ocular,35-40,-0.0010547761366887362,0.20610697930411395
BASELINE_1,fp1_ocular,40-45,0.5067111216564854,2.4178587337528503
CONTROL_1,fp1_ocular,40-45,-0.33402457729512414,-0.6563999604569286
WASHOUT_1,fp1_ocular,40-45,-0.3734562007311449,-0.8005867855508991
TARGET_1,fp1_ocular,40-45,-0.3613917769475397,-0.75647166143564
WASHOUT_2,fp1_ocular,40-45,-0.20047866387190424,-0.1680720758084255
CONTEXTUAL_OVERRIDE_1,fp1_ocular,40-45,-0.14399110671821283,0.03848197430620258
WASHOUT_3,fp1_ocular,40-45,-0.29835386426108057,-0.5259653901034669
BASELINE_2_REFLECTION,fp1_ocular,40-45,-0.03113492961147829,0.45115516529630795
BASELINE_1,fp1_ocular,45-50,0.4200861869747336,2.4266749488194033
CONTROL_1,fp1_ocular,45-50,-0.3958525191404403,-0.7040501883394834
WASHOUT_1,fp1_ocular,45-50,-0.43949855693708056,-0.8715183408406844
TARGET_1,fp1_ocular,45-50,-0.39274030298960083,-0.6921087357981578
WASHOUT_2,fp1_ocular,45-50,-0.2613053402250438,-0.18779788653387808
CONTEXTUAL_OVERRIDE_1,fp1_ocular,45-50,-0.1627823574633257,0.19023097324231633
WASHOUT_3,fp1_ocular,45-50,-0.3330692653520338,-0.46315328106585657
BASELINE_2_REFLECTION,fp1_ocular,45-50,-0.13372510820614117,0.3017225105163405
BASELINE_1,fp1_ocular,50-55,0.45149075028943014,2.460305516800857
CONTROL_1,fp1_ocular,50-55,-0.45859335533640444,-0.8216442669715924
WASHOUT_1,fp1_ocular,50-55,-0.42406769418324797,-0.6971376576859789
TARGET_1,fp1_ocular,50-55,-0.39490902146999785,-0.5919855085441862
WASHOUT_2,fp1_ocular,50-55,-0.3018159089945115,-0.2562726678617021
CONTEXTUAL_OVERRIDE_1,fp1_ocular,50-55,-0.2221706883885819,0.03094431893139145
WASHOUT_3,fp1_ocular,50-55,-0.36578525057107314,-0.4869592224971013
BASELINE_2_REFLECTION,fp1_ocular,50-55,-0.13016117262125598,0.3627494878283122
BASELINE_1,meaning_posterior_temporal_parietal,25-30,0.6016565583111082,2.1060188792242216
CONTROL_1,meaning_posterior_temporal_parietal,25-30,-0.0950437619369758,-0.9909060930234361
WASHOUT_1,meaning_posterior_temporal_parietal,25-30,-0.1648443338103437,-1.3011788571221046
TARGET_1,meaning_posterior_temporal_parietal,25-30,0.06811738651066776,-0.2656332311591185
WASHOUT_2,meaning_posterior_temporal_parietal,25-30,0.1756646961503644,0.21242876944772515
CONTEXTUAL_OVERRIDE_1,meaning_posterior_temporal_parietal,25-30,0.17394700698168677,0.20479341415013777
WASHOUT_3,meaning_posterior_temporal_parietal,25-30,-0.004299249648410566,-0.5875347466448064
BASELINE_2_REFLECTION,meaning_posterior_temporal_parietal,25-30,0.26780663581160025,0.6220118651273815
BASELINE_1,meaning_posterior_temporal_parietal,30-35,0.5631984316883389,2.085782425594577
CONTROL_1,meaning_posterior_temporal_parietal,30-35,-0.1687274884668485,-0.9775514189469476
WASHOUT_1,meaning_posterior_temporal_parietal,30-35,-0.2487510052646,-1.3124743129384784
TARGET_1,meaning_posterior_temporal_parietal,30-35,0.004605037637623468,-0.252101781279893
WASHOUT_2,meaning_posterior_temporal_parietal,30-35,0.1103939152342143,0.19065702831245848
CONTEXTUAL_OVERRIDE_1,meaning_posterior_temporal_parietal,30-35,0.09693799910096787,0.13433990363466816
WASHOUT_3,meaning_posterior_temporal_parietal,30-35,-0.07474951845320318,-0.5842248701029487
BASELINE_2_REFLECTION,meaning_posterior_temporal_parietal,30-35,0.23581270532008522,0.7155730257265643
BASELINE_1,meaning_posterior_temporal_parietal,35-40,0.48828594637298667,2.0462909464830763
CONTROL_1,meaning_posterior_temporal_parietal,35-40,-0.23933188892445684,-0.9492150761418497
WASHOUT_1,meaning_posterior_temporal_parietal,35-40,-0.3550793800319017,-1.4257321293203762
TARGET_1,meaning_posterior_temporal_parietal,35-40,-0.042103154721705824,-0.13725056334576377
WASHOUT_2,meaning_posterior_temporal_parietal,35-40,0.02647174750231509,0.1450632044702735
CONTEXTUAL_OVERRIDE_1,meaning_posterior_temporal_parietal,35-40,0.006275391338822291,0.06191748760079958
WASHOUT_3,meaning_posterior_temporal_parietal,35-40,-0.1311095877116859,-0.5036782306456667
BASELINE_2_REFLECTION,meaning_posterior_temporal_parietal,35-40,0.1764744368824462,0.762604360899507
BASELINE_1,meaning_posterior_temporal_parietal,40-45,0.4504359060317894,2.059090623548934
CONTROL_1,meaning_posterior_temporal_parietal,40-45,-0.2728712964679842,-0.8662284006992622
WASHOUT_1,meaning_posterior_temporal_parietal,40-45,-0.4169381866162288,-1.4488876263483623
TARGET_1,meaning_posterior_temporal_parietal,40-45,-0.10023950121263683,-0.16804224534883866
WASHOUT_2,meaning_posterior_temporal_parietal,40-45,-0.022266432878374032,0.1473093775700483
CONTEXTUAL_OVERRIDE_1,meaning_posterior_temporal_parietal,40-45,-0.0895924569852974,-0.12498170216247693
WASHOUT_3,meaning_posterior_temporal_parietal,40-45,-0.16186979842598528,-0.41729772114832825
BASELINE_2_REFLECTION,meaning_posterior_temporal_parietal,40-45,0.14382346220485007,0.8190376945882859
BASELINE_1,meaning_posterior_temporal_parietal,45-50,0.3749388523476683,1.9949613417951513
CONTROL_1,meaning_posterior_temporal_parietal,45-50,-0.34502338678607364,-0.921307461642665
WASHOUT_1,meaning_posterior_temporal_parietal,45-50,-0.4759576493369077,-1.451667922821244
TARGET_1,meaning_posterior_temporal_parietal,45-50,-0.15402799452017318,-0.14766424288776406
WASHOUT_2,meaning_posterior_temporal_parietal,45-50,-0.03698997162733727,0.3264083076241732
CONTEXTUAL_OVERRIDE_1,meaning_posterior_temporal_parietal,45-50,-0.13235242662077906,-0.059865495917565174
WASHOUT_3,meaning_posterior_temporal_parietal,45-50,-0.2510559387619731,-0.5406842534851554
BASELINE_2_REFLECTION,meaning_posterior_temporal_parietal,45-50,0.07988483269959808,0.7998197273350696
BASELINE_1,meaning_posterior_temporal_parietal,50-55,0.2653931703221966,1.8264627225704533
CONTROL_1,meaning_posterior_temporal_parietal,50-55,-0.3887723128983929,-0.9714870773373891
WASHOUT_1,meaning_posterior_temporal_parietal,50-55,-0.5174314052233913,-1.5217785415931777
TARGET_1,meaning_posterior_temporal_parietal,50-55,-0.17346187897714582,-0.050576694627880094
WASHOUT_2,meaning_posterior_temporal_parietal,50-55,-0.09027243843810684,0.3052352283196978
CONTEXTUAL_OVERRIDE_1,meaning_posterior_temporal_parietal,50-55,-0.18205231250278703,-0.08731908226633708
WASHOUT_3,meaning_posterior_temporal_parietal,50-55,-0.2825580899803541,-0.5171952025998134
BASELINE_2_REFLECTION,meaning_posterior_temporal_parietal,50-55,0.07605958253681865,1.0166586475344461
BASELINE_1,task_frontal,25-30,0.6221111043844929,2.4023339583686485
CONTROL_1,task_frontal,25-30,-0.200430853833502,-0.5805632412567382
