metric,baseline1,baseline2,delta_b2_minus_b1
meaninggamma_z,0.8554916635977943,0.8431622746494166,-0.012329388948377651
tsp_z,-0.21791825513704335,0.2837015207103625,0.5016197758474058
theta_integration_z,0.4539869634267298,0.33562398570355817,-0.11836297772317161
taskgamma_z,1.275197780678267,0.6352237274548385,-0.6399740532234286
nast_nas_z,-0.49576290184881955,-0.2026338631044849,0.29312903874433466
artifact_score,2.0319795503608162,0.5513490213783123,-1.480630528982504
NIP_density,0.12725063654207167,0.23816819798201844,0.11091756143994677
alpha_posterior_z,0.3027454739905318,1.0074702607429304,0.7047247867523987
hr_mean_bpm,75.07392533337678,71.87846162656567,-3.195463706811111
rmssd_ms,61.16655581071817,72.85756735780181,11.69101154708364
sdnn_ms,80.99989846389892,112.37352330439063,31.373624840491715
pnn50,0.21476510067114093,0.34507042253521125,0.13030532186407032
resp_mean,10.93050310452779,7.226615746815999,-3.7038873577117917
resp_std,2.975069682560091,2.234228346371706,-0.7408413361883852
resp_ptp,22.335811614990234,13.860870361328125,-8.47494125366211
