anchor_id,prior_seen_scene_0_9,line_familiarity_0_9,personal_father_schema_resonance_0_9,current_parenthood_resonance_0_9,novelty_today_0_9,new_meaning_today_0_9,familiarity_notes
FOD_A1_FATHER_RECOGNITION_APPROACH,,,,,,,
FOD_A2_DAD_WANT_TO_HAVE_A_CATCH_REQUEST,,,,,,,
FOD_A3_FATHER_ACCEPTANCE_RESPONSE,,,,,,,
FOD_A4_FIRST_THROW_FIRST_CATCH_EMBODIED_REPAIR,,,,,,,
FOD_A5_SUSTAINED_CATCH_AFTERGLOW_CONTINUITY,,,,,,,
FOD_A6_TERMINAL_RELEASE_AND_WASHOUT_ECHO,,,,,,,
