run,phase,start,end,time,phase_time,alpha_proxy_z,theta_primary_z,theta_task_z,meaning_gamma_z,tsp_z,task_gamma_z,visual_gamma_z,artifact_z,api_a_z,resp_z,valid,row_id,MR_score,ENC_score,NIP_attention_semantic,NIP_resonance_integration,artifact_penalty,NIP_density,MR_high,ENC_high,MRED_quadrant
Arrival_Run1,BASELINE_1,343589.1347761,343591.1347761,343590.1347761,1.0,0.7444521986102242,2.6342076163499497,4.546169994278595,-2.155789626095437,-0.1046073765064596,3.426247297067981,6.107785646023867,0.9923682894598684,0.0,0.0,True,0,-1.6086609861154888,1.8362060860419023,0.0,1.8362060860419023,0.8199813704937532,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,BASELINE_1,343590.1347761,343592.1347761,343591.1347761,2.0,1.506871259164199,2.456471165426876,3.782077497622573,-0.3554934597103639,0.3939042743909421,0.260113462744729,2.3861719267005053,1.081369662960402,0.0,0.0,True,1,-0.37541283590588714,1.8378766889606617,0.0,1.8378766889606617,0.8055146149417585,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,BASELINE_1,343591.1347761,343593.1347761,343592.1347761,3.0,0.372346715809717,3.5505630298139463,4.048253369514408,0.1126820264483069,0.4984917722394005,0.229294006054799,2.600032796823374,1.168441582561153,0.0,0.0,True,2,-0.19133905773957005,2.5456743277555676,0.0,2.5456743277555676,0.7916085087494972,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,BASELINE_1,343592.1347761,343594.1347761,343593.1347761,4.0,0.3962801361946606,0.0717474209326618,0.9843745202990762,-0.6358536395093675,1.1011155933114385,1.0562923247189069,2.0282992302107923,0.2290780266653497,0.0,0.0,True,3,-0.05810130430944124,0.09514233431330418,0.0,0.09514233431330418,0.9552180830726137,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,BASELINE_1,343593.1347761,343595.1347761,343594.1347761,5.0,0.425889124418024,2.1539042606979075,3.439586012297041,-0.924285862273943,0.3319759109847437,1.2803254478745694,2.54036786704135,0.01147472583571,0.0,0.0,True,4,-0.48072102981103015,1.731626721335024,0.0,1.731626721335024,0.9977076862061807,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,BASELINE_1,343594.1347761,343596.1347761,343595.1347761,6.0,0.1315609970873239,-0.00057521217618,1.0741094660892203,-1.366005918454004,0.544762981638107,2.510910307162642,3.7076786423428616,2.0983533642870973,0.0,0.0,True,5,-0.9766096512245207,-0.41006603410457504,0.0,0.0,0.6572632388011352,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,BASELINE_1,343595.1347761,343597.1347761,343596.1347761,7.0,-0.1460412754035659,-1.1658362173313443,0.3693727402469349,-0.6194300979371921,0.8252696015036858,0.6305012562432195,2.452764231080296,1.6307710361772847,0.0,0.0,True,6,-0.39536535681758184,-0.9864040934088882,0.0,0.0,0.7216938884309996,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,BASELINE_1,343596.1347761,343598.1347761,343597.1347761,8.0,-0.4073915547116429,0.147088257554935,-0.1126786651065442,-0.8882181299558479,0.4586967746426243,0.4795017013171843,2.240269426868688,2.3878479474266894,0.0,0.0,True,7,-0.7215437703456303,-0.5524395003448097,0.0,0.0,0.6202891184936908,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,BASELINE_1,343597.1347761,343599.1347761,343598.1347761,9.0,0.5856031596507274,-1.078651264517157,-0.5664609827830531,-0.2232406102361441,0.6493841924118546,0.4857922813988767,1.2446418580264946,1.0031715313392666,0.0,0.0,True,8,-0.10297363896337679,-0.9406707898443221,0.0,0.0,0.8182115917006848,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,BASELINE_1,343598.1347761,343600.1347761,343599.1347761,10.0,-0.3266581277213521,0.1290831669211351,-0.335995842758091,0.0291102813386365,0.7599536190980053,0.6764107992383451,2.211287151598825,0.966018919022312,0.0,0.0,True,9,-0.05652708165708231,-0.18504066834866081,0.0,0.0,0.8243139751840219,0.0,False,False,MR_LOW_ENC_LOW
