run,phase,phase_time,NIP_density,cue_on,cue_value,cue_onset_impulse,cue_phase_sin,cue_phase_cos
Arrival_Run1,BASELINE_1,50.0,0.0,0.0,0.0,0.0,-0.8660254037844414,-0.49999999999999534
Arrival_Run1,BASELINE_1,51.0,0.0,0.0,0.0,0.0,-1.1269226474702003e-14,1.0
Arrival_Run1,BASELINE_1,52.0,0.08728812992504381,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004
Arrival_Run1,BASELINE_1,53.0,0.0,0.0,0.0,0.0,-0.8660254037844377,-0.5000000000000017
Arrival_Run1,BASELINE_1,54.0,0.0,0.0,0.0,0.0,-4.408728476930472e-15,1.0
Arrival_Run1,BASELINE_1,55.0,0.02177704639946502,0.0,0.0,0.0,0.8660254037844349,-0.5000000000000063
Arrival_Run1,BASELINE_1,56.0,0.0,0.0,0.0,0.0,-0.866025403784434,-0.5000000000000081
Arrival_Run1,BASELINE_1,57.0,0.0,0.0,0.0,0.0,-1.1759085194360944e-14,1.0
Arrival_Run1,BASELINE_1,58.0,0.0,0.0,0.0,0.0,0.8660254037844386,-0.5
Arrival_Run1,BASELINE_1,59.0,0.0,0.0,0.0,0.0,-0.8660254037844374,-0.5000000000000021
Arrival_Run1,BASELINE_1,60.0,0.0,0.0,0.0,0.0,-1.9109441911791416e-14,1.0
Arrival_Run1,BASELINE_1,61.0,0.0,0.0,0.0,0.0,0.8660254037844424,-0.4999999999999936
Arrival_Run1,BASELINE_1,62.0,0.0,0.0,0.0,0.0,-0.8660254037844337,-0.5000000000000084
Arrival_Run1,BASELINE_1,63.0,0.0,0.0,0.0,0.0,1.9619108011821185e-15,1.0
Arrival_Run1,BASELINE_1,64.0,0.0,0.0,0.0,0.0,0.866025403784446,-0.4999999999999873
Arrival_Run1,BASELINE_1,65.0,0.0,0.0,0.0,0.0,-0.8660254037844372,-0.5000000000000026
Arrival_Run1,BASELINE_1,66.0,0.0,0.0,0.0,0.0,8.82240879895365e-15,1.0
Arrival_Run1,BASELINE_1,67.0,0.0,0.0,0.0,0.0,0.8660254037844426,-0.4999999999999932
Arrival_Run1,BASELINE_1,68.0,0.0,0.0,0.0,0.0,-0.8660254037844406,-0.4999999999999966
Arrival_Run1,BASELINE_1,69.0,0.0,0.0,0.0,0.0,-1.2738802633678827e-14,1.0
Arrival_Run1,BASELINE_1,70.0,0.0,0.0,0.0,0.0,0.8660254037844392,-0.49999999999999917
Arrival_Run1,BASELINE_1,71.0,0.0,0.0,0.0,0.0,-0.866025403784444,-0.4999999999999907
Arrival_Run1,BASELINE_1,72.0,0.0,0.0,0.0,0.0,-5.878304635907295e-15,1.0
Arrival_Run1,BASELINE_1,73.0,0.0,0.0,0.0,0.0,0.8660254037844499,-0.49999999999998046
Arrival_Run1,BASELINE_1,74.0,0.0,0.0,0.0,0.0,-0.8660254037844333,-0.5000000000000093
