model,wins,total_folds,win_rate
sensory_drive_only,360,2460,0.14634146341463414
zeta_only,327,2460,0.1329268292682927
standard_ping,318,2460,0.12926829268292683
full_reciprocal,312,2460,0.12682926829268293
eta_only,311,2460,0.1264227642276423
colored_noise_alt,264,2460,0.1073170731707317
null_no_coupling,257,2460,0.10447154471544716
generic_hidden_oscillator,172,2460,0.06991869918699187
replay_only_basis,139,2460,0.056504065040650406
