trial_id,generator,generator_type,fold,model,raw_loss,K_hat_scaled,complexity_weight,selected_penalty,penalized_loss
1,full_reciprocal_positive,positive,0,full_reciprocal,1.12420762841361,1.0284731297143592,1.0,0.04,1.16420762841361
1,full_reciprocal_positive,positive,0,eta_only,1.1132008032964102,1.0284731297143592,0.35,0.04,1.1272008032964103
1,full_reciprocal_positive,positive,0,zeta_only,1.2040537285230806,1.0284731297143592,0.35,0.04,1.2180537285230806
1,full_reciprocal_positive,positive,0,null_no_coupling,1.3615396317091166,1.0284731297143592,0.0,0.04,1.3615396317091166
1,full_reciprocal_positive,positive,0,replay_only_basis,1.4155777658659607,1.0284731297143592,0.25,0.04,1.4255777658659607
1,full_reciprocal_positive,positive,0,standard_ping,1.3589147630803668,1.0284731297143592,0.2,0.04,1.3669147630803669
1,full_reciprocal_positive,positive,0,sensory_drive_only,1.321147691172934,1.0284731297143592,0.2,0.04,1.329147691172934
1,full_reciprocal_positive,positive,0,generic_hidden_oscillator,1.2136862821440944,1.0284731297143592,0.65,0.04,1.2396862821440944
1,full_reciprocal_positive,positive,0,colored_noise_alt,1.2493326294239326,1.0284731297143592,0.5,0.04,1.2693326294239327
1,full_reciprocal_positive,positive,1,full_reciprocal,0.9834960077610198,1.0284731297143592,1.0,0.04,1.0234960077610198
1,full_reciprocal_positive,positive,1,eta_only,1.0430417843477824,1.0284731297143592,0.35,0.04,1.0570417843477824
1,full_reciprocal_positive,positive,1,zeta_only,1.0121385162586245,1.0284731297143592,0.35,0.04,1.0261385162586245
1,full_reciprocal_positive,positive,1,null_no_coupling,1.1516850564119074,1.0284731297143592,0.0,0.04,1.1516850564119074
1,full_reciprocal_positive,positive,1,replay_only_basis,1.1280103748567412,1.0284731297143592,0.25,0.04,1.1380103748567412
1,full_reciprocal_positive,positive,1,standard_ping,1.1306335070086715,1.0284731297143592,0.2,0.04,1.1386335070086715
1,full_reciprocal_positive,positive,1,sensory_drive_only,1.1279677971227202,1.0284731297143592,0.2,0.04,1.1359677971227202
