trial_id,generator,generator_type,K_true_scaled,K_hat_scaled,K_abs_error_scaled,full_fold_win_rate,dominant_model,full_predictive_win,K_threshold,K_significant_raw,K_interpreted_given_full_win,final_full_plus_K_lock,K_within_15_positive,K_within_10_positive
1,full_reciprocal_positive,positive,1.0,1.0284731297143592,0.028473129714359224,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
2,full_reciprocal_positive,positive,1.0,0.9623102443963666,0.03768975560363341,0.6666666666666666,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
3,full_reciprocal_positive,positive,1.0,0.9801666532340694,0.019833346765930626,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
4,full_reciprocal_positive,positive,1.0,1.0185704914870428,0.018570491487042817,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
5,full_reciprocal_positive,positive,1.0,1.0532661644170453,0.05326616441704535,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
6,full_reciprocal_positive,positive,1.0,1.0376952676033815,0.03769526760338149,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
7,full_reciprocal_positive,positive,1.0,1.0048209614424208,0.004820961442420835,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
8,full_reciprocal_positive,positive,1.0,0.950150653358387,0.049849346641613,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
9,full_reciprocal_positive,positive,1.0,0.9740289759472087,0.02597102405279128,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
10,full_reciprocal_positive,positive,1.0,1.041370755567555,0.041370755567555095,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
11,full_reciprocal_positive,positive,1.0,0.9844633099068331,0.015536690093166938,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
12,full_reciprocal_positive,positive,1.0,1.0446553268623946,0.044655326862394595,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
13,full_reciprocal_positive,positive,1.0,1.071643325163598,0.07164332516359795,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
14,full_reciprocal_positive,positive,1.0,0.9816392584043945,0.018360741595605523,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
15,full_reciprocal_positive,positive,1.0,1.0291439645523073,0.029143964552307278,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
16,full_reciprocal_positive,positive,1.0,1.0112962825951062,0.011296282595106177,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
17,full_reciprocal_positive,positive,1.0,0.9673784459594814,0.032621554040518586,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
18,full_reciprocal_positive,positive,1.0,0.9924227176118195,0.007577282388180451,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
19,full_reciprocal_positive,positive,1.0,1.0826400352353325,0.08264003523533248,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
20,full_reciprocal_positive,positive,1.0,0.9514596528391537,0.04854034716084632,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
21,full_reciprocal_positive,positive,1.0,0.8742230459110651,0.12577695408893486,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,0.0
22,full_reciprocal_positive,positive,1.0,0.9496697870117169,0.05033021298828311,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
23,full_reciprocal_positive,positive,1.0,1.0686049801881812,0.06860498018818117,0.6666666666666666,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
24,full_reciprocal_positive,positive,1.0,0.9430598473956998,0.05694015260430019,0.6666666666666666,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
25,full_reciprocal_positive,positive,1.0,1.0372440028748915,0.03724400287489149,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
26,full_reciprocal_positive,positive,1.0,0.9975093892984996,0.002490610701500362,0.5,full_reciprocal,False,0.21364432081692378,True,False,False,1.0,1.0
27,full_reciprocal_positive,positive,1.0,1.0647073193923446,0.06470731939234464,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
28,full_reciprocal_positive,positive,1.0,0.9308556261483358,0.06914437385166416,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
29,full_reciprocal_positive,positive,1.0,0.9812464173192313,0.018753582680768655,1.0,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
30,full_reciprocal_positive,positive,1.0,1.0396127299686104,0.03961272996861043,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
31,full_reciprocal_positive,positive,1.0,0.9995216950837426,0.00047830491625744376,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
32,full_reciprocal_positive,positive,1.0,0.9764188309251861,0.02358116907481389,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
33,full_reciprocal_positive,positive,1.0,0.9141590493603011,0.08584095063969888,0.6666666666666666,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
34,full_reciprocal_positive,positive,1.0,1.078552487398391,0.07855248739839094,0.8333333333333334,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
35,full_reciprocal_positive,positive,1.0,0.9546344664217292,0.04536553357827078,0.6666666666666666,full_reciprocal,True,0.21364432081692378,True,True,True,1.0,1.0
