time_lsl,condition,time_sec,theta_front,theta_midline,theta_parietal,theta_global,alpha_posterior,gamma_pt_30_45,gamma_front_35_40,gamma_visual_30_45,gamma_global_30_45,hf_jaw_45_55,p2p_global,theta_front_z,theta_midline_z,theta_parietal_z,theta_global_z,alpha_posterior_z,gamma_pt_30_45_z,gamma_front_35_40_z,gamma_visual_30_45_z,gamma_global_30_45_z,hf_jaw_45_55_z,p2p_global_z,artifact_score,meaninggamma_score,tsp_z,taskgamma_score,theta_integration_z,alpha_drop_proxy_z,nas_score,artifact_z,visual_drive_z,theta_future_10_30_z,A_sem_raw,A_sem,R_int_raw,R_int,artifact_penalty,visual_penalty,NIP_density,NIP_density_z,NIP_density_clip,condition_norm,condition_stim,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor,condition_norm_stim,stimulus_condition
1386.2144613,CONTROL_1,0.7165148000001409,3.477805566394976,2.869334499774129,2.294794500537672,2.732208981451438,2.321689428582423,1.0001393473404223,0.7263938631903554,0.8028921009866001,0.8116912598748395,1.1327766116038778,5542.89609375,1.0519329623310842,0.0402681188326688,-0.4301514862988521,0.4015812982066238,-0.2681386867002055,0.1746649378114671,0.1174822733926558,0.6324756214541566,0.3372798524285876,0.7831892003179428,2.1465538804122346,1.4648715403650887,-0.4129194147887598,-0.5077907580068833,-0.2924018461514831,-0.1949416837330916,0.2681386867002055,-0.447477438176986,2.325894115730026,0.6324756214541566,0.1148942015149178,-0.3845603889289718,0.0,-0.2684581762990614,0.0,0.7054748778249477,0.96887102113672,0.0,0.0,0.0,control,control,-0.6591335505694236,19.66128830894153,8.152468791527673,16.12066312843441,1.0,1.0,-1.2343661602939189,0.0440064936540114,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,control,control
1387.2144613,CONTROL_1,1.716514800000141,3.1359373375537483,3.2306875495308,3.3144109389713265,3.034503981059149,1.6420576776927451,1.153637334981411,0.918752868147367,0.9063688655317026,0.8982461720821852,1.1670756165838765,5487.55107421875,0.5960328882252838,0.543485277530643,1.0623648344651002,0.8892800215872358,-0.9436966528041332,0.7882248306387968,1.7265300112263695,1.4594667454758274,1.1861472247056577,0.9591567119657496,2.108208237556487,1.5336824747611182,-0.1060091489680223,-0.3249291607893965,1.146053184876391,0.8029250559978716,0.9436966528041332,-0.5065193880731993,2.466834314939687,1.4594667454758274,1.1207585175922157,-0.4036066587774324,0.0,0.575090826273172,0.575090826273172,0.6907169607931103,0.929625616048637,0.0,0.0,0.0,control,control,-0.1676881834131272,-0.1009089613218485,0.0149274325247624,0.2426489448625608,0.0,0.0,-0.7050671059817221,0.4682220341283781,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.0,control,control
1388.2144613,CONTROL_1,2.716514800000141,2.018082432597157,2.866016586063961,3.5247049144134954,2.7257316554107294,1.6333054129909557,1.2969527053890215,0.8848589656582917,0.874918495290196,0.923489689043046,1.2577296628576091,5468.75556640625,-0.8946880709485152,0.0356476206490771,1.370193522464616,0.3911312952456985,-0.9523964555031744,1.3610829160064368,1.4430137436173176,1.2081139209914034,1.4337172050005378,1.4242479574084748,2.095185822242972,1.7597168898257234,0.4983138212030148,0.3170967330543043,0.6628137921592776,0.7029205715568466,0.9523964555031744,-0.1157459532808584,2.929803402150381,1.2081139209914034,1.5423015794685209,-0.1561910185259877,0.0,0.7807247096167766,0.7807247096167766,0.6443775220167445,0.941382540925044,0.0,0.0,0.0,control,control,0.3647527946075152,0.0735772968292943,0.0811353956142605,0.7404608281791235,0.0,0.0,-0.7917675347326245,-0.1080630211021544,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.0,control,control
1389.2144613,CONTROL_1,3.716514800000141,1.74456483147087,2.1013979975014143,2.1998049420709447,1.938896155247441,1.8772836827943464,1.2713567167686244,0.8675650775752894,0.8138202545597253,0.8633730131276784,1.2057760559333717,5464.87587890625,-1.2594388260724358,-1.0291536696214698,-0.5691973676417877,-0.8782865563170431,-0.709880617321434,1.2587710077130752,1.298353546895449,0.7198139340371813,0.844136747775148,1.1577053292209367,2.092497791548848,1.6251015603848924,0.6005607407038387,0.4925886505982614,0.5773854048709572,-0.7991755186316287,0.709880617321434,-0.0262272534329328,2.6540810694340324,0.7198139340371813,1.7420261634999368,0.0045945470543835,0.0045945470543835,0.821306154034851,0.821306154034851,0.6715866979947593,0.9646492678611176,0.0024446647208219,0.0052653942064862,0.0024446647208219,control,control,0.8035997840820805,0.4814668536742704,0.5208194683133057,0.4475251023362211,0.0,0.0,-0.8270861342728523,-0.0065433464062793,0.0,0.0,0.0,1.0,1.1943401194869637e-15,0.0,control,control
1390.2144613,CONTROL_1,4.716514800000141,1.920420184553652,1.889544997296709,1.735423082723072,1.810755796987573,1.926972634263889,1.2538043311945584,0.9686720871016592,0.8028021238621753,0.8882358641160463,1.1866124426380766,5489.2130859375,-1.0249260467653651,-1.3241783411897354,-1.2489603432251886,-1.0850180246442411,-0.6604895066962181,1.1886108709113068,2.1440951070261747,0.6317565200830281,1.087973434192825,1.0593883853993782,2.109359757753409,1.5843740715763936,0.5714025709881486,0.4766390929756944,1.4508488714042498,-1.286569342207462,0.6604895066962181,-0.2100629726046053,2.5706620541806906,0.6317565200830281,1.928335653032248,0.0044779178547107,0.0044779178547107,0.96423564899547,0.96423564899547,0.6800429587826157,0.9689058575869768,0.0028449670181867,0.0061275776296097,0.0028449670181867,control,control,1.0801220052672316,0.0731748197070846,0.1720877299293017,1.866557688601023,0.0,0.0,-0.7898429352502424,0.1351147217711365,1.0,0.0,8.0,-0.4999999999999991,-0.8660254037844392,0.0,control,control
1391.2144613,CONTROL_1,5.716514800000141,1.927268335934192,1.878801430806348,1.936244647905102,1.9473640661443847,1.6533540288238122,1.2643521766133916,0.8698791721355411,0.8722183176457247,0.915461891294602,1.1376186217094366,5585.6498046875,-1.015793660487592,-1.3391397397643516,-0.954997385884103,-0.86462510197774,-0.9324680131996568,1.2307725630885038,1.317710522765325,1.186533975434773,1.3549864269764202,0.8080306343521251,2.1761756701279578,1.4921031522400414,0.4424598836263229,0.2644797873111069,0.6369915939331887,-1.1470685628242272,0.9324680131996568,-0.0879970250838688,2.3816705535322926,1.186533975434773,1.9967742283782297,-0.1123355732739677,0.0,1.0404913768349169,1.0404913768349169,0.6995971685900988,0.9423988383165588,0.0,0.0,0.0,control,control,1.3258014712043502,0.527255789010583,0.5786592997313651,0.9317935623164756,0.0,0.0,-0.62358437792654,0.0817029204595184,0.0,0.0,0.0,-0.5000000000000014,0.8660254037844378,0.0,control,control
1392.2144613,CONTROL_1,6.716514800000141,3.377759450688201,2.786185904788475,1.996627149434484,2.481467416467538,1.621926236807521,1.281295917688446,0.8885817058377213,0.9563222828748916,0.9794906234376544,1.1468731111137664,5566.604882812499,0.918515967954871,-0.0755239015932976,-0.8666093748398691,-0.0029452116588907,-0.9637074236978715,1.298499835073458,1.4741537813067025,1.8586967845959748,1.9829334749071377,0.8555098388655084,2.1629804489749134,1.5092451439202108,0.2706446744848142,-0.008159843204582,0.7722175365582853,-0.4710666382165833,0.9637074236978715,-0.2874287796258773,2.416781190285873,1.8586967845959748,2.093276093280599,-0.3462790430700322,0.0,1.1027760867535383,1.1027760867535383,0.6959223586438775,0.9112528763008944,0.0,0.0,0.0,control,control,1.4071725559741566,0.4557063252157367,0.2318638157785626,-0.4619159654499974,0.0,0.0,-0.8036080849710525,0.0767414156284571,0.0,0.0,0.0,1.0,2.3274478990165602e-15,0.0,control,control
1393.2144613,CONTROL_1,7.716514800000141,3.4483922977372115,2.9463841434345825,2.0816862967983245,2.4749031251146354,2.072642858375724,1.3013090185497282,0.9389929909732472,0.8590447080927093,0.9334113641503312,1.061355293021439,5551.043359374999,1.0127087518619788,0.1475667919381359,-0.7420996465877198,-0.0135355175417651,-0.5156924453551736,1.3784959067373446,1.895834920314132,1.0812498740274252,1.5310217491578049,0.4167694829854466,2.1521986907412063,1.2844840868633265,0.6789374291119141,0.5167499480078004,1.2300899219139638,-0.2972664273247919,0.5156924453551736,-0.1574102112717199,1.956420225357613,1.0812498740274252,2.166282035986065,0.072631430108243,0.072631430108243,1.2229343913866038,1.2229343913866038,0.7456767871891579,0.9473728998127068,0.0627479201142518,0.135148403879102,0.0627479201142518,control,control,1.4990538398445026,-0.3840464231449191,-0.3872557239667791,1.058188755393192,0.0,0.0,-0.752509821254712,-0.021253955713377,1.0,0.0,9.0,-0.4999999999999989,-0.8660254037844393,0.0,control,control
1394.2144613,CONTROL_1,8.716514800000141,2.360297294253758,2.19621905782206,1.8192906940495792,1.888921316866066,2.1130594895340904,1.2888341147625089,0.8992643708336528,0.8135438532807705,0.8719199662313877,1.172367002328055,5510.51162109375,-0.4383257429305806,-0.8971066740546272,-1.1261947875024962,-0.958911988134895,-0.4755180757699144,1.328631405265055,1.5635123114653524,0.7176049221361162,0.92795902241094,0.9863036214202584,2.12411638860058,1.5552100050104192,0.6886671812648095,0.5810264429443921,0.8425519588964838,-1.0116507307785616,0.4755180757699144,-0.0912340562117175,2.510927516528352,0.7176049221361162,2.3459176406926283,0.0529687617031209,0.0529687617031209,1.265503221005587,1.265503221005587,0.6861636468270751,0.9647558198310264,0.0443739599873379,0.0955740023759249,0.0443739599873379,control,control,1.6373677999909937,-0.05038600357396,0.0150930784887884,-1.1141961316665474,0.0,0.0,-0.6891655100281505,0.0723708640418165,0.0,0.0,0.0,-0.5000000000000032,0.8660254037844368,0.0,control,control
1395.2144613,CONTROL_1,9.71651480000014,2.655834164721893,2.4095611174727187,1.9075384984465915,2.0269238898218247,1.8130074883599805,1.2528782742084204,0.8957381580429417,0.8684085869875657,0.8867599830348005,1.3424378987364576,5478.9849609375,-0.0442110818399358,-0.6000083510697477,-0.997017497524255,-0.7362696065503389,-0.7737715334302511,1.184909249581288,1.534016189278184,1.1560864304901548,1.073499070308898,1.85883483514352,2.102273229793788,1.980554032468654,0.2851404907925703,0.1117275262190471,0.7426503687656985,-0.7985129242970013,0.7737715334302511,-0.3289010590139063,3.3821273118629485,1.1560864304901548,2.554850623890445,-0.391079932469657,0.0,1.2810763399438692,1.2810763399438692,0.602107609226695,0.943834617487299,0.0,0.0,0.0,control,control,1.599898775428334,-0.0976226893795387,-0.271957057365699,1.503138755021919,0.0,0.0,-0.7907817199231141,0.0929689897930507,0.0,0.0,0.0,1.0,2.57237725884603e-15,0.0,control,control
