item,status,reviewer,notes
Emergency egress clear,,,
Ventilation adequate,,,
Trip hazards controlled,,,
No exposed conductors,,,
Battery power used where possible,,,
Grounding/electrical safety reviewed,,,
Human-subject consent/ethics plan ready,,,
Fire safety checked,,,
