generator,trial,seed,fold_condition,model,loss
full_reciprocal_positive_control,2,930002,counterphase,zeta_only,0.15589370565597965
full_reciprocal_positive_control,2,930002,counterphase,null_no_coupling,0.7755013966849208
full_reciprocal_positive_control,2,930002,counterphase,standard_ping,0.17227352036990035
full_reciprocal_positive_control,2,930002,counterphase,replay_only_basis,0.17777849896850323
full_reciprocal_positive_control,2,930002,counterphase,sensory_drive_only,0.8819502118202014
full_reciprocal_positive_control,2,930002,counterphase,generic_hidden_tuned,0.1845356022474394
full_reciprocal_positive_control,2,930002,counterphase,colored_noise_ar,0.167935780248082
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,full_reciprocal,0.08669804979455101
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,eta_only,0.06744440963867668
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,zeta_only,0.08361955634835605
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,null_no_coupling,0.6036964362212743
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,standard_ping,0.08379349481106244
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,replay_only_basis,0.09958635734755669
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,sensory_drive_only,0.5214123778369197
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,generic_hidden_tuned,0.08077245489063517
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,colored_noise_ar,0.060661675193986554
full_reciprocal_positive_control,2,930002,recovery_probe,full_reciprocal,0.1466960621988095
full_reciprocal_positive_control,2,930002,recovery_probe,eta_only,0.10280291351648901
full_reciprocal_positive_control,2,930002,recovery_probe,zeta_only,0.15018182814807587
full_reciprocal_positive_control,2,930002,recovery_probe,null_no_coupling,0.7481843180736468
full_reciprocal_positive_control,2,930002,recovery_probe,standard_ping,0.18646002252753807
full_reciprocal_positive_control,2,930002,recovery_probe,replay_only_basis,0.22521894388630176
full_reciprocal_positive_control,2,930002,recovery_probe,sensory_drive_only,0.7083167255731475
full_reciprocal_positive_control,2,930002,recovery_probe,generic_hidden_tuned,0.23658877072844406
full_reciprocal_positive_control,2,930002,recovery_probe,colored_noise_ar,0.14102557254075387
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,full_reciprocal,0.3068802315111726
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,eta_only,0.3350629970567571
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,zeta_only,0.3676045684576426
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,null_no_coupling,0.866885766258101
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,standard_ping,0.3630179714713358
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,replay_only_basis,0.4124520070175501
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,sensory_drive_only,0.8411995848345388
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,generic_hidden_tuned,0.43779295927171913
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,colored_noise_ar,0.35492160164233505
full_reciprocal_positive_control,3,930003,doublet_EY,full_reciprocal,0.07987134827892531
full_reciprocal_positive_control,3,930003,doublet_EY,eta_only,0.09270753381272782
full_reciprocal_positive_control,3,930003,doublet_EY,zeta_only,0.07832826838199687
full_reciprocal_positive_control,3,930003,doublet_EY,null_no_coupling,0.5909067998484742
full_reciprocal_positive_control,3,930003,doublet_EY,standard_ping,0.10362677934591559
full_reciprocal_positive_control,3,930003,doublet_EY,replay_only_basis,0.10824329081170245
full_reciprocal_positive_control,3,930003,doublet_EY,sensory_drive_only,0.5237005486392373
full_reciprocal_positive_control,3,930003,doublet_EY,generic_hidden_tuned,0.11205260101880982
full_reciprocal_positive_control,3,930003,doublet_EY,colored_noise_ar,0.07484992232216985
full_reciprocal_positive_control,3,930003,orthogonal_trap,full_reciprocal,0.15249381361495662
full_reciprocal_positive_control,3,930003,orthogonal_trap,eta_only,0.2278202654137679
full_reciprocal_positive_control,3,930003,orthogonal_trap,zeta_only,0.1986346277906486
full_reciprocal_positive_control,3,930003,orthogonal_trap,null_no_coupling,0.6813597504716385
full_reciprocal_positive_control,3,930003,orthogonal_trap,standard_ping,0.3055773134264576
full_reciprocal_positive_control,3,930003,orthogonal_trap,replay_only_basis,0.3550683112815759
full_reciprocal_positive_control,3,930003,orthogonal_trap,sensory_drive_only,0.6993001142709507
full_reciprocal_positive_control,3,930003,orthogonal_trap,generic_hidden_tuned,0.32791340845350575
full_reciprocal_positive_control,3,930003,orthogonal_trap,colored_noise_ar,0.16138627395785196
full_reciprocal_positive_control,3,930003,counterphase,full_reciprocal,0.09041416103805597
full_reciprocal_positive_control,3,930003,counterphase,eta_only,0.1303834282792958
full_reciprocal_positive_control,3,930003,counterphase,zeta_only,0.11479099747423699
full_reciprocal_positive_control,3,930003,counterphase,null_no_coupling,0.7608775414522481
full_reciprocal_positive_control,3,930003,counterphase,standard_ping,0.15339039409073052
full_reciprocal_positive_control,3,930003,counterphase,replay_only_basis,0.15618913032900023
full_reciprocal_positive_control,3,930003,counterphase,sensory_drive_only,0.8834160966912407
full_reciprocal_positive_control,3,930003,counterphase,generic_hidden_tuned,0.15439659113642792
full_reciprocal_positive_control,3,930003,counterphase,colored_noise_ar,0.13624047066396813
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,full_reciprocal,0.08107915564797968
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,eta_only,0.05818465969451349
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,zeta_only,0.07292886276645162
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,null_no_coupling,0.6105865668015721
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,standard_ping,0.07478163820758611
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,replay_only_basis,0.09155983537343547
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,sensory_drive_only,0.5133820080548265
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,generic_hidden_tuned,0.09425603519445663
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,colored_noise_ar,0.0704985054746
full_reciprocal_positive_control,3,930003,recovery_probe,full_reciprocal,0.10756524743158616
full_reciprocal_positive_control,3,930003,recovery_probe,eta_only,0.10817986078152059
full_reciprocal_positive_control,3,930003,recovery_probe,zeta_only,0.13106257646828887
full_reciprocal_positive_control,3,930003,recovery_probe,null_no_coupling,0.6826692562676944
full_reciprocal_positive_control,3,930003,recovery_probe,standard_ping,0.18118468358628348
full_reciprocal_positive_control,3,930003,recovery_probe,replay_only_basis,0.2173161605302556
full_reciprocal_positive_control,3,930003,recovery_probe,sensory_drive_only,0.6653795352914575
full_reciprocal_positive_control,3,930003,recovery_probe,generic_hidden_tuned,0.2401373012735416
full_reciprocal_positive_control,3,930003,recovery_probe,colored_noise_ar,0.1384835388342011
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,full_reciprocal,0.2153036358286835
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,eta_only,0.2535332302930595
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,zeta_only,0.3309099965121314
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,null_no_coupling,1.0610886848533199
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,standard_ping,0.24915426743358132
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,replay_only_basis,0.30673296913728176
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,sensory_drive_only,0.9817138274642732
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,generic_hidden_tuned,0.3129001280741607
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,colored_noise_ar,0.2750601309477011
full_reciprocal_positive_control,4,930004,doublet_EY,full_reciprocal,0.06878933557517163
full_reciprocal_positive_control,4,930004,doublet_EY,eta_only,0.07906434323682762
full_reciprocal_positive_control,4,930004,doublet_EY,zeta_only,0.08005857356671117
full_reciprocal_positive_control,4,930004,doublet_EY,null_no_coupling,0.5698628272023798
full_reciprocal_positive_control,4,930004,doublet_EY,standard_ping,0.10035258988148502
full_reciprocal_positive_control,4,930004,doublet_EY,replay_only_basis,0.11191007174349621
full_reciprocal_positive_control,4,930004,doublet_EY,sensory_drive_only,0.5098517249332585
full_reciprocal_positive_control,4,930004,doublet_EY,generic_hidden_tuned,0.10260200866478714
full_reciprocal_positive_control,4,930004,doublet_EY,colored_noise_ar,0.07326377631587966
full_reciprocal_positive_control,4,930004,orthogonal_trap,full_reciprocal,0.14313560449086737
full_reciprocal_positive_control,4,930004,orthogonal_trap,eta_only,0.16683122200520517
full_reciprocal_positive_control,4,930004,orthogonal_trap,zeta_only,0.17500964931612423
full_reciprocal_positive_control,4,930004,orthogonal_trap,null_no_coupling,0.6800428552247776
full_reciprocal_positive_control,4,930004,orthogonal_trap,standard_ping,0.2978996927432619
full_reciprocal_positive_control,4,930004,orthogonal_trap,replay_only_basis,0.35114140812531663
full_reciprocal_positive_control,4,930004,orthogonal_trap,sensory_drive_only,0.688122018330326
full_reciprocal_positive_control,4,930004,orthogonal_trap,generic_hidden_tuned,0.3229880037985795
full_reciprocal_positive_control,4,930004,orthogonal_trap,colored_noise_ar,0.16118281272056506
full_reciprocal_positive_control,4,930004,counterphase,full_reciprocal,0.10640606489808628
full_reciprocal_positive_control,4,930004,counterphase,eta_only,0.12926119933927055
full_reciprocal_positive_control,4,930004,counterphase,zeta_only,0.14398826671178125
full_reciprocal_positive_control,4,930004,counterphase,null_no_coupling,0.7477832699832996
full_reciprocal_positive_control,4,930004,counterphase,standard_ping,0.16950926418143336
full_reciprocal_positive_control,4,930004,counterphase,replay_only_basis,0.1768609555675485
full_reciprocal_positive_control,4,930004,counterphase,sensory_drive_only,0.8399060024268207
full_reciprocal_positive_control,4,930004,counterphase,generic_hidden_tuned,0.17313370229342057
full_reciprocal_positive_control,4,930004,counterphase,colored_noise_ar,0.14351322292552074
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,full_reciprocal,0.09411506871438831
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,eta_only,0.05972051701200627
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,zeta_only,0.07560876709494736
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,null_no_coupling,0.6186470684382434
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,standard_ping,0.07010585776147119
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,replay_only_basis,0.07799170259245403
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,sensory_drive_only,0.538115072632347
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,generic_hidden_tuned,0.07618673543497412
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,colored_noise_ar,0.06436307482715597
full_reciprocal_positive_control,4,930004,recovery_probe,full_reciprocal,0.12259002083964865
full_reciprocal_positive_control,4,930004,recovery_probe,eta_only,0.13459920226299193
full_reciprocal_positive_control,4,930004,recovery_probe,zeta_only,0.16933072430375942
full_reciprocal_positive_control,4,930004,recovery_probe,null_no_coupling,0.7206629860680448
full_reciprocal_positive_control,4,930004,recovery_probe,standard_ping,0.22127974646258908
full_reciprocal_positive_control,4,930004,recovery_probe,replay_only_basis,0.2663133967588495
full_reciprocal_positive_control,4,930004,recovery_probe,sensory_drive_only,0.6918588624401139
full_reciprocal_positive_control,4,930004,recovery_probe,generic_hidden_tuned,0.27951912905168325
full_reciprocal_positive_control,4,930004,recovery_probe,colored_noise_ar,0.17380674736216584
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,full_reciprocal,0.20872005221933043
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,eta_only,0.2250271499112322
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,zeta_only,0.3142610487303032
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,null_no_coupling,0.9889737124940831
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,standard_ping,0.2739025046619714
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,replay_only_basis,0.33196566284390305
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,sensory_drive_only,0.9596543924926372
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,generic_hidden_tuned,0.33940026633214687
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,colored_noise_ar,0.28867494744131234
full_reciprocal_positive_control,5,930005,doublet_EY,full_reciprocal,0.0732160450182166
full_reciprocal_positive_control,5,930005,doublet_EY,eta_only,0.09208357266555336
full_reciprocal_positive_control,5,930005,doublet_EY,zeta_only,0.08043959825113103
full_reciprocal_positive_control,5,930005,doublet_EY,null_no_coupling,0.6224613062451793
full_reciprocal_positive_control,5,930005,doublet_EY,standard_ping,0.10665997340405234
full_reciprocal_positive_control,5,930005,doublet_EY,replay_only_basis,0.12886777936279187
full_reciprocal_positive_control,5,930005,doublet_EY,sensory_drive_only,0.5414454874764157
full_reciprocal_positive_control,5,930005,doublet_EY,generic_hidden_tuned,0.11212689666698841
full_reciprocal_positive_control,5,930005,doublet_EY,colored_noise_ar,0.07173844838528551
full_reciprocal_positive_control,5,930005,orthogonal_trap,full_reciprocal,0.1863766478949324
full_reciprocal_positive_control,5,930005,orthogonal_trap,eta_only,0.23923351992999778
full_reciprocal_positive_control,5,930005,orthogonal_trap,zeta_only,0.22422146151821723
full_reciprocal_positive_control,5,930005,orthogonal_trap,null_no_coupling,0.7436623725570145
full_reciprocal_positive_control,5,930005,orthogonal_trap,standard_ping,0.3753174570503623
full_reciprocal_positive_control,5,930005,orthogonal_trap,replay_only_basis,0.46385313687520174
full_reciprocal_positive_control,5,930005,orthogonal_trap,sensory_drive_only,0.7667941982090956
full_reciprocal_positive_control,5,930005,orthogonal_trap,generic_hidden_tuned,0.4364297756930766
full_reciprocal_positive_control,5,930005,orthogonal_trap,colored_noise_ar,0.22944066894664586
full_reciprocal_positive_control,5,930005,counterphase,full_reciprocal,0.12615143415251442
full_reciprocal_positive_control,5,930005,counterphase,eta_only,0.17263479170344154
full_reciprocal_positive_control,5,930005,counterphase,zeta_only,0.1741366085107974
full_reciprocal_positive_control,5,930005,counterphase,null_no_coupling,0.7561011537426973
full_reciprocal_positive_control,5,930005,counterphase,standard_ping,0.15656058006741785
full_reciprocal_positive_control,5,930005,counterphase,replay_only_basis,0.16399615652346117
full_reciprocal_positive_control,5,930005,counterphase,sensory_drive_only,0.8514686196978459
full_reciprocal_positive_control,5,930005,counterphase,generic_hidden_tuned,0.15735044941552248
