generator,trial,seed,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated
full_reciprocal_positive_control,1,930001,1.008126618738715,0.1,0.29850651327283545,0.19659719282815222,True
full_reciprocal_positive_control,2,930002,0.92330072591549,0.1,0.25509752604573926,0.223226355118,True
full_reciprocal_positive_control,3,930003,1.0580279022298509,0.1,0.3254270626476932,0.2638682726545867,True
full_reciprocal_positive_control,4,930004,1.0607887086169483,0.1,0.2810334750630678,0.25241803328658463,True
full_reciprocal_positive_control,5,930005,0.9937820400384081,0.1,0.31609102534747197,0.24688480653437359,True
full_reciprocal_positive_control,6,930006,0.954675165651904,0.1,0.34816767485666766,0.2806722068336495,True
full_reciprocal_positive_control,7,930007,1.005212983935432,0.1,0.32608045200517644,0.29406296755618855,True
full_reciprocal_positive_control,8,930008,0.9941713525806143,0.1,0.27692415920802044,0.20876230718935543,True
full_reciprocal_positive_control,9,930009,1.1204853462862259,0.1,0.2666928409542366,0.2614868961231443,True
full_reciprocal_positive_control,10,930010,0.9832073423470435,0.1,0.3011525439875773,0.24957966713772062,True
full_reciprocal_positive_control,11,930011,0.9357361323316983,0.1,0.32905231419235587,0.2023522679495042,True
full_reciprocal_positive_control,12,930012,1.0256958308091215,0.1,0.2598615190573095,0.25200573564182177,True
full_reciprocal_positive_control,13,930013,0.9679726949347662,0.1,0.34092526063689876,0.29204194393772587,True
full_reciprocal_positive_control,14,930014,1.066045758552761,0.1,0.2858298300967114,0.18204047100005727,True
full_reciprocal_positive_control,15,930015,1.0329220406021755,0.1,0.2785320976968943,0.2547457639343674,True
full_reciprocal_positive_control,16,930016,1.0132833021016323,0.1,0.3154781288104699,0.23933101131138967,True
full_reciprocal_positive_control,17,930017,1.0570539151184581,0.1,0.32619185530679123,0.19754782624623796,True
full_reciprocal_positive_control,18,930018,0.9837418166497386,0.1,0.25188129923459096,0.20488680738881426,True
full_reciprocal_positive_control,19,930019,1.0053685499519556,0.1,0.24874430989702373,0.2323762515183189,True
full_reciprocal_positive_control,20,930020,1.0444732265657202,0.1,0.33101202111536665,0.28726018363898453,True
standard_ping_null,1,940001,0.019304567714451697,0.7,0.0803945527356731,0.051149663262529316,False
standard_ping_null,2,940002,0.08222276117895147,0.6,0.109430824405233,0.08677083423860958,False
standard_ping_null,3,940003,0.060385497479383446,1.0,0.10391929034107493,0.10004497868404252,False
standard_ping_null,4,940004,0.07243112432782824,0.1,0.05758872960651465,0.0528633564757142,True
standard_ping_null,5,940005,0.011014325670224012,0.9,0.10492374569165741,0.0797773319567518,False
standard_ping_null,6,940006,0.047444443826601464,0.5,0.056143811390703374,0.04458025942763277,False
standard_ping_null,7,940007,0.1127440136378798,0.1,0.08316234176641665,0.047635316754569335,True
standard_ping_null,8,940008,0.017239630143717766,1.0,0.1256699532607272,0.03275396710043519,False
standard_ping_null,9,940009,0.1410454221915584,0.1,0.10518700521844888,0.016394466607148626,True
standard_ping_null,10,940010,0.03153976705778364,1.0,0.061641417411225745,0.054912416797068785,False
standard_ping_null,11,940011,0.04197151424389894,0.2,0.04070644515167083,0.027592583229092364,False
standard_ping_null,12,940012,0.04311003426950222,1.0,0.11505169123898637,0.10299065094008411,False
standard_ping_null,13,940013,0.0236975861956746,1.0,0.14176548902678024,0.09948717807052157,False
standard_ping_null,14,940014,0.029484192202016122,0.6,0.1365874078904923,0.044086741178731306,False
standard_ping_null,15,940015,0.13716159664068442,0.2,0.15269974757305904,0.045760819828252496,False
standard_ping_null,16,940016,0.12415059743758906,0.1,0.11097157865974544,0.0882130939355228,True
standard_ping_null,17,940017,0.02447614519064271,1.0,0.09747726254300303,0.038715075934064,False
standard_ping_null,18,940018,0.048988926240500025,0.5,0.09565094166053545,0.041890148005224136,False
standard_ping_null,19,940019,0.09448495640436275,0.1,0.07967213251246597,0.06074116545993619,True
standard_ping_null,20,940020,0.009358944047864942,1.0,0.08762688787138798,0.04358049495783585,False
replay_only_null,1,950001,0.03842899906902817,0.8,0.10314104157247649,0.043538137300587164,False
replay_only_null,2,950002,0.02553993356423076,0.6,0.10090341213845308,0.02666291852581177,False
replay_only_null,3,950003,0.057945464511359006,0.6,0.13228407758893576,0.0704716002629208,False
replay_only_null,4,950004,0.07825786578158074,0.1,0.05525781263306806,0.03958103361655702,True
replay_only_null,5,950005,0.009029592208372322,1.0,0.10799724662537658,0.08482413358636302,False
replay_only_null,6,950006,0.04388775340793485,0.4,0.1213044633269819,0.009622876261967443,False
replay_only_null,7,950007,0.03591419923285017,0.6,0.11045537623143649,0.06072645722765063,False
replay_only_null,8,950008,0.10449414035599726,0.4,0.19451529858629504,0.08551856153882612,False
replay_only_null,9,950009,0.02658239210751379,0.6,0.06804201112284415,0.028040074257505685,False
replay_only_null,10,950010,0.039490779014877256,0.4,0.06370251399877336,0.03806479215997846,False
replay_only_null,11,950011,0.03549628397997067,0.6,0.1965191707755537,0.058641893554214196,False
