model,wins,total_folds,win_rate
sensory_drive_only,349,2460,0.141869918699187
eta_only,340,2460,0.13821138211382114
zeta_only,324,2460,0.13170731707317074
full_reciprocal,306,2460,0.12439024390243902
standard_ping,299,2460,0.12154471544715448
null_no_coupling,283,2460,0.11504065040650406
colored_noise_alt,248,2460,0.1008130081300813
generic_hidden_oscillator,175,2460,0.07113821138211382
replay_only_basis,136,2460,0.055284552845528454
