time_sec,audio_rms,audio_dbfs,audio_rms_derivative
0.0,,,
0.25,0.0,-240.0,
0.5,0.0,-240.0,0.0
0.75,0.0,-240.0,0.0
1.0,0.0,-240.0,0.0
1.25,0.005450652563172994,-45.271029998306396,0.005450652563172994
1.5,0.01112955009801241,-39.070447824654394,0.005678897534839415
1.75,0.011953076835144426,-38.45040577555143,0.0008235267371320167
2.0,0.012778698125512269,-37.87026778313254,0.000825621290367843
2.25,0.012846259729678629,-37.82446602996601,6.756160416636e-05
2.5,0.011987685073784726,-38.4252934961757,-0.0008585746558939025
2.75,0.013327059629410073,-37.505313181488795,0.001339374555625347
3.0,0.02733469865924363,-31.265714188815757,0.014007639029833556
3.25,0.04049579543973108,-27.851801319252814,0.01316109678048745
3.5,0.04408721180568013,-27.1137473250216,0.003591416365949049
3.75,0.035272011626127066,-29.051395420402486,-0.008815200179553062
4.0,0.018369510955047002,-34.7180481116817,-0.016902500671080064
4.25,0.014488918081510437,-36.779280859711456,-0.0038805928735365647
4.5,0.014609333769796857,-36.70739177476223,0.00012041568828641963
4.75,0.012295622663753109,-38.20498946372847,-0.002313711106043748
5.0,0.013696488783535455,-37.267815075770095,0.0014008661197823461
5.25,0.01482431676284265,-36.58050627297483,0.0011278279793071957
5.5,0.013115797977340218,-37.64410562713452,-0.001708518785502433
5.75,0.011972290566852646,-38.436455027275635,-0.0011435074104875712
6.0,0.013650501652306739,-37.297027761827664,0.0016782110854540924
6.25,0.015528144464891251,-36.17760874295603,0.0018776428125845124
6.5,0.01506217181191125,-36.44224805492495,-0.00046597265298000193
6.75,0.013709839982078174,-37.259352282578405,-0.0013523318298330755
7.0,0.012257187746125109,-38.23218323257648,-0.0014526522359530648
7.25,0.013194843755291136,-37.59191496023496,0.0009376560091660276
7.5,0.013346345620910733,-37.492752653776435,0.0001515018656195969
7.75,0.01243210240628684,-38.10910842205948,-0.0009142432146238937
8.0,0.012287511184182661,-38.21072147652532,-0.00014459122210417827
8.25,0.012226732520939886,-38.25379177061994,-6.077866324277585e-05
8.5,0.01337597264731841,-37.4734925593101,0.001149240126378525
8.75,0.015284795684418418,-36.31480724381301,0.0019088230371000076
9.0,0.015736054612457785,-36.062082916525036,0.0004512589280393671
9.25,0.014290654015432306,-36.89895790251785,-0.0014454005970254789
9.5,0.013449753224469268,-37.425713679477056,-0.0008409007909630384
9.75,0.015036778117951087,-36.45690417256841,0.0015870248934818192
10.0,0.026220172550307355,-31.627289092099428,0.011183394432356268
10.25,0.03386950992723709,-29.403821745880446,0.0076493373769297365
10.5,0.025063029166797802,-32.01932880941033,-0.00880648076043929
10.75,0.015653416383273607,-36.10781724552705,-0.009409612783524195
11.0,0.012764465134319027,-37.879947571203544,-0.00288895124895458
11.25,0.012942003701103297,-37.75996960564819,0.0001775385667842702
11.5,0.013105772126623692,-37.65074774938297,0.00016376842552039486
11.75,0.012541205800198697,-38.03321410641986,-0.0005645663264249954
